sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.80978733,0.61158234,0.26641303,-0.034324,-0.51420987,-0.18222657,-0.21480528,0.18621464,-0.2710093,-0.37283406,-0.6676753,0.55751884,-0.05406959,0.17996614,0.08645557,0.10085359,0.26171944,0.057012986,-0.32684556,0.2216351,0.503171,-0.26384363,-0.4067334,-0.81694305,0.022019206,-0.27705717,0.8180443,-0.0037039323,-0.42741066,0.007650442,-0.6983554,-0.7560708,-0.45104158,-0.03848957,-0.6352355,0.41566652,-0.02223138,0.02934488,0.17191884,-0.68110585,-0.38851237,-0.13646154,-0.71605575,0.33608747,0.3921729,0.2064353,-0.29735315,-0.27553418,-0.1848238,-0.66469604,0.66636163,0.6665087,0.27954438,0.47923523,0.22047918,0.755243,0.4492102,-0.7195759,-0.25704125,0.2755918,-0.01034367,0.23871094,0.17519435,0.2612167,0.5775182,0.5637401,-0.15853901,0.2603839,0.53510904,0.12536766,-0.6746437,-0.8486924,0.29113743,0.15078029,-0.16568919,-0.4472131,-0.45133743,-0.19287345,-0.25067043,-0.07912035,-0.50411224,-0.13370435,-0.7478607,-0.31300202,-0.074249685,0.70982695,0.19431381,-0.024468824,0.25090566,-0.361006,0.42789957,-0.21527939,-0.5338755,0.53358424,-0.20584564,0.4057827,-0.47908488,-0.040193137,0.07974604,-0.5395922,-0.17981821,-0.565763,0.20639642,0.3726724,0.91788137,0.12593119,0.53980947,-0.7342628,-0.39020577,-0.6879089,-0.29705822,-0.027739035,-0.18042082,0.07873657,-0.0049796165,0.23657516,-0.35351706,0.7744616,0.8698207,-0.6717965,0.28435206,0.015061371,0.2733636,0.5258004,0.058164336,0.922683,0.10582202,-0.16305779
1,0.44460532,0.6265163,-0.66972125,-0.1603524,0.09494359,-0.3051557,-0.015819106,0.06387277,-0.59398913,-0.40163988,0.21599676,0.090562284,-0.15592001,-0.3006931,0.16714275,-0.027425552,0.21824433,-0.681503,-0.108891174,0.17239025,-0.5274732,0.08104336,0.06586995,-0.58490574,-0.33617786,-0.2332277,-0.27353296,-0.519986,0.54757607,-0.36371967,-0.29433355,-0.75102496,0.6814962,-0.03538605,-0.66162616,-0.41437918,-0.6430912,0.27462932,0.3012518,-0.0037018887,-0.11865405,0.64214796,0.35533175,0.2075022,0.32450098,0.57470596,-0.095967576,-0.082974814,-0.20782967,-0.56991404,0.6443524,0.29577562,1.1623987,-0.44412118,0.37951195,0.19679713,0.2026366,0.01940438,-0.003291041,1.0220224,0.21518676,-0.016805457,0.5773809,0.13278161,0.91607445,-0.1664467,-0.6220566,0.51339537,0.1569759,-0.7915862,-0.27829346,0.35460383,0.41199404,-0.10623724,0.5530704,-1.3461938,-0.103604764,-0.3983414,-0.12809302,0.73751146,0.27639824,0.21101347,-0.1188906,-0.3650807,0.20967552,-0.44393212,0.06347553,0.33116075,0.7372389,-0.7838759,-0.17033735,0.5146792,-0.20540121,-0.35842696,0.3045107,0.28379786,0.4529352,0.04849912,1.467542,-1.3086998,0.6182132,-0.18766832,-0.39645487,-0.52056247,0.6287556,-1.1063827,1.0319628,-0.21014655,0.34460467,-0.12410569,-0.4089016,-0.2698318,0.09826355,-0.41626373,-0.67597085,-0.24931395,-0.3909884,0.5528739,0.18655063,0.15009399,-0.2224989,0.3029763,0.06170354,0.7134724,-0.44457424,-0.013371381,-0.032368038,-0.14452969
2,0.8926728,0.11965076,-0.65230554,0.7070077,0.5290444,-0.90235764,0.49410275,-0.41483578,-0.6569792,-0.41948187,-1.034303,-0.0963216,0.010920927,-0.08446311,0.45267573,0.15701924,0.79222924,-0.086472794,-0.38324347,-0.29171324,-0.48441634,-0.30528495,0.23267883,-0.7905285,0.0033507152,0.14223887,0.51025593,-0.32841107,0.11915428,0.048889812,0.059771087,0.2137988,0.45053202,-0.22871499,-0.42512354,0.6961043,0.3875432,-0.16222735,0.09187765,-0.7360119,-0.12878577,0.5179184,0.40230957,-0.25704244,0.18186946,-0.25146902,0.12212375,0.31488284,-0.51637644,0.20125867,1.1744754,0.15042782,0.12952006,-0.36714286,0.32692182,0.48730615,-0.14929983,0.47905236,-0.41975954,0.18245669,-0.4720348,-0.3025725,0.44589564,0.1765808,0.10428918,-0.27672052,-0.4014453,-0.3679937,0.4676757,0.14551716,-0.6403622,0.08385083,-0.28341675,0.4688456,-0.05887722,-1.147317,-0.34928805,0.2779575,0.5421129,0.22632714,-0.73749834,-0.7983369,-1.1199106,-0.41087645,-0.095900305,0.76089627,0.53390753,-0.09109383,0.05161068,-1.2304194,-0.24992827,-0.39262295,0.36157602,-0.16263972,-0.25237885,0.59855026,0.7060914,-0.5382267,0.45959896,-0.8997725,-0.25974005,-0.6218455,-0.23387639,-0.35538647,-0.33918515,-0.5436965,0.36764276,-0.68032914,0.13945702,-0.60673493,-0.2566791,0.07516264,0.40181738,0.16012925,0.41027153,0.0866904,-1.0908991,-0.42092004,0.51564187,-0.20524606,-0.31676218,-0.58364236,-0.20583078,0.02723719,0.24923088,-0.6173094,-0.4930115,0.5010795
3,0.7879553,-0.16379581,-0.479988,-0.25123987,-0.30904204,0.019451033,0.50907964,-0.30032763,-0.74032354,-0.3729863,0.59259117,0.49895313,-0.2062585,0.24184434,0.03810244,-0.11216879,0.09660815,-0.4210868,0.020482117,0.5884569,-0.98323184,-0.26903847,-0.028382313,-0.04074187,-0.21049672,-0.42218447,0.78697145,-0.5326359,-0.7257337,0.1739925,0.38084167,0.363487,0.13259712,-0.17564245,-0.24905057,-0.072582774,0.3425425,0.0069482974,0.1959848,-0.23455703,-0.01513944,-0.48907495,-0.82168233,0.79460007,0.7269745,-0.19900264,-0.16151334,0.10401872,0.47229925,-1.0121717,0.8890389,-0.1419412,0.059458364,0.3450203,0.16724801,1.0884718,-0.3282646,0.7120787,-0.66167223,0.5468194,0.45093572,-0.32494944,0.3284161,-0.17059675,0.021941902,0.5037305,-0.82087284,-0.26444498,0.61638176,-0.114187695,0.17690665,-0.045576636,0.16980053,-0.43792596,-0.13493243,-1.0084282,0.28411716,-0.22964926,0.5246126,0.24250144,0.8652687,-0.37810573,-0.6309597,0.6008633,0.18610428,0.27603137,0.17666206,0.41733024,0.38114816,0.05639587,0.14710078,-0.15628013,-0.54905987,0.59857935,0.09739784,0.50368464,0.38405457,-0.004006472,1.1432606,-0.553172,-0.18817928,-0.5881071,-0.44317046,-0.58681417,0.9797782,-0.94802195,-0.17448097,0.0026081738,0.52574325,0.119735464,0.3613484,-0.102831006,0.8171751,0.4242027,0.053398613,-0.35457787,-1.013231,-0.03590612,0.6886277,-0.13425745,-0.11254815,0.07934018,-0.35855097,-0.45634913,-0.12457131,0.60000235,-0.5774214,-0.36300552
4,0.7071811,-0.25892925,-0.7659618,0.16180229,0.17595197,0.0090072425,0.11484716,-0.19870539,0.25406954,-0.37914932,0.45577887,0.047430426,0.3872198,0.55231833,0.010516959,0.07086825,0.5054771,-0.2581914,-0.5537925,-0.43390146,-0.12866516,-0.32179496,-0.009372014,-0.63273984,0.5365078,-0.52756023,0.65982795,0.15655895,0.12545757,0.034400586,-0.3092093,-0.45678186,0.041912295,0.03211906,0.0006489957,0.5971193,0.14270747,-0.16268623,0.5869684,0.3446833,-0.6241499,-0.0012369949,-0.1503899,0.4518452,0.0017959842,-0.17071503,0.21714409,-0.5783407,0.041089483,-0.17747477,-0.1629909,0.12002272,0.46432,0.43573156,0.027648823,0.15586145,-0.79369533,-0.06881625,-0.36196107,0.3136031,-0.015325099,0.045726083,0.4651745,0.6288698,0.24261105,-0.57663983,-0.7619503,-0.64940256,0.25332025,0.37549305,-0.42685923,-0.25755498,0.16934757,0.5787652,-0.3791272,-0.407287,-0.1324979,0.18165122,-0.34016842,0.21596602,0.453573,-0.48145768,-0.82751775,-0.6049341,0.056073386,0.47136763,-0.2654034,0.3750503,-0.34225664,-0.6431361,-0.11814141,0.09043045,-0.17064561,0.30063212,0.0071095945,-0.199618,-0.07065002,0.4517168,0.85101414,-0.3442284,0.4820624,-0.1345853,-0.42690906,-0.11945333,-0.0011682746,-0.46235508,-0.18604748,-0.23777841,-0.37744913,-0.050150536,0.018677203,0.0006758186,0.33875972,0.041807275,-0.115933575,0.33673298,0.2189003,0.5455425,1.0221876,-0.2985994,-0.5083164,0.00475952,-0.44632363,0.51635695,0.37914807,0.07428482,-0.40100464,-0.5528474
5,0.9130084,0.021210656,-0.57344866,0.09128719,-0.1432146,0.16549544,0.11255399,-0.5153641,0.49994987,0.4173371,-0.31208,0.4674497,-0.23560508,0.44884193,-0.21592005,-0.023479253,0.43754217,-0.89013606,-0.26808158,0.44146726,-0.12629838,-0.67464095,-0.21237311,-0.50194895,-0.12737787,-0.17802961,0.40672827,0.50859624,0.19287169,-0.33389056,-0.69561595,0.29353094,0.2624433,-0.08116283,-0.71275616,0.1795256,0.33823833,0.083916076,0.4867471,-0.08825275,-0.2386679,0.20480713,-0.29934096,0.87693405,-0.16221656,-0.52511805,0.6659014,-0.4659266,0.19599873,0.056861345,-0.45116723,0.839662,0.106053144,0.47939318,0.122592434,0.15104878,0.100454204,-0.4105298,-0.72667265,0.15787506,-0.37258705,-0.18227404,0.6059132,0.104962386,0.95214486,-0.37870228,-0.21307579,-0.005715557,-0.008328358,-0.4413953,0.06893593,-0.2183115,0.22699484,0.38364878,0.013571672,-0.8635195,-0.80576855,0.102080785,-0.18466297,-0.049725115,0.20890905,0.13826919,-0.19014491,0.17640631,0.07309017,0.06282463,0.6259547,0.5736728,0.21756446,-0.7534216,-0.18015254,0.084382996,-0.36682865,-0.09027314,-0.30181828,0.07901093,0.31503707,-0.30772263,0.5094356,-0.75435895,-0.19471495,-0.34054872,-0.036549237,0.88616174,0.21027847,-0.5751697,0.55189157,0.2671996,-0.39968687,-0.30791846,0.47389948,-0.17068304,0.3731468,0.1020029,0.41295528,0.16003346,-0.7992967,-0.12808423,0.57079023,0.07660935,-0.020847732,-0.5457295,0.29184067,-0.33171162,-0.09083156,-0.37110594,0.0818317,-0.70653844
6,0.44700584,-0.3439502,-0.9505865,0.47238028,-0.4605301,0.53049266,0.45782647,0.39139482,0.36310568,-0.50816613,-0.19000208,0.339809,-0.37332353,0.026190287,0.5530614,0.023966013,-0.0208207,-0.47026092,-0.46075374,-0.8193708,-0.19561262,-0.13501751,-0.72629035,0.21970677,-0.20977594,-0.3442303,0.42516828,-0.31729105,-0.067445375,0.55299205,-0.5432959,-0.21142304,0.47971293,-0.14445806,-0.6883602,-0.36530453,0.76455945,-0.36650717,-0.65932906,0.68650264,0.07177693,-0.34154367,-0.60922366,0.5538911,-0.5728345,-0.32410556,-1.3361466,0.56051004,-0.43750164,0.08327324,0.9930264,-0.22151545,1.0749053,0.48684958,-0.39018124,0.7333187,0.5877743,0.83715004,-1.43319,0.40108505,-0.42609784,0.50730616,0.31740242,-0.07194284,-0.32110998,-0.3505449,0.035294287,0.17255579,0.55685353,0.29732937,-0.59037757,-0.11518728,0.19639426,0.66060376,0.24899204,-0.5778416,0.020905508,-0.10619643,0.057660405,-0.09205666,0.33885032,-1.0530767,-0.89050007,-0.070536986,1.0216471,-0.55098,0.20764087,0.55630577,0.8750839,-0.72246623,0.27153274,0.7953323,-0.45553774,-0.10909212,-0.5902188,0.8276031,-0.16307786,0.041029938,1.4088593,-0.9237534,0.27809104,-0.31902444,0.09452454,0.04952898,0.74650836,-0.14364861,0.8805618,-0.16934793,-0.46972167,0.14416476,0.41014126,-0.18522541,-0.2610488,0.9042279,0.3412044,-0.068053,-1.1466556,0.47003546,0.18482736,-0.07892408,-0.22400399,-0.5367868,0.4230535,0.61394536,0.1787973,0.14899208,0.36447114,0.25096363
7,0.64550966,-0.5065934,-0.0041889674,0.043367065,-0.26521826,0.22293629,-0.032097917,0.08652645,0.57473916,0.2770725,0.22366701,-0.25277662,-0.4034903,0.8456172,-0.09363994,-0.3593704,0.8892641,-0.87211245,0.13371368,-0.6525018,0.0070597995,-0.026952488,-0.11172388,0.058345947,-0.21038078,-0.56982243,0.6550845,-0.47952697,-0.33795682,-0.8439159,-0.6936176,-0.21815479,0.5516119,0.451311,-0.5781944,0.289328,0.16699348,0.29168412,0.6193308,-0.22142008,-0.45291623,0.3083454,-0.343342,0.7338001,1.0587076,0.7192106,0.64684844,0.36984032,0.19475906,0.00068273215,0.761407,-0.24482976,0.2400482,-0.2679986,0.3796403,-0.04631025,0.7682403,0.29004276,-0.27326816,0.47127292,-0.15697183,0.22752349,0.58703184,-0.15243596,-0.53505206,0.4729866,-0.16515456,-0.28072363,-0.29667795,0.046531104,-0.7799355,-0.13666537,0.40864015,0.5836195,0.50376683,-0.92002887,-0.5347748,0.39781713,-0.5108719,0.012217628,0.616051,-0.49154913,-0.7722101,0.23574182,0.12994893,0.268387,0.123751774,-0.725116,-0.21415116,-0.6475408,-0.8660673,0.19265711,0.5715209,0.6821655,-0.4355768,-0.010226323,-0.42836562,0.78189486,0.33102086,-0.6853043,0.2586071,-0.56311655,0.2927202,0.11609225,0.8949744,-0.58962977,0.11397455,-0.0018054672,0.23629656,-0.0390034,-0.2273799,0.48041904,-0.2899819,0.8513736,0.09508283,0.49739197,-0.3881226,-0.3909789,0.6639933,-0.27207994,-0.05041718,-0.28481814,0.60795796,-0.08836435,-0.37728837,0.42183593,-0.10221475,-0.31755823
8,0.89401054,0.4120366,-0.5165295,-0.33866107,-0.57664466,-0.1846075,0.48422453,0.08033648,0.52341664,-0.19175678,0.3070199,0.12608187,-0.9705994,0.47231242,0.363784,0.34852204,0.43217525,-0.19167268,-0.15575165,0.6142904,-0.11457171,0.4854839,0.17441417,0.45871213,-0.39649,-0.019129643,0.27204108,-0.7879169,-0.16396332,-0.43591368,-0.30263284,-0.040178105,-0.1537881,0.18175125,-0.40522352,-0.23171903,0.40956137,-0.3262992,0.36891168,-0.24113883,-0.38495585,0.45411804,-0.390588,0.32553366,0.163006,0.35465908,-0.3583783,0.25915453,-0.6562364,-0.08154293,0.44024405,0.5477271,0.290104,0.070519015,0.5109709,0.2692902,-0.021190317,-0.39550307,-0.56883967,0.8802709,-0.4205884,-0.044696666,0.32688504,-0.2687788,0.8695066,-0.08557968,-0.6167664,-0.12910534,0.3023435,0.051882353,-0.45061922,0.46576214,0.29459718,0.55078644,0.22467127,-0.4139935,-0.11776541,0.60823005,0.24427013,0.28019395,0.23359786,-0.6275434,-0.6207358,0.4237301,0.13826533,0.9763771,-0.122691594,0.7386424,0.2682414,-0.33907628,-0.26855707,-0.38657582,-0.7072729,0.34783053,-0.82120585,-0.67527115,0.32611853,-0.06619049,0.76405156,-0.38679528,-0.3584349,0.22811171,-0.43225998,-0.29598114,0.3602956,0.26710784,0.17213129,0.046303373,-0.700287,0.26997614,-0.35565737,0.6270158,0.23011255,0.26459363,-0.08439013,-0.5137108,-0.1292241,0.2507623,0.37600276,-0.6813912,-0.4795984,-0.614587,-0.45609415,-0.23002045,-0.23822431,0.5680596,-0.53435725,-0.4850675
9,0.6923647,0.4919384,-0.61200184,0.025699863,0.7742506,0.11196573,0.1115938,-0.64025617,0.4352709,-0.9443497,0.40364978,-0.5436081,-0.16686933,0.7078595,0.07026034,0.5665863,-0.15361106,-0.011818775,0.42203924,0.12962303,-0.76791304,-0.43047225,-0.7513227,-0.21151112,0.30274388,0.04160523,0.54703194,-0.20036997,-0.026947958,0.11054739,-0.56042516,-1.1062677,-0.32907608,-0.7475192,-0.8624735,0.16801783,0.29057145,0.042260565,-0.5676733,-0.18661346,-0.09147004,-0.2714469,0.22447412,0.2857993,0.27911824,-0.25864702,-0.5093102,-0.014888906,-0.117791474,-0.47453636,0.4092608,-0.005021785,0.4546384,-0.2664101,-0.0111716045,-0.09831972,0.18834835,-0.30194217,-0.9023258,0.73408085,-0.8912042,0.72541577,0.4491938,0.53075475,-0.15765709,0.43050376,-0.13833079,0.12547956,-0.10450119,-0.41719687,0.62807006,-0.116798915,0.35721296,0.43093005,-0.294506,-1.398762,-0.65069467,0.19769272,-0.031207524,0.54278934,-0.16556448,-0.7936183,-0.12050241,-0.36619872,-0.18493478,0.47905952,-0.07981785,0.3408523,0.47185847,-0.48541114,-0.049319282,0.3250552,0.03384397,0.48548743,0.03907213,0.3145337,0.012589024,0.7091805,0.6892439,-0.85870206,-0.08669683,-0.26971537,0.026139205,-0.19875003,0.26493376,-0.9346046,0.025463408,0.16575772,0.37167013,-0.52576584,-0.51084715,-0.21106987,0.24635789,0.7775721,-0.3502498,-0.058895912,-0.2479106,-0.07918954,1.0920194,-0.6471524,0.6443317,-0.43915525,-0.20915726,-0.07692038,-0.6982787,-0.5288661,0.525852,0.30162403
