sample_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0,0.9412051,0.7601752,0.42695153,-0.3015626,-0.68781453,-0.30429548,-0.4324346,0.28754175,0.11686777,-0.50638527,-0.09155461,0.48638868,-0.60579735,-0.0005852932,1.0314497,0.121170476,0.63996565,-0.049889598,-0.5361533,0.20470001,0.29059425,-0.18134853,-0.15298079,-1.1151315,-0.012279383,-0.5986462,1.2197051,-0.25577492,-0.5317546,0.01835524,-0.8311957,-0.9236936,-0.61520875,-0.19056195,-0.6082609,-0.030821102,0.048473462,0.38627595,0.26472375,-0.737602,-0.7032418,0.03358151,-0.67816836,0.77794117,0.62746334,0.24046859,-0.14661053,-0.3104068,0.26076415,-0.7739891,0.6971546,0.90404433,0.061040446,1.1023136,0.050671864,0.44258764,0.06137241,-0.7150842,-0.22869262,0.6173323,-0.2273153,0.2682554,0.35764188,0.2785288,0.70614713,0.61028236,-0.67517054,0.260674,0.5184332,-0.31851128,-0.65374684,-0.7876352,0.37528327,0.6208282,-0.29374784,-0.461755,-0.529719,-0.07569664,-0.22321011,-0.22756024,-0.18393223,-0.07543174,-1.044889,-0.46640253,-0.052006964,0.85046417,0.31259045,-0.2693788,-0.0005041726,-0.752658,-0.11083497,-0.3012803,-0.5881121,0.50266856,-0.5662329,0.5400954,-0.17265858,-0.018649722,0.50139505,-0.60479003,-0.114504896,-0.7423435,-0.012502869,0.5906625,0.83210284,0.17920803,0.6827201,-0.58936346,-0.9141835,-0.54403967,-0.35671285,-0.2420465,-0.23438269,-0.074625984,0.3161154,0.26289767,-0.29631034,0.75970894,0.97320026,-0.5648511,-0.17971514,-0.34162837,0.18763693,0.913115,0.14573717,0.7829367,-0.11821733,0.29873744
1,1.256539,0.96795106,-0.8495072,0.022050342,-0.24408431,-0.57003546,-0.05314341,0.059419904,-0.18746695,0.11815768,-0.0952445,0.10776424,-0.33306175,-0.2881945,0.67736053,0.09361787,0.47958964,-0.90853524,-0.266341,0.22687723,-0.73034453,0.10386948,0.18823957,-0.17269659,-0.64207804,-0.4871688,0.12455759,-0.24003807,0.19653758,-0.31417266,-0.6419604,-0.58466136,0.1918672,0.206211,-0.95840627,-0.094335884,0.06606033,0.14720012,0.22407381,0.16115145,-0.46666017,0.71373343,-0.23931836,0.44118756,0.5227053,0.23298767,-0.09460076,-0.041014317,-0.04742066,-0.75039434,0.75458294,0.08972167,1.259563,-0.16347781,0.7413901,0.3948876,0.17706466,0.23037694,-0.69846576,0.9653521,0.2374519,-0.13968155,0.7518069,0.186763,0.43273607,0.07812855,-0.6097133,-0.23230644,0.38753104,-0.55723333,-0.12596229,0.069574565,0.6337214,0.3991304,0.37919173,-1.4897048,-0.301026,-0.63586897,0.34106103,0.50264984,0.38468546,-0.34965593,-0.16272904,-0.4339788,-0.27740043,0.3868516,-0.24495213,0.41866204,0.5611235,-0.9612302,0.17579396,0.5154896,-0.33112407,-0.25309366,0.56840134,1.004546,0.38497505,0.2161673,1.3965502,-1.3609792,0.20700869,-0.33840835,-0.29864314,-0.5927799,0.59835607,-0.76310635,0.74040353,0.37695822,0.7305243,0.2945723,-0.80171335,-0.14392687,0.42893976,-0.03378936,-0.041401863,-0.47866365,-0.7904183,0.009059736,0.68770975,-0.4172962,0.4027588,0.03621207,0.32692987,0.47506738,-0.40740666,-0.25067997,-0.005082255,0.046675075
2,1.4530467,-0.06540064,-0.5437712,0.739588,0.28225315,-0.6089332,0.31755635,-0.6932276,-0.39412835,-0.109258465,-0.7857414,-0.23244956,-0.09707233,0.08488769,0.9169743,0.3361361,1.0999659,-0.28776702,-0.24792531,-0.6367662,-0.6029379,-0.25044617,0.14914057,-0.6893262,-0.16975498,-0.38212895,0.4535379,-0.07049504,0.028733855,-0.43442732,0.008014479,-0.21538293,0.26007926,-0.4318484,-0.20610476,0.27528057,0.27368367,-0.11949039,-0.08387267,-0.8421191,-0.2898509,0.6319676,0.15454122,0.30914006,0.3231373,-0.21026495,0.47784194,0.31609714,-0.40064737,-0.10278811,0.9324722,0.68322283,0.24439399,0.046411034,0.25142634,0.7961553,-0.3050618,0.24403085,-0.61596334,0.14040117,-0.43244702,-0.5380031,0.46089065,0.758406,0.50004226,-0.13764341,-0.99766934,-0.7768671,0.48937726,-0.22858897,-0.7774482,0.12063922,0.02478931,0.7422952,-0.20184077,-1.5212541,-0.4353567,0.31538433,0.72734463,-0.0051366054,-0.38659677,-0.528287,-0.9205354,-0.24633092,-0.16608982,1.0568684,0.43768692,0.006058032,0.08740113,-1.3350215,-0.28358445,0.27938145,0.25420612,-0.3262406,-0.42823762,1.0148236,0.7309823,-0.7223589,0.5450494,-0.87024844,-0.09706057,-0.81497383,-0.33145437,0.031206707,0.16783239,-0.47628582,0.47487164,-0.19316609,0.07728824,-0.5463031,-0.4794329,-0.092062645,0.56164765,-0.0023209963,0.38665402,0.13571335,-1.2645077,-0.14861888,0.8898193,-0.42655358,-0.646607,-0.38477552,-0.43695784,0.047315437,0.5670336,-0.35705757,-0.54438734,0.21193554
3,1.4331504,0.1518398,-0.6809715,-0.33027634,-0.56185114,-0.1077361,0.4149841,-0.27466345,-0.6856614,0.18513621,0.2874719,0.236823,-0.29696056,0.72640574,0.13335644,0.10952208,0.44449097,-0.39977553,-0.4308354,0.50280243,-0.7872978,-0.3953812,0.012463226,0.3216402,-0.3940086,-0.39465988,0.81831133,-0.01938847,-0.49235734,0.19690773,-0.19934776,0.055047546,-0.29353058,0.41812843,-0.7167254,0.006282801,0.42377827,0.0052721966,0.26622114,0.16668384,-0.5481669,0.015848562,-0.81145525,0.8233934,0.53168845,-0.21214904,0.11185115,0.01646085,0.20509277,-0.90948796,0.84340537,-0.32000032,0.5280624,0.5231679,0.30867133,0.9061293,-0.45770305,0.46404278,-0.68072164,0.83845437,0.60034734,0.0030206747,0.7525458,0.08542932,0.20697565,0.59223694,-0.81347233,-0.8001622,0.46652356,-0.19323565,0.15363131,-0.096035816,0.5322148,0.22416903,0.034956772,-1.1838255,0.11848902,-0.49131414,0.52501094,0.2575414,1.0886376,-0.5582055,-0.64377385,0.3390884,0.17121871,0.55093735,-0.33590543,0.6553177,0.11597256,-0.48230278,0.31842497,0.17812333,-0.6070136,0.22958568,0.0010494702,0.69305474,0.54547423,-0.07240266,1.0770133,-0.46978694,0.0014569733,-0.43832245,-0.54858595,-0.66883415,1.0215755,-0.63012487,-0.22626343,0.055778623,0.3966608,0.23330823,-0.25151712,-0.3249156,0.66817814,0.80533683,0.45170516,-0.54078394,-0.7710492,-0.2360368,1.1427648,-0.6709968,0.14983727,-0.2099638,-0.12150812,0.035232812,-0.038790695,0.3385099,-0.6418336,-0.30371332
4,1.0489286,-0.36562273,-0.6176204,-0.029448807,0.30937445,-0.07820939,0.009039811,-0.3907394,0.19188002,-0.42902187,0.90593576,-0.1984312,0.46533957,0.6307079,0.3696402,0.20765266,0.7370524,-0.19681813,-0.7070616,-0.2415708,-0.18617003,-0.6556914,0.18364188,-1.0061918,0.5742401,-0.69405746,1.2922703,0.5138849,-0.03065767,0.04527537,-0.308302,-0.47662452,-0.40473932,0.09864308,0.08742367,0.39376643,0.0019826093,-0.20318586,0.6295187,0.39451218,-0.533453,0.111637585,0.18482983,0.8260035,-0.15767506,-0.6812906,0.7127688,-0.55643463,-0.23520796,-0.4298483,0.09712239,0.23580652,0.70780367,1.0529162,0.049184367,0.15867795,-1.092495,-0.28766564,-0.36025813,0.28036156,-0.09031167,-0.1338864,0.82625777,0.564681,0.1000596,-0.2907699,-0.7666246,-0.6979792,0.3002599,0.21853359,-0.60314643,-0.25239903,0.12133966,0.68645346,-0.54348105,-0.4951958,-0.04832075,0.1953548,-0.23081826,0.33832827,0.65069485,-0.36480552,-0.95904595,-0.9018463,-0.057140555,0.14810158,-0.41316986,0.36523274,-0.29591358,-1.0115238,-0.28358957,0.3454952,-0.22507063,0.031111546,-0.11209841,-0.017510315,0.043033425,0.34923226,0.85659,-0.4390827,0.36897632,-0.14511597,-0.8016493,-0.39082795,0.36296225,-0.61910284,-0.119864464,-0.43213093,-0.6530198,-0.3681544,-0.025728619,-0.09236274,0.48451295,-0.041234806,0.042574618,0.6240739,0.41472223,0.5806205,1.212012,-0.31915787,-0.7821951,-0.3402852,-0.38980514,1.1082277,0.7872843,-0.005896713,-0.5365705,-0.48025745
5,1.2984642,0.09277211,-0.71890754,-0.008131792,-0.34105712,-0.005631754,-0.17553382,-0.7553944,0.6210805,0.26076892,-0.2996738,0.4198648,-0.18034804,0.5521045,0.26957798,-0.119646415,0.7909136,-0.812496,-0.5865818,0.3329194,-0.22133937,-0.80732054,0.041425414,-0.7271753,0.16003302,-0.48278362,0.69577897,0.54994357,0.47491294,-0.42096725,-1.0662855,0.38551715,0.005924146,0.085019805,-0.45295027,-0.1680652,0.25119403,0.39291614,0.79381025,0.18433581,-0.40010542,0.3783483,-0.15330029,0.9447459,-0.023864262,-0.87776,0.9387101,-0.3795545,0.1479791,0.08935041,-0.3714741,0.7512707,0.3219639,0.92172194,0.29264823,-0.22022347,-0.20756815,-0.1891217,-0.79049224,0.13654315,-0.35997847,-0.32451764,0.8161105,0.004138066,1.0173966,-0.9149191,-0.15132925,-0.17065184,-0.15716223,-0.48770714,0.2245368,-0.6026083,0.03077176,0.8188632,-0.49954942,-0.88626933,-1.1027693,-0.0015800649,-0.44159293,-0.059193455,0.15010387,-0.20459855,-0.018507466,-0.11893476,-0.058158383,0.12661874,0.6834546,0.7457428,0.0535469,-1.4207132,-0.26270288,0.5934123,-0.15707378,-0.18357845,-0.36113206,0.28222838,0.23274103,-0.42372203,0.7419586,-0.8724356,0.19057684,-0.62654126,-0.30507696,0.61734396,-0.29723936,-0.57726336,0.8620498,0.3057365,-0.7309393,-0.79240257,0.5885965,-0.330043,0.4578485,-0.2803419,0.5196041,0.52876943,-0.71291465,-0.039026164,0.85389316,0.04348973,-0.17093681,-0.6519385,0.07796974,0.25727764,0.09558848,-0.86122966,-0.008321988,-0.76914394
6,1.141222,0.11352727,-0.68637073,-0.18005268,-0.89803207,-0.121287584,0.06251443,0.3320544,0.5522917,-0.15731943,-0.1203827,0.46926704,-0.55893254,0.046685074,0.84767985,0.14566277,0.45620817,-0.7069199,-0.20389865,-0.23406592,-0.55557764,-0.19684622,-0.35721436,0.3203777,-0.4254107,-0.5053607,0.6145813,-0.22644208,-0.26091996,-0.0937757,-0.23992264,-0.2472777,0.113007516,0.14254504,-0.52694786,-0.28456607,0.5258676,-0.10273222,-0.2805971,0.05845652,-0.13831176,0.02509108,-0.8174499,0.30729666,-0.098826274,-0.30697858,-0.7171313,0.663455,-0.043660305,-0.6384262,1.1035488,-0.12316769,1.0183076,0.5837415,0.15169057,0.7272566,0.24203396,0.648897,-1.2526515,0.73361015,-0.13555898,0.3282276,0.42542487,0.051231768,0.17447646,0.029296484,-0.43913776,-0.18439552,0.43532062,0.05507559,-0.10273768,-0.27133414,0.4612284,0.7808393,0.11790309,-1.0017486,-0.179551,-0.45200163,0.24571976,0.11207943,0.17747067,-0.87789047,-0.42502323,-0.17602988,0.25397944,0.39966363,0.03025309,0.5357429,0.4725823,-0.7259334,0.45211732,0.5441942,-0.49017268,-0.012246758,0.03913465,0.8638287,0.12438799,-0.009825126,1.0549335,-1.0171553,0.24371903,-0.5820544,-0.18532722,0.18282071,0.6598229,-0.38941997,0.3005584,-0.08652239,-0.20498773,0.08649932,-0.1434286,0.020529473,0.32223758,0.34291956,-0.005444372,-0.13515224,-0.8994815,0.077400506,0.23307648,-0.43618736,0.071118824,-0.35715613,0.026702015,0.5772477,-0.10342981,0.31108353,-0.23926212,0.12633301
7,0.94562685,-0.36928374,0.052477255,0.04989446,-0.76510674,-0.054188665,-0.20855783,-0.01624162,0.40592328,0.20064956,0.18536529,-0.51618105,0.022188801,1.1664543,0.28084522,-0.35257316,1.0156385,-0.80469954,0.086150296,-0.54128194,-0.20672244,0.1651711,0.21163413,0.03583452,-0.6431155,-0.89462763,1.3871638,-0.34199893,0.20274757,-0.66567516,-0.56830275,-0.07647336,0.06093513,0.5198367,-0.6586377,-0.061972093,0.1389642,0.9527769,1.0037591,0.34095597,-0.49772233,0.53533906,-0.7483386,1.0668411,0.9673304,0.18150784,0.6745269,-0.0414003,0.41261813,0.006337868,0.58584064,-0.098968886,0.101635695,0.70187134,0.63761914,-0.14406414,0.47244197,-0.07955515,-0.36332175,0.52862585,0.19696411,0.6279174,0.95629025,-0.001620993,-0.1648466,0.06218031,-0.34881547,-0.19895543,-0.5278353,0.26006126,-0.65882397,-0.49680614,0.40294704,0.61127555,-0.038142573,-1.1568975,-0.6156191,0.31599003,-0.67886764,-0.17757358,1.0971271,-0.6053979,-1.1444329,-0.06287512,0.16088042,0.33611625,0.4236604,-0.40418345,-0.4885864,-1.194708,-0.63962597,0.6085382,0.19122489,0.39155698,-0.8734946,0.45873013,-0.25948927,0.35974205,0.869678,-0.28900912,0.18452758,-0.8761719,0.29100403,0.47429612,1.0046718,-0.43642622,0.08007623,0.068379015,0.1928416,-0.59129554,-0.17951557,0.2244777,-0.21549055,0.685934,0.49609268,0.764759,-0.53411067,-0.28770718,0.6481443,-0.3935434,-0.16499688,-0.22489896,0.38834026,0.24481253,-0.43656874,0.058069363,-0.45623502,-0.51474965
8,1.3286209,0.17379308,-0.678473,-0.5539632,-0.65405685,-0.21187787,0.36252066,0.09206167,-0.046553127,-0.13219921,0.26217657,0.0990647,-0.786935,0.3284049,0.49936062,0.8062601,0.6970885,-0.13345231,-0.457659,0.59817123,-0.18822098,0.5365997,0.8328537,-0.038281266,-0.5366782,-0.72811353,0.7001609,-0.5723232,0.36248702,-0.5286005,-0.38064483,-0.011516972,-0.07938722,0.5201872,-0.59652805,-0.038024645,0.7489841,-0.23090719,0.9818382,0.13239479,-0.3016993,0.5348204,-0.8226075,0.8650141,-0.21568254,0.18250394,-0.49077612,-0.18630141,-0.5501171,-0.2968383,0.3985255,0.5904395,0.17540783,0.6925924,1.1187071,0.48719534,-0.30200082,-0.6996072,-0.48750138,0.5065246,-0.18741107,-0.11058123,0.7299064,-0.5189692,1.0135736,-0.2805663,-0.60863256,-0.39057282,0.63819975,0.039111987,-0.5569302,0.27831772,0.5227987,0.4582356,0.26671875,-0.4881658,0.1922163,0.36783412,0.15296546,0.21936661,0.7855289,-0.865951,-0.80964786,0.44204453,0.30186436,0.94318306,-0.11215666,0.53682196,0.02165971,-0.47847208,-0.39973256,-0.26640165,-0.8820092,-0.048874423,-0.8113133,-0.18353257,0.58984387,-0.3860163,0.7615814,-0.25017306,-0.33044785,0.32510105,-0.7348944,0.053262115,0.7055963,0.28759834,0.029031476,-0.21801966,-0.72127783,0.29814485,-0.29958817,0.3663,0.0086223455,0.4326544,0.3022654,-0.38116926,-0.1483534,0.14644772,0.67173374,-1.00334,-0.84733236,-0.45329472,-0.5217831,-0.0863743,-0.016339246,0.8442042,-0.8586762,-0.2357427
9,1.207914,0.4580006,-0.515831,-0.42467347,0.14926891,0.21753207,0.02748443,-0.73144436,0.24339016,-1.0725303,0.520814,-0.534229,-0.25497183,0.6796311,0.3962286,0.5582766,0.48658806,-0.17882553,0.21857509,0.30824625,-1.0122477,-0.3902238,-0.49463692,-0.33595622,0.053670574,-0.23444694,0.927039,-0.20497252,0.09855179,-0.043200843,-0.8857962,-0.8408448,-0.786272,-0.60351926,-0.7360558,0.29391107,0.33021545,0.11226363,-0.38478348,-0.31442347,-0.6338352,-0.064601764,0.10270051,0.402776,0.666538,-0.27340314,-0.43003085,0.20355113,0.09471096,-0.6939928,0.4040867,-0.16870268,0.29372022,0.074714854,0.09740143,0.18853426,-0.2535623,0.0075766933,-0.7639255,0.65515554,-0.7463212,0.076203756,0.4778421,0.106497474,0.20659308,0.42537278,-0.6934377,-0.058618728,-0.038003806,-0.64983094,0.35167304,0.214545,0.42430308,0.84340465,-0.41737923,-1.5822521,-0.8843518,-0.31136104,0.14044808,0.4402446,0.14943516,-0.6128898,-0.41172814,-0.4568564,-0.24185711,0.52319014,0.013873391,0.17779978,0.34569946,-0.72893095,-0.063318126,0.43388402,0.061317842,0.31171706,-0.32369873,0.50506645,0.33198798,0.5295366,0.7875232,-0.99218214,-0.17437163,-0.4265048,0.3257468,-0.25649244,0.2947538,-0.7616371,0.20797323,0.3759995,-0.118928395,-0.6545346,-0.78787744,-0.01474599,0.45032758,0.46605083,-0.21968056,0.45103845,0.009715569,-0.29276684,1.0408975,-0.8056553,0.4399544,-0.59609354,-0.19193442,-0.19281991,-0.3307563,-0.42852917,0.13979778,0.30596757
