,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,1,0.832239,1.2337257,1.1409881,2.1656802,-1.5970174,-0.7439073,-0.07182618,0.116781466,-0.63503844,0.5489232,0.62773013,-0.6460172,-0.25838888,-0.8852233,-1.9385833,0.09504637,-1.7682666,0.4882608,-0.8833569,-0.8231744,0.41420197,0.5384619,0.41877154,-0.35679302,0.86215985,-1.4398094,0.02382117,-0.04384813,0.026092082,0.93507224,-0.63138896,1.2680384,-2.3493283,-1.0946046,-0.38562036,-0.8751335,-0.08930472,0.55495965,0.5267525,0.118608706,0.70124674,2.2980266,0.45178652,0.22576727,0.59940195,0.88605994,-1.0143156,0.26705003,0.2833332,-1.7305121,0.4987811,1.1023577,0.46053466,-0.2122406,-0.15577169,0.40664217,-1.7106497,2.102501,-0.42206746,1.1138958,1.4978168,-0.22422917,2.2521152,-2.0009322,-0.4003417,0.08309861,0.16383025,-1.6729625,0.3239445,-0.8118898,0.13250686,-0.39988068,0.50795823,0.84753233,1.2213479,-0.52504796,1.762588,0.23975004,-0.4504422,0.076457396,0.96180224,-0.898866,-0.6921767,-1.4044142,-0.980808,0.11886837,1.3446699,-0.39560258,-1.5433184,-0.28839672,1.7813072,1.209951,-0.20928723,0.158581,-0.42499027,-0.19853392,-1.1341819,0.4449197,-0.22453521,1.2147576,0.25085992,-0.058263738,-0.70868313,1.096297,0.5814193,0.2556568,0.29581434,0.76057315,-0.7236994,0.08050656,-0.1656359,-0.22092512,-1.1965067,0.2819515,-2.0074654,0.24936697,0.25934535,0.38411912,0.4984867,-0.9115745,-2.5479703,-0.10161222,0.25353566,1.236818,-0.43718335,0.8409522,-0.08718222,0.79529583,1.3902426,-0.12700778,-0.33816898,-0.7740898,0.25475058,0.040298685,0.94079393,-0.13804573,1.6161284,1.5645138,0.64830667,-0.41317686,1.4106029,0.11927071,0.30057576,-0.08739181,0.4935113,1.3928157,0.5134437,-0.84713906,1.1377342,0.46751755,0.18446892,0.096002914,0.5831599,-0.29643247,0.011666434,0.4610061,1.7074004,-0.15606152,-0.98626494,1.844166,1.2486434,-0.51975065,-0.08974822,-0.9954743,0.25619778,-0.09627434,-1.0533428,-0.55806327,-1.5993829,-0.94505435,0.761312,1.1650718,1.3607738,-0.28767332,0.68547297,-0.9838876,0.021462744,-0.14451693,1.7960058,-2.3332098,0.4065724,-0.59761983,0.020484222,-0.4612799,0.519014,-0.41703126,-1.7898694,-0.75923175,-0.7004925,0.22520395,0.0774546,0.06648574,2.2008355,2.1249876,-0.88225037,0.36774543,1.3302166,0.6602908,-0.899856,1.5367727
1,1,-0.13746883,-0.010969229,0.8436367,0.9660296,0.40951344,-0.847683,-1.0066726,0.7493252,-1.1477017,0.098439485,0.42710835,0.96352935,0.18831319,0.25752932,-0.7804136,0.09705625,-0.31933644,1.033428,-0.16123265,-0.39470103,0.1427983,-0.3052855,0.15927291,-0.44577208,-1.1321867,-0.5880863,-0.41714343,-0.89127696,-0.59325945,0.22950819,-0.49071836,0.32541597,-1.580575,-0.32354856,-0.8822563,-0.3209045,0.050209768,-1.3324354,1.8801156,-0.65737635,0.6373727,1.1535006,0.11928935,1.1754742,-0.24553515,1.3174102,-0.5072548,-0.8627551,-0.36429617,-0.12595421,1.4717652,1.1092076,-0.12918107,0.85229534,0.6463673,-0.16269217,0.086440876,0.5457913,0.19215544,-0.29954407,1.4525793,0.8863825,-0.36621994,-1.111348,-0.12196095,1.2000475,-0.9002045,-1.2491078,-1.1998596,-1.093113,0.030021694,-0.22520079,0.8311709,1.2455133,0.9262025,0.98831385,0.363039,-0.79349977,-0.47645035,0.8545717,-0.049827952,-0.57883483,0.009375126,-0.81985605,-0.98413247,0.50111496,0.15339912,-0.30182776,-1.4710271,-0.36509275,1.1067696,1.4516587,-0.6324312,2.1425283,-0.25856578,0.19501977,-0.062979765,-0.27463174,-1.005543,0.73139673,0.03246846,-0.93269527,-0.6635196,1.3438433,-0.89561534,0.18197474,1.1376903,0.59107244,0.10214269,0.25168625,-1.0958211,0.17905964,-0.8607898,0.30459368,-0.8865378,0.05057537,-0.5049717,1.1035068,-0.1020454,-0.45132655,0.39362752,0.33055288,-0.051412135,-0.33181468,-0.6882106,2.0657125,-1.190413,0.36802563,1.1829301,-0.30172423,-1.0532151,-0.16499893,0.07684177,0.38703614,0.111055575,0.31306016,0.7772841,1.3382936,0.025502173,-0.46482405,0.11509379,0.03362934,-0.79200107,0.40749028,-0.06337533,0.8929009,0.34362018,0.11918211,0.51013017,0.51997787,0.2483064,-0.42441913,0.9351894,0.34090754,1.7679055,-0.40561214,-0.22671753,0.7890677,-1.0543276,0.69941443,0.80947,0.8970972,-0.29430288,0.27906007,-0.38473865,1.0026093,-0.6417067,-1.5535046,-0.6894281,0.54651034,-0.6457393,0.46358898,1.6602081,0.0997591,-0.8482635,-0.60342014,0.025684165,-0.4230489,0.86445004,-1.7252878,1.5532718,0.07380705,1.4247756,-0.37534642,1.2449508,-0.9071033,-0.5663051,-0.4610032,-0.8234262,0.7969393,-0.5837376,-1.836914,1.9080902,1.263731,-1.759173,-0.57907194,1.0438358,0.45217898,0.7712794,1.454416
2,1,-0.40587553,0.10920278,1.3597914,1.2254901,-0.13826641,-1.6796777,0.18272425,-0.18863766,-1.1285528,-0.15827596,0.0032060985,0.029528517,0.693482,0.6552804,-2.037946,-1.4580082,-0.11233391,1.3473842,-0.41108054,0.2605902,1.1446245,0.69308,0.46818912,0.41224265,0.59875333,-0.93684596,-0.63680804,0.33184975,-1.6098543,1.4666305,-0.6415236,0.4804733,-0.33094716,-1.1121862,-0.73578846,-0.53494287,0.5051345,0.021708898,0.48378435,-0.25643146,0.23197606,2.7351267,0.65684843,0.50488716,-1.1873258,1.6536916,-0.43864542,-1.2078222,-0.2759394,-0.9122487,1.0670141,1.3174107,0.06282983,1.821741,0.91505563,0.64949596,-0.24268171,-0.13696675,-0.5768607,-0.037308596,0.76170343,2.0326667,0.81224465,-0.13535443,0.52822596,0.290304,-0.34275723,-1.0526454,0.77368927,-1.3655084,0.98417425,-1.2407457,-0.10004382,1.4383527,-0.023243155,0.10432995,0.5324025,-1.1823579,0.89182633,1.0862185,-0.5632722,-0.29107472,0.69066066,-0.2454872,-0.23976374,-0.46956378,1.1423308,-0.7380181,-1.6648568,0.17741266,1.857065,0.03653893,-0.8580068,1.3074089,-0.2850409,1.085858,-0.7155262,-0.09170375,0.5664538,0.005553696,0.07414954,0.04482203,-0.89253247,0.65363204,-0.4007169,-0.17271103,1.5884415,0.35134575,0.80034965,0.07485689,-0.46682015,0.073717006,-0.2952382,-0.92813545,-1.4710149,-0.4173506,0.10040623,0.64820015,1.0704007,-1.1214652,-0.72807807,0.64277744,-0.4578508,0.640624,-1.1853721,2.675538,0.17536308,1.1204137,1.3694317,-0.07680905,-1.1864706,-0.1598684,0.40981808,0.49302173,1.3069854,0.22707547,0.6043051,1.6117302,0.9333644,-0.07637889,0.76961684,0.28144515,-0.9798058,1.7091554,1.6022985,1.4663473,1.2360221,0.11179202,1.2479573,-0.46904916,-1.1648118,-0.0832266,1.2307479,0.6212577,1.0179888,0.4791178,0.50647753,0.4953758,-0.8096715,1.4253945,0.46964604,-0.52567047,-0.30069667,-0.8094152,-1.1464006,-0.22762132,-1.1234511,-0.515062,-0.23755683,0.05466195,0.14353283,-0.113989286,2.2291791,-0.29073313,0.11501998,-0.80996335,0.7737716,-0.18278968,1.4750713,-2.2944746,2.220229,-0.5204922,1.089727,0.6959644,0.574188,-0.26491418,-1.079613,-1.1220987,-1.3015441,0.7452994,0.34245917,-0.8012815,2.5402157,0.93360966,-1.5900282,0.05603492,1.8890046,1.7067256,0.91226166,1.2066708
3,0,-0.3761802,0.19611435,0.77914053,1.1237732,0.37465277,-0.9476307,-0.8922228,0.621932,-0.9993211,-0.35148814,0.6972096,1.5225811,0.4807019,-0.024732502,-0.64885163,0.58654267,-0.6672725,1.6956933,-0.23126344,-0.25188187,0.44618398,-0.79472584,0.5124416,-1.0580912,-0.982752,-0.41664806,-0.76303077,-0.48933762,-0.9438547,0.3755714,0.022405367,0.501558,-1.7129979,0.12687573,-0.82721776,0.017843204,-0.3163631,-1.0771554,2.1120977,-0.63679904,0.4848404,1.0349491,-0.024468133,1.8869503,-0.3998876,1.6239209,-0.59015894,0.08511893,-0.7606465,0.07720007,1.2472906,1.1018115,-0.5447176,1.0813237,0.19658697,0.075122006,0.3348726,0.67134935,-0.44463876,-0.46099865,1.4743572,0.06792703,-1.3931144,-1.1321394,-0.07769838,1.606746,-1.0054168,-0.8663454,-1.3104904,-1.3579108,-0.1443046,-0.6708788,0.116230026,1.6381638,1.0617158,0.522938,0.7489497,-0.847329,-0.6167885,1.0473722,-0.15299797,-0.8323632,0.36406642,-0.18612082,-0.67533135,0.3997841,1.0273191,-0.17312373,-1.4942633,0.1460504,0.715888,1.306737,-0.6727258,2.0107713,-0.13733916,-0.051590364,-0.0821113,-0.41118824,-0.81547624,0.7312494,0.17667042,-0.04738509,-1.2352917,1.3647859,-0.6064172,-0.22420804,1.0748715,0.056978017,0.17227736,0.703486,-1.5078245,-0.022173932,-0.7822436,0.5790704,-0.6485947,0.15787947,-0.22044486,1.1536425,-0.19782126,-0.11967774,-0.15049441,0.7356622,-0.14045942,-0.04280099,-0.4223314,2.0216215,-1.0915911,1.0197749,1.3253913,-0.49100798,-0.57499814,0.11743618,-0.5094657,0.010022881,0.7949742,0.14839819,1.4119846,0.7816618,0.5597183,-0.54517245,0.6882619,-0.0039244243,-1.1908942,0.36994264,0.20683067,0.6757326,0.7368449,0.47388104,0.42041513,0.56566787,0.90792966,-0.5792478,1.155035,0.47777238,2.4386468,-0.5878925,-0.8049729,1.1891292,-1.0260397,0.38509417,1.2009221,0.30359024,-0.3522443,-0.35343432,0.40673736,1.3909434,-0.18371013,-1.231976,-0.28844276,0.3362665,-0.13317838,-0.096338,1.7849569,0.037756324,-1.3583665,-0.61214703,0.33378905,0.19593993,0.48269287,-2.0141137,1.3220242,-0.5774318,2.302184,-0.5775132,0.8289599,-0.5891324,-0.34507164,-0.6598102,-0.9282078,0.5258319,-0.27201474,-2.3449695,2.089854,1.5952346,-1.722826,-0.31732884,1.0742021,0.1989772,0.9179095,1.4353118
4,1,-1.964517,1.1286008,-0.19479921,-1.4337772,-0.14344583,-1.1617129,-2.3805964,0.026121685,-1.1052316,-1.8956106,-0.611136,2.579531,1.4147557,-1.742134,-2.028954,-0.74358,0.6345073,1.4856315,-0.7372922,1.771146,-0.4864757,1.9194857,1.1515104,-1.770184,-0.6302991,0.5054714,-2.336525,0.7094051,0.0885934,1.6933424,1.5297962,-2.1354458,-0.7206084,1.531847,-3.3020804,2.1773782,0.5837681,-0.41718388,0.7813909,0.61451554,-0.8809394,2.4614508,0.45826027,2.0515175,-0.57029235,2.6246433,-0.5862179,-1.2337875,-0.53958607,-0.77973443,-0.7809739,1.1551309,-2.0527563,3.0254896,-1.1657193,1.5543216,1.3973426,-1.7323457,-1.8898264,-0.105090305,1.5381258,-1.415904,-1.1799941,1.8985474,-0.07085997,1.5415809,-1.2531991,0.40057728,-1.1473541,1.2664618,-0.22147298,-1.1971039,-0.17526683,0.5828054,2.3665042,1.0903416,2.740553,-1.8422236,0.7716107,2.1584432,-0.38274956,0.6278904,0.27879143,0.99434257,0.4066622,-0.51626784,1.6352136,-2.7928736,0.4567411,0.864024,-1.9307231,1.1398333,1.0014539,2.3324635,1.2344825,0.45910707,-1.2420247,1.3928181,0.58288527,-0.7704221,1.177928,0.6646631,-0.63369817,1.9102643,-1.5414596,-4.3919215,-1.5956032,-0.019253844,0.590248,0.07997429,-1.1444495,2.0115564,-2.8678806,0.7529897,-1.2241714,-0.5702015,2.9905336,-1.4269869,1.6216888,0.38953185,1.3018078,0.8437903,-2.3138275,0.92485905,-2.4046535,1.2907838,0.64070517,2.542577,-0.20888776,2.3010533,0.83230555,1.4966409,-0.012353031,0.53306353,2.4043999,-0.557431,0.44052264,-0.75947624,-1.6673607,0.14644672,1.982412,-1.6937664,-1.1450765,3.2809882,0.6285116,2.2740476,1.1662318,0.6762221,-1.1453397,0.79473716,-0.5042764,0.95386016,3.6931026,1.3502661,1.3965497,-1.5167869,-2.6341455,1.253265,-1.4372393,-1.6152622,0.63211083,0.4958211,-1.6387609,2.1175737,-0.43378282,0.3664068,-2.1975286,0.55331993,0.12415759,0.44959766,-0.46167538,-2.229126,1.6490829,-0.5311048,-1.3344412,1.7778288,0.98168486,-0.34587967,2.538966,-3.706251,0.6835477,-0.31739673,2.0111954,-0.025465282,1.0717007,-0.49283564,-1.1115197,-0.19303244,0.08401902,-0.89846987,0.16000065,-1.4987626,2.4035506,1.3038657,-1.7572874,0.94924134,0.2727233,2.7710204,1.8266822,1.85936
5,1,-0.36798888,1.0003685,-0.12346247,1.4786043,-1.0268815,-1.1645904,-0.8896913,0.8048762,-0.63358766,-0.049941953,0.42450985,-0.8793212,0.10626877,-1.722435,-1.1874399,-0.35561898,-1.8186088,0.8786216,-0.8182841,-0.30881178,1.9436625,0.6586238,1.0778921,0.39349982,1.1973319,-0.7550847,-0.9345296,1.0030688,-1.2791183,2.4647162,-0.32606298,1.037955,-1.1303148,-1.0214943,-0.5979772,-0.6310583,-0.243776,0.28139454,-0.84934974,1.0863947,-0.711695,0.65286356,1.187467,0.07192569,0.09112998,0.6406153,0.08071313,0.8834747,-0.39083722,-2.375878,-0.52332354,0.9454851,0.34688422,0.77944607,-1.0268161,0.8069806,0.3482918,0.0012142134,-1.342134,0.44799972,0.43669274,-1.0964324,0.4059094,0.13891368,-0.05811159,-0.41345975,0.29181054,-0.37523997,0.61846495,0.15801696,-0.27066407,-1.7279928,0.2031048,-0.81864345,1.4828373,0.114568256,1.1607422,-0.7531964,0.1107364,0.1375143,-0.34453636,-1.1563014,-0.50906944,-0.75802964,0.1238763,-0.5028482,1.5832567,-1.4123133,-0.5349026,1.3485888,0.1520213,0.5042366,0.66859293,0.87822765,1.2985348,-0.527537,-0.6637862,0.71942323,-0.2917372,-0.06413254,1.8741127,-1.1398642,0.20313385,0.4872193,-0.063149825,-1.3755003,-1.3943326,0.2176585,-0.83657384,-0.47585022,0.63799566,1.2119722,-0.8720923,0.24048069,-1.3869673,-0.4889895,0.07187266,-0.30197564,1.5411931,-0.9556041,-0.5110105,1.5888249,-1.3852769,0.852697,-0.66878366,0.6474164,0.74476177,0.28643733,-0.58540493,-1.0039785,-0.5099963,-0.5657885,-0.55978495,0.7061732,2.1127374,-1.0732265,0.96312046,0.045479972,1.3230159,-0.68162864,1.0402412,0.35482246,-1.7270076,1.9224306,0.6330925,2.729353,1.9816059,-0.42819485,1.0493488,1.4837381,0.5137815,-0.12069123,1.9181198,0.22719552,0.22565936,0.70069456,-0.24221618,-0.2416863,-0.72200644,1.113608,0.3965622,0.0055074417,-0.94386005,-0.309717,0.07067358,-0.09644681,-0.5387676,0.8755118,-1.3960054,0.22889598,-0.84686875,0.6050731,2.0440013,-0.45057583,-0.09149385,-0.0897849,0.6222338,0.21605383,1.6529231,-2.5906432,1.3786227,-0.23788851,0.75746536,0.30355558,0.49174508,0.17937072,-1.2480758,-0.8879111,-0.58961135,-0.9909685,-0.05409699,0.50963557,2.8722124,1.6744372,-2.180722,1.4726017,1.2474879,1.5979825,-0.07432685,1.2678711
6,0,1.5901943,0.8671365,2.0491269,-0.010789795,0.16038443,-0.54993147,0.9053105,0.8244538,-1.3929619,0.4610333,0.30632347,0.46298328,2.5624533,0.48451656,-0.15922034,0.7623105,-1.1920104,2.4768326,0.8873905,-1.2575805,1.104483,0.36976945,1.4644198,-0.25454026,0.1485259,-1.3317314,0.02212574,-0.99294406,0.49295303,-0.35013604,-1.75079,0.20576613,-3.0469625,-1.6851426,-0.99909574,-0.3674107,-1.0405815,-2.3204455,2.2059925,-0.47987148,2.6347775,2.8768458,-1.0025377,2.2991536,0.2940729,1.5312006,-0.83376276,0.3439395,-0.34537268,-0.7650235,-0.17629544,0.5212651,0.5760475,-0.11652757,2.2887497,-0.841901,1.6574357,1.6737822,0.32633358,-0.7639624,1.1532892,1.7250262,-0.064331524,-1.2305158,0.6681574,1.6529961,-0.24096735,1.1985314,-1.6974063,-3.2544053,0.052023552,-0.07016496,-0.90015393,1.5893247,0.5433433,1.5078695,-0.45553064,0.23224813,-0.65561974,0.07574099,1.4386884,1.4506435,0.048612475,-1.2785709,0.18074071,-1.6351391,0.86759883,0.784902,-0.33128166,0.047883123,1.4566896,1.8912792,-1.6417907,1.094625,-0.19987527,-0.8232169,0.70974916,-1.8291405,-1.8762305,1.3097425,0.9790456,-0.56351364,0.017879829,2.114135,-0.44530532,0.3258629,2.4897735,-1.4425577,-0.29159287,2.3785424,-2.9999979,0.7633542,0.3597658,0.9077298,-0.7610503,-0.3324368,-0.7122427,0.38261208,-0.35530034,0.50646836,-2.0389414,-0.43935767,-1.8619496,-0.15170507,-1.234278,2.6540751,-1.8927402,0.9452661,2.8012981,0.34437427,-1.7325698,0.10914488,2.159952,-0.4857597,1.11649,-0.25768304,1.8703672,1.7696543,1.2312719,-1.3938565,0.49532464,0.80228245,-1.3822685,-0.13990135,0.5241926,1.2740233,-0.18828204,0.79476655,1.1230204,0.22749808,0.6305555,-0.84405476,1.0771096,1.8861539,1.9458147,0.22796066,1.0552378,0.7119804,-0.7664556,-1.0111722,1.7428437,0.9686002,0.04902341,1.2186731,-0.5643795,-0.105167724,0.31146422,-1.6784661,0.504365,-0.34218684,-0.66186994,1.3167636,1.0551165,0.75909555,-1.015055,1.2945904,0.83680403,-2.0263658,2.3765883,-2.859219,2.0663455,0.66838443,0.73124653,-1.062723,2.5442162,1.3545239,-1.1885468,-0.6699223,-2.7724738,1.6586874,-0.22058968,-1.5015813,4.8578143,0.9973966,-2.713182,-1.7209326,1.0355538,-0.21899995,-0.34776953,3.03622
7,0,1.4315449,0.641823,-0.6093654,0.72760206,-0.48963577,-1.4121244,-1.4709946,0.48972777,-1.0097415,-0.9003086,0.74420714,-0.038970042,-0.5907621,-0.75656134,-0.77429867,-0.06517363,-0.25898588,0.6314076,-1.1783628,0.2511732,1.3591756,-0.47504586,0.9769273,0.34395245,0.8262149,-1.6487583,-1.5302641,0.65486807,-0.0016856432,0.3764378,-1.0655231,0.8239547,-1.7395763,-1.0883058,0.13909644,-0.12950459,0.37553537,-0.8196918,0.1299066,0.101959,1.1462696,0.5477686,1.7600185,1.1089811,-1.7384285,2.481899,0.9772193,-0.18374759,-0.9903181,-1.6071002,-1.22287,0.49804053,-0.3378835,-1.1514565,0.3413115,-0.1982711,0.70251924,1.3382198,-1.1215893,1.5252569,1.0918928,0.721383,1.1528158,-0.3996816,0.17618456,0.3790775,-0.62069654,-2.0408344,-0.5832425,0.74496025,0.21620339,-2.4715319,0.99312437,1.0824245,1.9990011,0.845704,1.9151984,-0.50470155,-1.5311967,0.7407282,-0.22150767,0.5419827,-0.33836696,-1.5734593,-1.3218063,0.6817667,0.9488119,-1.5946336,-0.47786868,0.45420763,0.116104834,1.1681728,0.3211477,0.7026094,-0.5737517,-0.42488456,-0.5433808,-1.6104846,-0.3698581,0.09281681,0.40698725,-1.7682636,1.2659239,1.5622264,-0.118604206,-0.6937651,-2.6047726,0.99273694,-0.00087363436,-0.5100887,0.8572747,0.41933087,-0.90531415,0.9407936,-1.0300964,-0.3357813,-0.6848586,-0.9477647,1.2951678,-1.4610609,-1.1174772,1.2746578,-0.845083,0.3315146,-1.8790092,0.6697702,0.27849606,0.5563945,1.6918074,-0.2525343,-2.8389869,-1.1978393,2.0014954,1.9041353,0.68157876,0.6245241,0.032380983,1.4369936,0.33277157,-1.5299349,1.4147043,1.0120043,-1.6976306,0.49525025,-0.42005792,2.3032336,0.9009698,-0.46690634,-0.014230834,1.6464721,-0.17318524,0.20620406,0.20260262,1.252601,0.3725043,0.9216356,0.51697314,-0.38685334,-0.46829763,1.7133965,-1.5129006,0.19381294,-0.6698461,0.252478,-1.1326566,0.2691867,-1.4408551,-0.51206017,-1.5815115,2.3174179,-1.5412729,0.5403459,1.315998,-0.1574711,1.3238707,1.1070868,0.08401622,1.1004735,1.2574556,-2.8530872,1.6560032,1.110792,-0.03667973,0.08320892,1.8455548,-1.053611,-0.24746662,-1.4074919,-0.012705235,0.7748982,0.255538,0.26007468,2.1915965,1.1903344,-1.2478817,1.2164078,0.3898241,2.051766,-0.4487203,1.8144202
8,1,0.10698384,-0.33517504,0.33358648,0.79785943,-0.4226939,-0.25236794,-1.5233389,1.0678937,-0.29196447,-0.33100444,0.25115684,0.42734933,0.62343156,-0.94721645,-1.6843483,-0.11013934,-1.8305246,1.883457,-0.36114514,-0.31069535,-0.1900501,1.3695229,0.7469756,-0.95751274,-0.5654397,-0.47404763,0.22795013,-0.5616118,-0.31992376,0.42073333,-0.18533605,0.29572222,-1.4735409,-0.07110351,-1.1367935,-0.27483976,-0.53998256,-0.48072302,1.8369727,-0.35714388,0.16580044,0.83339226,0.4507283,0.023045024,0.38640592,1.0835427,-0.5053196,0.5581322,-0.007336863,-0.11547193,0.7440634,1.172505,-0.04195742,1.1701082,0.19058444,0.30537578,0.013170472,0.64971566,-0.8357134,-1.4105,1.5501289,-0.28961408,-0.80216455,-0.7071796,-0.42355213,0.63246983,-0.16755936,-0.1984123,-1.0359559,-0.46150005,0.24748158,-0.59552604,-0.06062786,0.49795017,1.0100901,0.8720737,0.14953242,0.06513426,-0.42453563,1.131685,0.5623597,-0.61907387,-0.1352744,-0.61487085,-0.17960057,-0.34009922,0.7966021,-0.89729035,-0.8603207,1.134611,0.9466896,0.69234914,-0.057009432,1.4216257,0.43842024,0.12568316,-0.665333,1.3396508,0.20306726,0.45425808,0.70030606,-0.099117346,-1.16093,1.0363404,-0.6160145,-0.48511568,0.39209086,-0.7270188,-0.9114366,-0.06798179,-1.3269794,0.42604774,-0.7434752,0.9205714,-0.53574103,-0.20739575,0.20607635,1.1750699,0.25465629,-0.669442,-0.54254776,0.3715464,-0.7421087,0.11728398,-0.88165474,2.0594246,-1.5461116,1.0350271,0.91302127,-0.028268378,-0.516683,0.6990699,0.20894049,0.5145578,0.53932446,0.16598582,0.2286913,1.256748,0.62893736,-0.017826485,0.35466602,-0.28848663,-0.363193,0.686563,0.6041982,0.7270294,0.30659318,1.3295448,1.0046834,2.2242262,0.0631159,-0.13539563,1.8281513,-0.12597145,1.5456842,-0.8906736,-0.21294269,0.94951195,-2.1405714,0.5997272,1.5664562,0.21183191,-1.0560079,-0.29587322,0.3547523,1.2755071,-0.2585391,-0.42638665,-0.96588147,0.000644582,0.30823168,0.76845735,1.6522259,0.55221164,-0.7537739,-1.0400864,0.35736418,-0.18228666,1.3670288,-2.7483037,1.3541939,-0.7530671,1.2103041,-1.002435,0.94126153,-0.48299617,-0.8933972,-0.43558532,-0.5511452,-0.02472843,-0.25664777,-1.3891596,2.1283479,1.1048561,-1.8294284,-0.9950774,1.4094456,1.0617293,-0.52756184,0.55923694
9,1,0.87926596,2.290853,0.18734163,2.437427,-3.686827,-0.35002485,-1.3072116,1.1932919,-0.63102865,0.5162633,0.2524611,1.3949324,-0.7022991,-2.4114206,-3.5537856,1.6665212,-2.1984253,-0.15002902,-1.9403565,0.9755432,-0.06525946,1.1922992,0.49375495,-1.666124,0.49183622,-2.3677375,-0.6748025,-0.18565741,3.5714262,0.24378495,0.19157192,0.39456242,-3.7523024,-2.3731835,0.49254274,-0.75655055,0.58905816,1.2563788,-1.0868232,0.5067665,0.3060299,1.3675953,0.9970581,-0.97492176,1.409507,1.8301339,-0.16159561,-0.14391214,0.11051203,-1.6123728,0.8978417,0.754844,0.27805862,-1.6015881,0.660967,1.2339901,-2.0849223,1.9335828,-1.3421649,3.6787107,1.1589184,1.0209173,3.3006864,-1.9700234,-0.42998385,1.9017483,1.3683187,-3.291822,-0.13922742,0.5410376,-0.29925367,-0.4067326,2.1926506,1.1984712,1.412392,-1.011568,2.677557,0.32318196,-0.5656593,1.1395744,2.1958776,-1.0151666,-0.3755218,-0.47193375,-1.4619577,0.9359207,1.3550156,-0.33225194,-1.9265487,-0.9581838,1.4614093,1.436593,-0.72986406,-0.40673804,-2.2635996,-0.42758533,-2.5756147,-0.46439192,0.09215925,1.0665504,0.64495367,0.39679742,0.17862867,1.2019719,-0.36781332,-1.0571328,-0.7031754,2.9577444,-0.17799388,-1.5174199,-0.06024502,0.34843406,-1.8285187,1.1143422,-2.3896132,0.34618506,0.32326728,-1.0275327,1.1995416,-0.71500206,-1.9003669,-0.24197672,-0.98762065,1.5803406,0.11633248,1.4734205,0.38309792,1.6514125,2.0377586,1.4047221,-0.91833675,-2.1984367,2.1232529,1.5439491,2.111315,0.3895899,2.3903325,2.4701962,-0.8169987,-1.7561811,4.012555,-1.0937433,1.6923356,-1.2493923,1.7292271,3.1149576,-1.0748985,-1.2749786,1.5216025,-0.82744014,-0.61832756,0.7033516,1.9276669,0.5477171,-0.25355476,0.7523376,1.753568,-0.18760827,-0.69167924,2.906419,-0.12253051,-0.80456793,1.3580741,0.3943686,-0.30165586,0.11017621,-4.2139597,-1.4947658,-1.9821897,-2.8340278,1.9478512,-0.19478667,1.5500469,0.5154728,1.3874893,0.18620436,1.5794332,0.7787604,3.1921809,-2.1990206,0.90236723,-0.55636764,0.7970406,-2.0264008,0.44811478,-0.70617336,-0.010981091,-1.4089886,0.019874722,2.4725487,-1.5415455,0.16571294,3.0815313,3.1429386,-0.83393073,1.4895713,1.4147809,1.3051475,-0.090415865,1.4511235
