,AKAP1,AKAP10,AKAP12,AKAP13,AKAP14,AKAP4,AKAP5,AKAP7,AKAP8,AKAP9,CAMK2A,CAMK2B,CAMK2D,CAMK2G,CAMK4,CAMKK1,CAMKK2,CKS1B,CKS2,DAPK1,DOK1,GIT1,GIT2,LCK,MAP2K1,MAP2K2,MAP2K3,MAP2K4,MAP2K5,MAP2K6,MAP2K7,MAP3K1,MAP3K11,MAP3K12,MAP3K13,MAP3K2,MAP3K3,MAP3K4,MAP3K5,MAP3K6,MAP3K7,MAP4K4,MAPK1,MAPK10,MAPK11,MAPK13,MAPK14,MAPK3,MAPK4,MAPK6,MAPK7,MAPK8,MAPK8IP1,MAPK8IP2,MAPK8IP3,MAPK9,MAPKAP1,MAPKAPK2,MAPKAPK3,MAPKAPK5,PACSIN1,PACSIN2,PACSIN3,PAK1,PAK2,PAK3,PAK4,PAK6,PDPK1,PKIA,PKMYT1,PKN1,PKN2,PKN3,PRKAA1,PRKAA2,PRKAB1,PRKAB2,PRKACA,PRKACB,PRKACG,PRKAG1,PRKAG2,PRKAG3,PRKAR1A,PRKAR1B,PRKAR2A,PRKAR2B,PRKCA,PRKCD,PRKCE,PRKCG,PRKCI,PRKCQ,PRKCZ,PRKD1,PRKDC,PRKG1,PRKX,PTK2,PTK2B,PTK6,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KB1,RPS6KB2,SH3KBP1,SKP1,SKP2,TAB1,TAB2,TAB3,TEC,WNK1,WNK2,ZAP70,Y
0,34.60808495,33.49616124,33.70897672,35.07189591,22.03041134,21.29250635,25.03612701,32.35217082,32.36436161,34.79915075,22.42737011,23.30613771,33.32268834,32.47896333,31.84628948,28.35774338,32.31804312,33.96203211,31.92201932,33.46779,32.35876,34.08641,34.01848,30.9022,33.27627,35.29833,33.95898,32.4515,32.48531,32.12432,32.5544,31.57267,32.97903,32.52626,34.62032,32.97457,32.06915,31.9926,33.61599,32.47251,31.96497,34.90842,34.88137,32.30489,31.00937,29.58041,32.9545,34.64783,22.18652,32.09408,30.04243,32.64741,30.40759,28.25566,34.72991,32.68799,33.2695,34.71841,32.22331,31.79539,33.31509,33.20525,30.56499,34.43928,35.01429,31.38118,32.80315,23.18019,34.42865,23.73929,32.14723,35.34181,34.67924,30.40124,33.49533,29.59383,33.04019,31.53186,33.51251,31.48383,21.47758,33.49104,34.33614,21.56296,37.44094,32.5789,32.18625,29.80144,32.57782,31.98517,30.94168,22.45731,32.34788,29.88968,32.39266,33.9938,35.18313,31.13806,32.67034,34.68831,33.57576,32.33004,33.94669,31.43074,33.37517,33.56958,32.19939,33.8464,36.9341,32.63417,31.95379,34.91153,31.28668,29.68056,36.11211,24.43924,31.17945,1
1,33.99120291,33.32168357,34.36488221,35.36039032,22.03041134,22.76219274,28.27992933,32.33216485,32.86581237,35.33352804,22.42737011,29.33195295,34.00566755,32.6058696,30.61344807,30.04038168,31.99675224,33.79780826,30.30666076,33.52421,32.20443,33.95814,34.35609,30.34393,33.67856,35.08394,32.6229,32.55155,32.49535,31.40147,31.31071,33.26689,32.96737,32.72787,32.99328,33.71115,32.71208,33.87399,33.00344,33.35527,32.57167,34.98189,34.59405,33.79207,30.20047,31.5158,33.3227,35.12704,22.18652,30.9797,31.38567,34.04178,31.79364,28.76253,34.08908,34.05878,33.4324,34.83091,32.01915,33.19657,29.06497,33.55903,29.42546,33.95625,34.17405,31.61072,33.10651,23.18019,33.74896,30.09801,29.33266,34.97888,34.54182,29.78543,34.50997,31.29948,33.6466,31.11729,34.0753,32.96311,21.47758,33.94524,34.19727,21.56296,37.65514,32.08128,33.22934,30.39919,32.36341,32.82061,31.93903,22.45731,33.22618,30.61865,32.75888,32.78048,34.17536,33.2884,34.36043,35.21949,32.41343,24.7612,32.1908,34.01019,34.28723,33.70185,32.10181,33.48549,37.99486,31.80604,31.26559,35.52924,31.96868,30.78769,35.66152,27.36432,29.3878,1
2,33.38375144,33.2240085,31.94149375,35.09041227,22.03041134,21.29250635,29.08287532,32.50632588,33.31076485,34.89415498,22.42737011,28.54606618,35.40076521,32.85252625,29.11482185,31.93580591,32.32699516,31.2461145,32.20295482,33.05285,32.3904,33.43046,33.84323,29.65388,34.52269,36.32465,33.56186,34.53363,33.29063,30.73832,32.20438,32.14005,32.23955,32.22011,31.76402,34.35038,32.79447,33.62014,31.68006,32.09186,32.76906,35.37497,34.80268,30.71201,29.732,31.07017,33.5037,34.83018,28.10007,32.48272,33.68312,33.45663,31.23993,28.95608,32.66268,33.1913,34.16885,35.15009,33.41005,32.95143,22.6509,33.6767,29.09142,33.80051,34.33945,28.55157,33.75931,29.55226,33.26272,23.73929,29.78063,33.57132,35.47464,28.47541,33.29482,30.52151,32.12672,30.00445,34.56067,32.75556,21.47758,34.37101,33.01833,21.56296,38.21425,31.6645,34.61056,30.02789,32.12172,32.13862,31.21546,26.2617,32.97094,29.79059,31.50642,33.0613,35.03186,30.52351,33.07848,35.3711,31.08899,25.50414,32.7933,32.15445,35.42502,34.40316,32.62081,34.57324,37.51718,32.78642,31.28554,36.91118,31.50909,31.05624,36.41957,30.08133,29.53435,1
3,33.50457235,34.38828942,33.92180443,35.52280451,22.03041134,24.47997547,28.86351871,32.08043038,32.66318898,35.60542481,22.42737011,28.09995752,33.82227576,32.79851228,30.47317261,30.52466323,31.88517361,33.95416309,30.97822806,31.87482,31.35791,32.82706,34.4183,30.42717,34.03312,35.31059,33.41049,34.35777,32.30567,32.31985,31.16331,32.60248,32.32255,32.59413,32.99919,33.96884,32.89226,33.55383,32.97341,33.4603,32.31699,35.75634,34.80297,33.18777,30.41409,31.19771,33.34435,34.51162,25.84996,31.7578,31.82842,33.49951,31.08524,23.96284,33.17061,33.34278,33.06502,34.892,32.85616,32.79367,22.6509,33.80118,30.63099,34.5325,34.25498,29.47544,33.3432,30.92669,33.00459,32.08319,26.8154,34.80075,34.89399,30.53537,34.2493,30.82821,32.17721,32.39723,33.71444,33.07072,21.47758,34.20743,34.31318,21.56296,38.31521,32.04845,33.53519,31.22881,32.14799,32.31056,32.79986,26.98369,33.66821,30.66161,31.61304,32.20634,34.07295,34.23986,33.32578,35.75049,31.97237,27.53904,32.69261,33.75946,35.00023,33.72488,31.6869,33.06747,37.50937,31.60685,30.86918,35.41662,32.18003,30.20403,35.95344,29.61611,29.3277,0
4,33.96016889,32.78499626,34.56639372,36.0509885,22.03041134,21.29250635,25.03612701,25.44371053,33.15671419,35.92976991,22.42737011,23.30613771,33.88454489,31.92955465,24.27460282,29.90583457,32.20402147,29.64649039,24.08986007,33.64163,22.79574,32.82967,34.03057,25.0887,33.76729,36.59994,34.797,32.36945,32.92783,31.30131,32.07908,32.97592,31.66518,32.21939,32.559,34.84839,30.71106,33.75159,33.94307,32.42933,32.98294,36.02567,35.43823,31.54127,29.65909,30.27158,32.80046,33.26646,22.18652,33.00576,32.17699,31.96469,29.90581,21.7955,33.61123,32.29031,35.03678,35.16598,33.19406,33.5399,22.6509,33.10418,30.51497,34.23407,34.29476,30.54561,31.38225,23.18019,34.54715,29.96897,29.53309,34.8615,33.68247,29.63356,34.49665,30.61938,32.40321,31.1215,32.85758,32.82365,21.47758,32.97055,35.61929,21.56296,37.93314,25.86491,34.28419,25.33568,31.9929,32.00485,29.91208,22.45731,33.75289,24.21847,29.5253,32.30597,35.70394,33.44003,33.49095,37.18068,33.31277,22.36402,30.10995,33.85258,35.27965,33.83427,32.50817,34.04029,36.23707,32.31155,28.88966,36.12132,32.74898,27.76103,34.91137,31.53988,30.59498,1
5,34.54436419,32.13491805,32.03848359,36.27842722,22.03041134,21.29250635,30.39738787,32.13195088,31.99733698,35.3652116,22.42737011,23.30613771,33.24589991,32.7951625,31.99072262,30.60852885,32.03993776,33.22824491,32.34468807,34.02498,32.32086,32.59353,34.77008,32.01985,34.14445,35.79148,33.11353,32.76636,34.0801,30.46727,27.13848,33.40372,32.11581,33.42516,32.4515,33.31487,33.09726,34.06596,32.40421,31.85115,31.61603,35.79713,33.78642,31.66781,30.04643,30.51615,34.23771,33.75885,22.18652,32.0516,32.53622,32.45859,29.30182,21.7955,33.30681,33.95471,33.94578,34.94529,34.18648,33.33995,22.6509,34.04608,23.56318,33.06776,34.49448,24.16067,31.74682,23.18019,33.28621,32.09345,29.79078,34.82633,33.43566,31.28981,33.57119,30.65953,32.41376,30.39091,34.39237,32.94449,21.47758,34.31395,35.28484,21.56296,37.89419,32.792,33.60264,25.33568,30.91165,32.46472,31.19242,22.45731,31.58399,31.79274,28.06801,30.40127,34.80909,30.70005,33.31567,35.56521,34.30618,22.36402,32.54691,34.28414,35.31193,33.92187,32.82093,33.502,36.73111,33.07595,31.03169,35.73434,33.2401,33.26293,36.59836,27.46649,31.70895,1
6,35.16675615,33.70829757,34.06850927,34.53606672,22.03041134,21.29250635,29.955209,31.89645503,32.13772757,35.22387753,22.42737011,31.39772684,34.03328931,32.86391579,29.3422046,29.35058715,32.66522765,34.61837871,32.85929405,33.75658,30.88195,32.82782,35.30357,30.5854,32.30915,34.89572,33.69678,34.48093,33.11138,29.66953,31.95947,33.45251,32.90277,31.61811,34.52482,33.59332,32.26466,32.95084,32.66542,31.27326,32.30216,34.29362,34.75749,32.06499,29.67327,32.4342,33.32266,34.46245,28.03717,31.77144,31.40602,33.49566,31.82402,27.35196,33.20032,33.36679,33.58932,34.65424,32.91007,33.31198,22.6509,34.03882,29.23867,33.46943,34.18635,28.86562,33.44912,29.13641,34.09298,31.966,30.42874,35.00969,34.68896,30.54981,33.91879,32.14142,34.44702,31.50227,33.44334,32.20237,21.47758,33.76298,33.76567,26.81624,37.80771,32.76029,32.86241,30.28133,31.56924,32.2567,31.12705,22.45731,33.65426,29.77903,32.47316,33.53538,34.32083,31.92723,32.7276,35.58832,32.29825,27.37686,33.28682,32.79864,33.95197,33.69824,32.22198,33.3927,37.23474,31.88082,30.9831,35.15326,32.72175,30.89788,35.26,27.98866,29.38172,0
7,34.52102514,33.36694964,34.60212092,35.36473134,22.03041134,21.29250635,29.22458856,32.3431834,32.87942516,35.65651128,28.32275985,23.30613771,32.60465911,32.31572332,31.8212265,28.36589498,32.18443209,29.48569084,31.38289005,33.40616,32.2718,32.90085,34.49579,31.02245,33.27335,34.34681,33.50134,32.69935,32.75177,31.40107,31.63119,32.11003,32.65884,32.6485,33.23639,33.8734,32.10977,35.12768,32.59304,31.63323,32.85085,34.25647,33.35794,33.06852,29.79567,30.71539,32.97983,34.04426,22.18652,30.14203,32.1258,33.0579,30.77211,27.25353,33.92635,33.35885,34.15157,34.10464,32.56183,32.63743,22.6509,32.30179,30.21193,32.87712,34.7594,28.42068,32.85861,30.0306,32.92011,29.44342,30.62782,33.855,34.23444,31.48718,34.34795,30.9041,31.32987,29.5135,32.75918,31.95321,21.47758,32.73307,34.83971,29.95442,36.43501,32.6203,33.12693,32.43932,33.41223,32.51519,30.68402,28.51605,33.88883,32.01878,32.79595,32.4735,34.48979,30.51395,32.76785,34.10548,33.6868,28.80748,33.13829,33.33549,33.8679,33.7777,32.27824,33.42823,36.80575,32.1889,33.04207,35.24348,32.8246,31.03356,34.97466,29.20316,31.61262,0
8,34.45728255,34.42538678,34.56276681,35.76460028,22.03041134,21.29250635,29.08709295,32.48767517,32.93255346,35.47866528,22.42737011,23.30613771,33.50767979,33.2882489,31.53848872,30.10402766,32.13382667,33.94695604,24.08986007,33.48793,31.20403,32.89106,33.89674,29.58968,34.50593,36.12716,32.13833,33.52071,32.67009,30.02105,31.81519,32.98653,32.73289,31.80016,32.86997,33.49288,33.11814,33.8392,32.95975,33.03788,32.50032,35.04737,34.53235,30.16666,29.05794,32.31466,32.53398,34.75235,22.18652,31.23827,31.41361,33.69437,32.52905,26.21944,34.298,32.53506,33.21162,34.45435,31.38141,33.93496,26.88615,33.48735,32.41816,34.53582,34.05325,24.16067,32.69828,25.7318,33.56837,23.73929,27.05526,34.88071,34.89177,30.33529,34.58504,31.56858,34.05749,31.83257,34.01269,31.93947,21.47758,33.26733,34.1894,21.56296,37.1709,30.73559,32.43763,30.0524,31.38428,32.83518,32.66794,22.45731,32.85427,29.99587,32.07317,31.73002,35.08922,33.45599,33.09593,35.67155,32.38907,28.9282,32.13563,33.80996,35.67409,33.06239,32.42253,34.3636,36.85954,32.51919,30.65196,35.87439,31.73087,31.54828,35.8816,30.44153,28.62839,1
9,34.17444214,33.96427606,31.29729032,35.13911775,22.03041134,21.29250635,29.95721575,32.01354731,33.37756868,35.20867581,28.79524879,29.47511869,32.74648671,32.96021371,30.8876894,30.05292833,32.07325346,34.40868905,31.30104142,33.87014,32.17503,33.2713,34.55125,31.71111,33.41833,35.43665,33.57188,33.09097,32.88448,30.95485,31.65057,32.12859,33.88644,33.83388,33.5402,32.18522,31.95377,33.32266,32.41828,32.75968,31.68021,35.13014,34.45394,30.94178,30.20865,32.10841,32.79071,34.05973,22.18652,32.50843,32.48049,32.06324,33.50462,32.46921,34.17976,32.61412,32.67396,35.75716,33.6665,33.59081,22.6509,32.8938,28.89282,33.27939,33.06229,31.32649,33.19351,25.3658,33.37736,30.04147,30.03615,34.8772,34.14749,29.74323,33.68639,29.24964,32.16136,31.64195,33.45549,30.97482,21.47758,33.35226,34.4626,21.56296,37.20086,31.91417,33.32328,28.85498,34.11735,32.6853,31.87346,26.15824,33.8546,33.47762,32.30346,32.47303,34.03263,32.87135,32.4463,34.28,32.62587,29.2018,32.63967,32.90193,35.03629,33.98977,32.56115,32.87084,36.74611,32.46521,31.0839,34.1451,31.7795,28.32082,36.13284,28.52665,28.2083,1
