	#node1	node2
0	AKAP1	PRKAR2A
1	AKAP1	PRKAR2B
2	AKAP1	PRKACA
3	AKAP1	PRKACB
4	AKAP1	PRKACG
5	AKAP1	PRKAR1A
6	AKAP1	PRKAR1B
7	AKAP10	PRKAR2B
8	AKAP10	PRKAR1B
9	AKAP10	PRKAR2A
10	AKAP10	PRKAR1A
11	AKAP12	PRKCA
12	AKAP13	PRKAR2A
13	AKAP13	PRKAR2B
14	AKAP13	PRKAG1
15	AKAP13	PRKD1
16	AKAP13	PRKACB
17	AKAP13	PRKACG
18	AKAP14	PRKAR2A
19	AKAP14	PRKAR2B
20	AKAP14	PRKACA
21	AKAP14	AKAP4
22	AKAP14	PRKACB
23	AKAP14	PRKACG
24	AKAP4	PRKAR2A
25	AKAP4	PRKACA
26	AKAP4	AKAP14
27	AKAP4	PRKAR1A
28	AKAP4	PRKACB
29	AKAP5	PRKAR2A
30	AKAP5	PRKAR2B
31	AKAP5	PRKACA
32	AKAP5	PRKACB
33	AKAP5	PRKACG
34	AKAP5	PRKAR1A
35	AKAP5	PRKCA
36	AKAP7	PRKAR2A
37	AKAP7	PRKAR1A
38	AKAP8	PRKAR2A
39	AKAP8	PRKAR2B
40	AKAP8	PRKAG1
41	AKAP8	PRKACG
42	AKAP8	PRKACB
43	AKAP9	PRKAR2A
44	AKAP9	PRKAR2B
45	AKAP9	PRKCE
46	AKAP9	PRKAG1
47	AKAP9	PKN1
48	AKAP9	PRKACG
49	AKAP9	PRKACB
50	CAMK2A	CAMK2G
51	CAMK2A	CAMK2D
52	CAMK2A	CAMK2B
53	CAMK2B	CAMKK1
54	CAMK2B	CAMK4
55	CAMK2B	CAMKK2
56	CAMK2B	CAMK2G
57	CAMK2B	CAMK2D
58	CAMK2B	MAP3K5
59	CAMK2B	CAMK2A
60	CAMK2D	CAMK2G
61	CAMK2D	CAMK2A
62	CAMK2D	CAMK2B
63	CAMK2G	CAMK2B
64	CAMK2G	CAMK2A
65	CAMK2G	CAMK2D
66	CAMK4	CAMK2B
67	CAMKK1	PRKAA1
68	CAMKK1	CAMK2B
69	CAMKK1	CAMKK2
70	CAMKK2	CAMKK1
71	CAMKK2	PRKAA2
72	CAMKK2	CAMK2B
73	CKS1B	SKP1
74	CKS1B	PKMYT1
75	CKS1B	SKP2
76	CKS1B	CKS2
77	CKS2	PKMYT1
78	CKS2	CKS1B
79	DAPK1	MAPK3
80	DOK1	PTK6
81	DOK1	TEC
82	GIT1	PAK1
83	GIT1	MAP2K1
84	GIT1	PAK2
85	GIT1	PTK2
86	GIT1	GIT2
87	GIT1	PAK3
88	GIT2	PAK1
89	GIT2	PAK2
90	GIT2	LCK
91	GIT2	PTK2
92	GIT2	GIT1
93	GIT2	PAK4
94	GIT2	PAK3
95	LCK	MAPK1
96	LCK	MAPK8IP3
97	LCK	MAPK3
98	LCK	PRKCQ
99	LCK	ZAP70
100	LCK	PAK1
101	LCK	GIT2
102	LCK	PTK2
103	LCK	PTK2B
104	MAP2K1	MAPK1
105	MAP2K1	MAP2K2
106	MAP2K1	MAPK3
107	MAP2K1	GIT1
108	MAP2K1	MAP3K1
109	MAP2K2	MAPK1
110	MAP2K2	MAP2K1
111	MAP2K2	MAPK3
112	MAP2K3	MAPK14
113	MAP2K3	MAPK8IP2
114	MAP2K3	MAP3K4
115	MAP2K3	MAP3K5
116	MAP2K3	MAP3K3
117	MAP2K4	MAPK8IP3
118	MAP2K4	MAP3K5
119	MAP2K4	MAPK10
120	MAP2K4	MAPK8
121	MAP2K4	MAP3K1
122	MAP2K4	MAPK9
123	MAP2K5	MAP3K2
124	MAP2K5	MAP3K3
125	MAP2K5	MAPK7
126	MAP2K6	MAPK14
127	MAP2K6	MAP3K5
128	MAP2K6	MAP3K4
129	MAP2K7	MAPK8IP1
130	MAP2K7	MAP3K11
131	MAP2K7	MAP3K5
132	MAP2K7	MAPK10
133	MAP2K7	MAPK8
134	MAP2K7	MAP3K1
135	MAP2K7	MAPK9
136	MAP3K1	MAPK3
137	MAP3K1	MAP2K1
138	MAP3K1	MAP4K4
139	MAP3K1	MAP2K7
140	MAP3K1	MAP2K4
141	MAP3K11	MAPK8IP1
142	MAP3K11	MAPK8
143	MAP3K11	MAP2K7
144	MAP3K12	MAPK8IP1
145	MAP3K13	MAPK8IP1
146	MAP3K2	MAP2K5
147	MAP3K3	MAP2K5
148	MAP3K3	TAB1
149	MAP3K3	MAP2K3
150	MAP3K3	TAB2
151	MAP3K3	MAP3K7
152	MAP3K4	MAPK13
153	MAP3K4	MAP2K3
154	MAP3K4	MAP2K6
155	MAP3K4	SH3KBP1
156	MAP3K5	MAPK8IP3
157	MAP3K5	MAP2K3
158	MAP3K5	MAP2K6
159	MAP3K5	MAP2K7
160	MAP3K5	CAMK2B
161	MAP3K5	MAP2K4
162	MAP3K5	MAP3K6
163	MAP3K6	MAP3K5
164	MAP3K7	TAB1
165	MAP3K7	PRKCQ
166	MAP3K7	PDPK1
167	MAP3K7	MAP3K3
168	MAP3K7	TAB2
169	MAP3K7	TAB3
170	MAP4K4	MAP3K1
171	MAPK1	RPS6KA3
172	MAPK1	RPS6KA2
173	MAPK1	PTK2
174	MAPK1	LCK
175	MAPK1	MAPK3
176	MAPK1	RPS6KA1
177	MAPK1	MAP2K1
178	MAPK1	MAP2K2
179	MAPK10	MAPK8IP1
180	MAPK10	MAPK8IP3
181	MAPK10	MAP2K7
182	MAPK10	MAP2K4
183	MAPK11	TAB1
184	MAPK11	MAPK14
185	MAPK11	MAPKAPK5
186	MAPK11	MAPKAPK2
187	MAPK11	MAPKAPK3
188	MAPK13	MAP3K4
189	MAPK13	MAPKAPK3
190	MAPK14	TAB1
191	MAPK14	MAP2K6
192	MAPK14	MAPKAPK5
193	MAPK14	PRKG1
