,APAF1,ARID1A,ATM,BAP1,EPAS1,ERBB2,GSTP1,HSPB1,HSPD1,IL6,MAPK8,MTOR,NDRG1,NF2,PAK1,PIK3CA,PTEN,PTGS2,RELA,RNF139,SETD2,SLC2A1,SOD2,TGM2,TP53,TSC1,TSC2,VHL,Y
0,32.66876907,33.84802607,35.94242939,33.67729431,37.95811,35.32243,36.48088,38.25591,37.02204,29.74353,32.64741,33.01718,40.63163,33.9608,34.43928,32.42544,36.73944,31.08504,33.09884,32.46554,32.58565,33.38586,38.67433,38.50142,33.83518,32.93402,34.9352,32.30615,1
1,32.3374933,33.84351312,35.98822522,32.64314903,38.83281,33.71706,36.21403,37.41814,36.4892,24.29608,34.04178,33.17883,39.95111,33.69899,33.95625,33.21465,37.13114,30.16993,33.06941,32.2719,33.19915,33.69538,38.64559,34.33752,34.4481,33.1663,35.08304,32.19988,1
2,31.81819796,33.51600486,36.19358742,32.36886592,37.19345,33.38917,35.34069,37.94992,36.51745,33.97471,33.45663,34.06093,39.71223,34.07472,33.80051,32.46705,37.91878,30.76766,33.64965,32.55514,32.84628,36.23588,40.50559,35.50178,35.4198,33.63282,34.79244,31.49147,1
3,32.60129346,34.19769825,36.57834764,31.89539977,39.46713,33.2234,35.36208,37.8679,37.13423,31.49884,33.49951,33.50445,39.71355,33.14612,34.5325,33.87549,37.77827,30.54053,33.14439,33.19823,33.68316,34.41938,38.99231,35.77236,34.18862,32.8825,35.02014,32.11538,0
4,33.59312094,33.35146049,36.80749673,33.96834807,38.49884,33.40876,34.26885,35.26187,36.15876,33.92214,31.96469,34.22502,38.62867,32.58079,34.23407,34.24976,37.99008,30.95478,32.91133,30.89813,34.63036,34.59911,38.41437,33.47112,34.91241,33.44515,35.0131,33.33646,1
5,32.17143266,34.10911272,36.40182607,33.65253266,37.78717,31.56564,35.45477,37.34454,35.93764,32.79016,32.45859,33.6943,38.5392,34.48873,33.06776,32.89598,37.35848,31.91172,33.85039,33.57671,33.44016,34.82122,38.37018,35.95382,32.1613,32.87762,34.58115,32.85442,1
6,32.49340557,33.2711502,35.59938644,32.63333485,37.26115,33.86934,33.77116,38.47296,36.93566,28.13497,33.49566,33.4104,40.04039,33.95985,33.46943,33.09348,35.90397,30.24731,33.27512,32.97635,33.03294,32.74636,36.82956,33.97099,35.48656,34.09818,35.03263,31.61337,0
7,33.70161333,33.53933229,36.58622049,32.84343927,36.84683,33.54593,36.71615,36.69292,37.13487,31.54105,33.0579,33.66749,39.05777,34.45946,32.87712,33.12491,36.2205,31.72698,33.14299,31.99291,33.15593,30.31758,38.46245,36.33947,33.55736,33.38182,35.44935,31.10226,0
8,32.97588025,33.52393728,36.39940904,32.6601447,39.13267,34.12366,35.07026,36.53736,35.80065,29.57764,33.69437,33.70979,39.80144,33.40467,34.53582,33.18371,36.99773,29.70497,33.09857,33.13805,33.27641,33.88149,39.27165,34.75243,33.9354,33.36926,35.11777,32.53684,1
9,32.78962279,34.01346589,35.64113842,33.61841147,38.05661,33.37722,36.02627,39.12981,35.60927,29.86637,32.06324,33.08193,40.98348,33.05416,33.27939,32.33381,34.72746,31.08041,33.70842,31.84626,32.91771,35.78629,36.73066,36.90815,34.40646,33.0913,34.88229,30.84539,1
