	EPO	GATA3
0	EPO	HNF4A
1	EPO	GATA2
2	EPO	EPOR
3	EPO	EP300
4	EPOR	MST1R
5	EPOR	STAT5A
6	EPOR	STAT5B
7	EPOR	SRC
8	EPOR	MAPK1
9	EPOR	GAB2
10	EPOR	SHC1
11	EPOR	PTPRG
12	EPOR	MAPK3
13	EPOR	PIK3R1
14	EPOR	CISH
15	EPOR	JAK2
16	EPOR	SP1
17	EPOR	GRB2
18	EPOR	GATA2
19	EPOR	RACK1
20	SPRY2	GRB2
21	SPRY2	NR1H2
22	SPRY2	VHL
23	SPRY2	AQP1
24	SPRY2	SRC
25	SPRY2	MKNK1
26	SPRY2	RAF1
27	SPRY2	FBN1
28	SPRY2	HRAS
29	SPRY2	EGLN2
30	SPRY2	EGLN1
31	ERBB2	CDK1
32	ERBB2	ITGA5
33	ERBB2	PPP1R13B
34	ERBB2	STAT3
35	ERBB2	HSP90AA1
36	ERBB2	TNS3
37	ERBB2	PTK2
38	ERBB2	ABL2
39	ERBB2	IGF1R
40	ERBB2	PIN1
41	ERBB2	TFRC
42	ERBB2	DOK4
43	ERBB2	JAK2
44	ERBB2	ATP1A1
45	ERBB2	SHC1
46	ERBB2	EGFR
47	ERBB2	HSPA4
48	ERBB2	ANXA6
49	ERBB2	RASA1
50	ERBB2	CTNNB1
51	ERBB2	SRC
52	ERBB2	SOCS1
53	ERBB2	CD44
54	ERBB2	PIK3R2
55	ERBB2	PTPRG
56	ERBB2	CISH
57	ERBB2	GRB2
58	ERBB2	PRKCA
59	ERBB2	ERBB3
60	ERBB2	XPO1
61	ERBB2	TGFA
62	ERBB2	PIK3R1
63	ERBB2	SRPK1
64	ERBB2	NF2
65	ERBB2	PAK1
66	ERBB2	HDAC6
67	ERBB2	TGFBR2
68	ERBB2	STAT1
69	ERBB2	PTK2B
70	ERBB3	FGFR1
71	ERBB3	RASA1
72	ERBB3	PIK3R1
73	ERBB3	HSP90AA1
74	ERBB3	EGR1
75	ERBB3	TNS3
76	ERBB3	GRB2
77	ERBB3	JAK2
78	ERBB3	EGFR
79	ERBB3	ABL2
80	ERBB3	HCK
81	ERBB3	JAK3
82	ERBB3	SRC
83	ERBB3	PTK2B
84	ERBB3	PIK3CA
85	ERBB3	CDK5
86	ERBB3	PIK3R2
87	ERBB3	AKT1
88	ERBB3	MDM2
89	ERBB3	HDAC6
90	ERBB3	SHC1
91	ERBB3	PTK2
92	LPCAT1	ILK
93	ERCC2	CDK7
94	ERCC2	CDK1
95	ERCC2	XPO1
96	ERCC2	AR
97	ERCC2	BRCA1
98	ERCC2	SQSTM1
99	ERCC2	TP53
100	ERCC2	GTF2H1
101	ERCC4	MCM4
102	ERCC4	GTF2H1
103	ERCC4	MSH2
104	ERCC4	CUL1
105	ERCC4	RPS6
106	ERCC4	PIAS2
107	ERCC4	RPS15A
108	ABL2	EGFR
109	ABL2	GRB2
110	ABL2	PDGFRB
111	ABL2	LGALS3
112	ABL2	PIK3R1
113	ABL2	HCK
114	ABL2	STAT3
115	ABL2	HRAS
116	ABL2	MDM2
117	ABL2	GPX1
118	ABL2	CEBPB
119	ABL2	SRC
120	ABL2	CAT
121	ERN1	TNFRSF1A
122	ERN1	HSPA5
123	ERN1	PSEN1
124	ERN1	FBXO11
125	ERN1	COPS5
126	ERN1	BAX
127	ERN1	MAP3K5
128	ERN1	TP53
129	ERN1	TRAF6
130	ERN1	HSP90AA1
131	ERN1	UCHL1
132	ACADM	GPX3
133	ACADM	CTSD
134	ACADM	PRDX3
135	ACADM	AHSA1
136	ACADM	PRDX1
137	ACADM	CAT
138	ACADM	SOD2
139	ACADM	HDAC1
140	ACADM	GPX1
141	ACADM	PRDX2
142	ACADM	ATP1A1
143	ACHE	ENO1
144	ACHE	RACK1
145	ACHE	PAFAH1B1
146	RPS6	MCF2L
147	RPS6	RICTOR
148	RPS6	COPS5
149	RPS6	VHL
150	RPS6	VCAM1
151	RPS6	EIF4E
152	RPS6	RPS6KB1
153	RPS6	PCBP2
154	RPS6	PTEN
