,BAP1,EPAS1,MTOR,NF2,PIK3CA,PTEN,PTGS2,RNF139,SETD2,TP53,TSC1,VHL,Y
0,33.67729431,37.95811,33.01718,33.9608,32.42544,36.73944,31.08504,32.46554,32.58565,33.83518,32.93402,32.30615,1
1,32.64314903,38.83281,33.17883,33.69899,33.21465,37.13114,30.16993,32.2719,33.19915,34.4481,33.1663,32.19988,1
2,32.36886592,37.19345,34.06093,34.07472,32.46705,37.91878,30.76766,32.55514,32.84628,35.4198,33.63282,31.49147,1
3,31.89539977,39.46713,33.50445,33.14612,33.87549,37.77827,30.54053,33.19823,33.68316,34.18862,32.8825,32.11538,0
4,33.96834807,38.49884,34.22502,32.58079,34.24976,37.99008,30.95478,30.89813,34.63036,34.91241,33.44515,33.33646,1
5,33.65253266,37.78717,33.6943,34.48873,32.89598,37.35848,31.91172,33.57671,33.44016,32.1613,32.87762,32.85442,1
6,32.63333485,37.26115,33.4104,33.95985,33.09348,35.90397,30.24731,32.97635,33.03294,35.48656,34.09818,31.61337,0
7,32.84343927,36.84683,33.66749,34.45946,33.12491,36.2205,31.72698,31.99291,33.15593,33.55736,33.38182,31.10226,0
8,32.6601447,39.13267,33.70979,33.40467,33.18371,36.99773,29.70497,33.13805,33.27641,33.9354,33.36926,32.53684,1
9,33.61841147,38.05661,33.08193,33.05416,32.33381,34.72746,31.08041,31.84626,32.91771,34.40646,33.0913,30.84539,1
10,33.03183581,38.48123,33.77177,33.77528,32.60585,36.04017,31.32386,31.99236,33.26321,34.41617,33.30005,32.4506,0
11,33.2581978,38.39817,33.04822,33.79103,33.50775,37.08172,29.49923,33.4261,33.01455,35.30738,33.69206,31.51755,0
12,33.22810975,38.34336,33.68132,34.68184,34.01172,36.26808,22.9987,32.26933,33.06538,33.58405,33.84394,31.13415,0
13,33.552945,38.16606,33.36477,33.44291,30.55041,35.61627,29.14221,31.09517,33.91596,31.99556,33.25188,32.75366,0
14,33.69244186,36.67863,33.15707,34.71096,32.48719,35.8713,29.35797,31.15776,33.6024,33.20506,33.32503,32.65044,0
15,33.52923201,39.15707,33.6956,33.22412,32.90838,35.5696,29.85159,31.30737,34.11172,33.18497,33.55346,32.45489,0
16,33.43930867,37.99765,33.87162,33.78669,32.82392,35.78921,32.3136,32.26966,32.97572,35.35686,31.58024,32.03593,0
17,33.376406,37.16011,33.13449,32.94832,32.68384,35.73359,32.29211,31.42432,33.63096,35.19154,32.69427,30.92365,0
18,32.49690704,37.55787,33.7741,33.06301,32.37149,35.24093,31.41232,32.46267,33.87324,32.90625,33.70015,31.74634,1
19,33.22626382,37.93249,34.40276,35.29129,33.27565,37.0071,31.9231,32.81773,33.66827,33.50537,33.4082,32.89678,0
20,32.38072384,36.31018,33.14262,33.03855,32.42398,36.09633,31.26332,32.0561,34.14218,34.73591,33.27613,32.64736,1
21,32.73490529,37.82743,32.64441,34.42555,33.03055,36.58067,32.34541,32.0086,32.89062,34.4433,34.03645,32.61222,1
22,34.2082506,38.2906,32.74635,34.03796,32.72122,35.14085,30.93453,31.95994,32.74779,34.56879,32.99361,32.12949,1
