	EPO	GATA3
0	EPO	HNF4A
1	EPO	GATA2
2	EPO	EPOR
3	EPO	EP300
4	EPOR	MST1R
5	EPOR	STAT5A
6	EPOR	STAT5B
7	EPOR	SRC
8	EPOR	MAPK1
9	EPOR	GAB2
10	EPOR	SHC1
11	EPOR	PTPRG
12	EPOR	SYK
13	EPOR	MAPK3
14	EPOR	PIK3R1
15	EPOR	CISH
16	EPOR	JAK2
17	EPOR	SP1
18	EPOR	GRB2
19	EPOR	GATA2
20	EPOR	RACK1
21	SPRY2	GRB2
22	SPRY2	NR1H2
23	SPRY2	VHL
24	SPRY2	AQP1
25	SPRY2	SRC
26	SPRY2	MKNK1
27	SPRY2	RAF1
28	SPRY2	FBN1
29	SPRY2	HRAS
30	SPRY2	EGLN2
31	SPRY2	EGLN1
32	ERBB2	CDK1
33	ERBB2	ITGA5
34	ERBB2	PPP1R13B
35	ERBB2	STAT3
36	ERBB2	HSP90AA1
37	ERBB2	TNS3
38	ERBB2	PTK2
39	ERBB2	ABL2
40	ERBB2	IGF1R
41	ERBB2	PIN1
42	ERBB2	TFRC
43	ERBB2	DOK4
44	ERBB2	JAK2
45	ERBB2	ATP1A1
46	ERBB2	SHC1
47	ERBB2	EGFR
48	ERBB2	HSPA4
49	ERBB2	ANXA6
50	ERBB2	RASA1
51	ERBB2	CTNNB1
52	ERBB2	SRC
53	ERBB2	SOCS1
54	ERBB2	CD44
55	ERBB2	PIK3R2
56	ERBB2	PTPRG
57	ERBB2	CISH
58	ERBB2	GRB2
59	ERBB2	PRKCA
60	ERBB2	ERBB3
61	ERBB2	XPO1
62	ERBB2	TGFA
63	ERBB2	JUP
64	ERBB2	PIK3R1
65	ERBB2	SRPK1
66	ERBB2	NF2
67	ERBB2	PAK1
68	ERBB2	PLXNB1
69	ERBB2	CLTC
70	ERBB2	HDAC6
71	ERBB2	SYK
72	ERBB2	TGFBR2
73	ERBB2	STAT1
74	ERBB2	PTK2B
75	ERBB3	FGFR1
76	ERBB3	RASA1
77	ERBB3	PIK3R1
78	ERBB3	HSP90AA1
79	ERBB3	EGR1
80	ERBB3	TNS3
81	ERBB3	GRB2
82	ERBB3	JAK2
83	ERBB3	SYK
84	ERBB3	EGFR
85	ERBB3	ABL2
86	ERBB3	HCK
87	ERBB3	JAK3
88	ERBB3	SRC
89	ERBB3	PTK2B
90	ERBB3	PIK3CA
91	ERBB3	CDK5
92	ERBB3	PIK3R2
93	ERBB3	AKT1
94	ERBB3	MDM2
95	ERBB3	HDAC6
96	ERBB3	SHC1
97	ERBB3	PTK2
98	LPCAT1	ILK
99	ERCC2	CDK7
100	ERCC2	CDK1
101	ERCC2	XPO1
102	ERCC2	AR
103	ERCC2	BRCA1
104	ERCC2	SQSTM1
105	ERCC2	TP53
106	ERCC2	GTF2H1
107	ERCC4	MCM4
108	ERCC4	GTF2H1
109	ERCC4	MSH2
110	ERCC4	CUL1
111	ERCC4	RPS6
112	ERCC4	PIAS2
113	ERCC4	RPS15A
114	ABL2	EGFR
115	ABL2	GRB2
116	ABL2	PDGFRB
117	ABL2	LGALS3
118	ABL2	PIK3R1
119	ABL2	HCK
120	ABL2	STAT3
121	ABL2	HRAS
122	ABL2	MDM2
123	ABL2	GPX1
124	ABL2	CEBPB
125	ABL2	SRC
126	ABL2	CAT
127	ZMPSTE24	GALNT2
128	ZMPSTE24	CLTC
129	ERN1	TNFRSF1A
130	ERN1	HSPA5
131	ERN1	PSEN1
132	ERN1	FBXO11
133	ERN1	COPS5
134	ERN1	BAX
135	ERN1	MAP3K5
136	ERN1	SYVN1
137	ERN1	TP53
138	ERN1	TRAF6
139	ERN1	HSP90AA1
140	ERN1	UCHL1
141	ACADM	GPX3
142	ACADM	CTSD
143	ACADM	DLD
144	ACADM	CAND1
145	ACADM	PRDX3
146	ACADM	AHSA1
147	ACADM	PRDX1
148	ACADM	CALM1
149	ACADM	CAT
150	ACADM	SOD2
151	ACADM	HDAC1
152	ACADM	GPX1
153	ACADM	PRDX2
154	ACADM	ATP1A1
