	BLM	EGFR
0	BLM	EXO1
1	BLM	BRCA1
2	BLM	MSH6
3	BLM	PARP1
4	BLM	COPS5
5	BLM	RPA1
6	BLM	MSH2
7	BLM	TP53
8	BLM	HSP90AA1
9	BLM	FEN1
10	BLM	ATM
11	CUL4B	RBX1
12	CUL4B	DHX9
13	CUL4B	TP53
14	CUL4B	PABPC1
15	CUL4B	COPS5
16	CUL4B	DDB1
17	CUL4B	HDAC1
18	CUL4B	DDB2
19	CUL4B	ERCC4
20	CUL4B	CUL4A
21	CUL4B	HSP90AA1
22	CUL4B	ELAVL1
23	CUL4B	EGFR
24	CUL4A	DICER1
25	CUL4A	RBX1
26	CUL4A	HSP90AA1
27	CUL4A	TP53
28	CUL4A	DDB2
29	CUL4A	DDB1
30	CUL4A	NPM1
31	CUL4A	COPS5
32	CUL4A	DHX9
33	CUL4A	SRRT
34	CUL4A	ERCC4
35	CUL4A	PABPC1
36	NPM1	DHX9
37	NPM1	COPS5
38	NPM1	PCBP2
39	NPM1	DICER1
40	NPM1	XPC
41	NPM1	MOV10
42	NPM1	BRCA1
43	NPM1	SRRT
44	NPM1	PABPC1
45	NPM1	RPA1
46	NPM1	HDAC1
47	NPM1	PARP1
48	NPM1	TP53
49	NPM1	ELAVL1
50	NPM1	HSP90AA1
51	CCNH	GTF2H2
52	CCNH	RPA1
53	CCNH	ERCC3
54	CCNH	CDK7
55	CCNH	ERCC2
56	CCNH	ERCC5
57	CCNH	GTF2H3
58	CCNH	MNAT1
59	CCNH	TP53
60	CCNH	BRCA1
61	CCNH	GTF2H1
62	TCEA1	GTF2F1
63	TCEA1	CDK7
64	TCEA1	GTF2H1
65	SRRT	DHX9
66	SRRT	MOV10
67	SRRT	DDB1
68	SRRT	PABPC1
69	MSH6	SLX4
70	MSH6	BRCA1
71	MSH6	MSH2
72	MSH6	XRCC6
73	MSH6	XRCC5
74	MSH6	TP53
75	MSH6	FEN1
76	MSH6	MSH3
77	MSH6	ATM
78	MSH6	HUS1
79	LIG4	XRCC6
80	LIG4	XRCC5
81	LIG4	AGO2
82	LIG4	ATM
83	PARP1	ELAVL1
84	PARP1	RPA1
85	PARP1	MOV10
86	PARP1	XRCC6
87	PARP1	GTF2F1
88	PARP1	TP53
89	PARP1	HDAC1
90	PARP1	BRCA1
91	PARP1	XRCC5
92	PARP1	SLX4
93	PARP1	ATM
94	PARP1	RAD23A
95	PARP1	DDB2
96	PARP1	POLD1
97	PARP1	CETN2
98	PARP1	COPS5
99	GTF2F1	ERCC2
100	GTF2F1	GTF2H1
101	GTF2F1	GTF2H3
102	GTF2F1	PSMC2
103	GTF2F1	SMARCB1
104	GTF2F1	GTF2H2
105	GTF2F1	BRCA1
106	GTF2F1	ERCC3
107	ERCC1	MSH2
108	ERCC1	SLX4
109	ERCC1	ERCC4
110	ERCC1	GTF2H1
111	ERCC2	CDK7
112	ERCC2	ERCC3
113	ERCC2	ERCC5
114	ERCC2	BRCA1
115	ERCC2	GTF2H2
116	ERCC2	GTF2H3
117	ERCC2	MNAT1
118	ERCC2	TP53
119	ERCC2	GTF2H1
120	GTF2H1	ERCC4
121	GTF2H1	MNAT1
122	GTF2H1	GTF2H3
123	GTF2H1	RAD23A
124	GTF2H1	ERCC5
125	GTF2H1	XPC
126	GTF2H1	GTF2H2
127	GTF2H1	SMARCB1
128	GTF2H1	TP53
129	GTF2H1	BRCA1
130	GTF2H1	CDK7
131	GTF2H1	ERCC3
132	GTF2H1	RAD23B
133	GTF2H1	RPA1
134	GTF2H1	PSMC2
135	GTF2H2	GTF2H3
136	GTF2H2	CDK7
137	GTF2H2	BRCA1
138	GTF2H2	MNAT1
139	GTF2H2	ERCC3
140	GTF2H2	ERCC5
141	ERCC3	XPC
142	ERCC3	MNAT1
143	ERCC3	TP53
144	ERCC3	GTF2H3
145	ERCC3	BRCA1
146	ERCC3	CDK7
147	ERCC3	SMARCB1
148	ERCC3	ERCC5
149	ERCC4	SLX4
150	ERCC4	DDB1
151	ERCC4	MSH2
152	AGO2	AGO3
153	AGO2	PABPC1
154	AGO2	ELAVL1
155	AGO2	DDX20
156	AGO2	COPS5
157	AGO2	HSP90AA1
158	AGO2	TP53
