,ACPP,FOLH1,FRAT1,FRAT2,ICOS,ICOSLG,ITK,MTCP1,NFATC1,NFATC2,NFATC2IP,NFATC3,NFATC4,PATE1,PATE2,PATE3,PATE4,PDCD1,PDCD1LG2,PMEPA1,PRAC1,PRAC2,PSCA,PTCRA,STEAP1,TAL1,TAL2,TCF7,TCF7L1,TCIRG1,TCL1A,TCL1B,TLX1,TLX2,TLX3,WT1,WTAP,WTIP,Y
0,24.64326427,33.06366,22.86623,25.14807,23.66478,31.25529,31.97483,32.68788,32.00358,31.9882,31.60401,32.69664,30.83347,21.50007,21.18392,21.16984,21.28552,28.84472,30.23462,34.71497,21.11579,21.05495,21.94579,21.95682,25.33625,27.17087,21.52616,31.01699,29.73447,33.92966,21.65301,21.31325,25.58066,21.09375,21.21067,27.25894,32.30986,30.89343,1
1,30.47868057,33.34812,27.58122,27.19051,27.81065,29.88798,32.85944,34.62906,30.96356,31.9452,31.44051,32.89256,31.76031,25.90203,26.36356,21.16984,24.21911,28.7978,29.41116,32.84234,21.11579,21.05495,27.63488,21.95682,31.15279,30.00348,27.92493,31.01266,31.39434,33.85213,21.65301,21.31325,21.06706,24.61959,21.21067,22.9094,33.6492,32.19936,1
2,30.55611015,32.20052,25.38929,26.69664,26.66294,30.92857,31.09956,33.46376,31.30038,31.04482,30.93391,33.49871,30.74967,21.50007,21.18392,21.16984,21.28552,22.59372,29.31389,31.3209,21.11579,21.05495,25.31792,27.48332,28.55867,27.64743,21.52616,31.42971,30.9408,33.53312,26.38498,21.31325,21.06706,21.09375,21.21067,22.9094,35.26323,29.13798,1
3,30.25326742,34.48359,28.10294,26.49687,23.66478,29.47329,31.18813,33.10176,31.65882,32.62476,32.42767,33.72651,31.83298,26.87495,21.18392,21.16984,21.28552,25.73014,28.3717,32.63336,21.11579,21.05495,21.94579,21.95682,31.20894,29.46186,21.52616,29.7002,31.69465,32.51771,24.98799,21.31325,21.06706,26.34435,21.21067,30.72576,33.85052,32.61099,0
4,24.64326427,34.68356,27.09929,22.82728,23.66478,32.22363,33.25193,32.65197,32.9458,33.70037,29.86023,33.574,32.70075,21.50007,21.18392,21.16984,21.28552,27.77242,28.17929,33.56314,21.11579,21.05495,21.94579,21.95682,31.95664,24.23337,21.52616,30.5559,30.41687,33.75841,21.65301,21.31325,21.06706,21.09375,21.21067,31.55831,33.25769,29.29437,1
5,31.85632715,33.82549,29.63795,22.82728,29.89447,31.34399,33.55596,34.08422,32.12023,32.26343,31.38124,33.411,29.50524,21.50007,21.18392,21.16984,21.28552,27.03461,30.16076,31.61697,21.11579,21.05495,21.94579,21.95682,25.33625,24.23337,30.29404,33.66715,29.6329,34.99396,31.1586,21.31325,21.06706,21.09375,21.21067,30.70662,33.42148,32.10599,1
6,29.68628673,30.83638,26.09359,24.25127,27.54063,31.44012,31.88612,31.77203,31.41895,31.32766,31.95577,32.77727,31.0065,27.12453,21.18392,21.16984,21.28552,28.06838,28.37412,31.62463,21.11579,21.05495,28.07856,25.2302,29.06964,27.76312,30.06473,30.66806,30.38047,32.23505,21.65301,21.31325,21.06706,21.09375,21.21067,31.06218,32.68033,31.78311,0
7,30.87987055,29.05384,27.91175,28.39001,30.05728,31.41254,32.77574,31.59887,30.59485,31.35085,31.96197,33.50929,31.64063,21.50007,21.18392,21.16984,26.36533,27.73457,29.18387,31.84725,21.11579,21.05495,21.94579,21.95682,30.14584,26.58715,28.4802,31.87012,30.22686,32.55656,31.11599,21.31325,21.06706,21.09375,21.21067,28.37104,33.36083,30.73418,0
8,30.64726478,35.42364,28.05663,27.17901,23.66478,30.40308,32.17992,31.92757,31.98712,31.38154,32.0122,33.3392,31.48911,21.50007,21.18392,21.16984,21.28552,22.59372,30.1861,32.94378,21.11579,21.05495,21.94579,21.95682,31.22546,30.57924,30.56909,32.17175,30.88633,32.68826,21.65301,21.31325,21.06706,21.09375,21.21067,26.62815,32.58357,32.79085,1
9,29.66043777,31.97724,22.86623,27.68412,23.66478,30.68864,29.78453,33.3557,30.88562,31.06254,31.98424,32.82893,32.14166,21.50007,21.18392,21.16984,21.28552,28.10933,28.81331,33.86245,21.11579,21.05495,29.80831,21.95682,31.18221,29.05414,21.52616,31.26607,30.50561,34.92165,21.65301,21.31325,21.06706,21.09375,21.21067,31.38537,32.02957,29.72285,1
