	#node1	node2
0	ACPP	PSCA
1	ACPP	PMEPA1
2	ICOSLG	ICOS
3	ICOSLG	PDCD1
4	FOLH1	STEAP1
5	FOLH1	PSCA
6	FRAT1	FRAT2
7	FRAT2	FRAT1
8	ICOS	PDCD1LG2
9	ICOS	ITK
10	ICOS	PDCD1
11	ICOS	ICOSLG
12	ITK	ICOS
13	MTCP1	TCL1B
14	MTCP1	TCL1A
15	NFATC1	TCIRG1
16	NFATC1	NFATC3
17	NFATC1	PDCD1
18	NFATC1	NFATC2
19	NFATC2	NFATC3
20	NFATC2	NFATC2IP
21	NFATC2	NFATC4
22	NFATC2	NFATC1
23	NFATC2IP	NFATC2
24	NFATC3	NFATC4
25	NFATC3	NFATC1
26	NFATC3	NFATC2
27	NFATC4	NFATC3
28	NFATC4	NFATC2
29	PATE1	PATE4
30	PATE1	PATE2
31	PATE1	PATE3
32	PATE2	PSCA
33	PATE2	PATE1
34	PATE2	PATE3
35	PATE2	PATE4
36	PATE3	PSCA
37	PATE3	PATE1
38	PATE3	PATE2
39	PATE3	PATE4
40	PATE4	PSCA
41	PATE4	PATE1
42	PATE4	PATE2
43	PATE4	PATE3
44	PDCD1	ICOS
45	PDCD1	NFATC1
46	PDCD1	TCF7
47	PDCD1	ICOSLG
48	PDCD1	PDCD1LG2
49	PDCD1LG2	ICOS
50	PDCD1LG2	PDCD1
51	PMEPA1	ACPP
52	PRAC1	PRAC2
53	PRAC2	PRAC1
54	PSCA	FOLH1
55	PSCA	STEAP1
56	PSCA	PATE3
57	PSCA	PATE2
58	PSCA	ACPP
59	PSCA	PATE4
60	PTCRA	TAL1
61	PTCRA	TCF7
62	STEAP1	FOLH1
63	STEAP1	PSCA
64	TAL1	TLX2
65	TAL1	PTCRA
66	TAL1	TLX3
67	TAL1	TLX1
68	TAL2	TLX3
69	TAL2	TLX1
70	TCF7	TCF7L1
71	TCF7	PDCD1
72	TCF7	PTCRA
73	TCF7L1	TCF7
74	TCIRG1	NFATC1
75	TCL1A	TCL1B
76	TCL1A	MTCP1
77	TCL1B	MTCP1
78	TCL1B	TCL1A
79	TLX1	TAL1
80	TLX1	WT1
81	TLX1	TAL2
82	TLX2	TAL1
83	TLX3	TAL1
84	TLX3	TAL2
85	WT1	TLX1
86	WT1	WTIP
87	WT1	WTAP
88	WTAP	WT1
89	WTIP	WT1
