,ACKR3,ACTN4,AHR,AKT1,ALB,ANGPT2,ANXA2,APLN,APLNR,AR,ARHGDIB,AVP,AVPR2,BCCIP,BCL2,CA9,CCND1,CD274,CD28,CD34,CD44,CDKN2A,CEACAM1,CHI3L1,CLDN7,CRP,CTLA4,CTNNB1,CUBN,CUL2,CXCL12,CXCR4,DNMT1,DYSF,EPAS1,EPCAM,EPHA2,EPO,ERBB2,ERBB3,ERBB4,ESRRA,FERMT2,FLOT1,FLT4,FN1,FOLH1,FOXP3,GATA3,GSTM1,HIF1A,HMMR,HNF4A,IGFBP3,IL13RA2,IL2,IL6,JADE1,KIT,KPNA2,LDLR,LOX,MAP3K5,MAP3K8,MAPK3,MET,MME,MMP2,MMP9,MTOR,PDCD1,PDGFRA,PIK3CB,PIWIL1,PIWIL4,PKM,PTEN,PTPRU,RBX1,SDHB,SDHC,SERPINE1,SLC6A3,SND1,SOX2,SPARC,SPOP,STAT3,TCEB1,TEK,TERT,TGFA,TGFBI,TICAM2,TIMP1,TMED7-TICAM2,VCAM1,VDR,VEGFA,VHL,WWOX,Y
0,31.64840947,36.95937565,33.70394682,34.43427481,31.18896914,31.8119977,37.39663755,31.63192842,29.21371005,31.9580283,34.90382641,21.24941462,21.79842717,33.83078421,33.70097727,36.21808794,35.39589743,31.14595944,32.20167,32.47575761,36.78890732,33.32938203,32.55717191,30.47568934,33.11479915,28.24934,27.9089,35.0765,35.46118,33.66973,34.00824,35.53625,35.1514,34.18118,37.95811,34.33746,32.20355,30.74226,35.32243,36.30705,27.2939,32.31517,33.28819,36.00441,30.79376,38.66781,33.06366,23.72013,31.7752,32.5086,35.44138,29.78814,35.60734,35.35986,28.89862,22.61387,29.74353,32.14106,30.42495,32.04949,31.29719,34.67681,33.61599,34.11776,34.64783,36.17789,36.60116,34.43288,32.09117,33.01718,28.84472,31.80974,35.45128,22.08228,31.65235,38.19909,36.73944,33.22485,32.88184,35.92131,36.33418,37.63468,36.06672,35.34415,22.65089,38.07714,34.43779,36.60716,33.18814,32.47644,21.71091,32.63708,36.37213,27.27919,36.87599,29.28179,35.69036,30.0045,37.79678,32.30615,33.19217,1
1,33.08214797,37.51835001,33.39666541,34.15270101,31.41596113,33.32069113,36.57067128,34.11857599,30.76641367,32.39755615,35.90545479,21.24941462,28.19556529,33.80127358,33.67397816,35.64963131,35.8473398,29.27960179,31.24043495,34.13707632,35.08087771,32.50379061,31.20387199,29.53678864,30.01002765,29.09743,28.79776,35.93203,35.75785,32.58319,36.57554,36.10592,34.78386,34.11673,38.83281,34.2118,31.80902,28.10697,33.71706,35.64465,28.60001,29.85971,33.12804,35.78498,33.38444,39.11291,33.34812,25.08419,29.86748,35.95291,35.40967,30.34739,33.97926,36.34911,25.41289,22.61387,24.29608,32.68113,31.52503,32.16526,28.76296,34.41079,33.00344,33.03887,35.12704,35.26458,35.871,35.38684,33.09189,33.17883,28.7978,31.05031,33.32075,23.38274,31.01647,38.09292,37.13114,31.91952,32.73773,35.04837,36.37851,34.74399,35.04265,35.90049,22.65089,39.48322,33.79964,36.15715,32.83504,32.61052,21.71091,31.50477,38.39603,22.41477,36.04233,31.39303,36.56088,31.0212,40.09193,32.19988,34.09405,1
2,32.3422853,36.87302336,33.24249388,35.44911923,26.14614112,31.2653654,38.44301987,34.27284731,29.24383744,31.1208688,35.20225215,21.24941462,27.68116936,34.52265048,30.25925269,36.25044633,37.20761118,34.12046136,31.5005105,32.50998575,35.54361029,32.56181243,31.84851634,30.06238582,32.44127735,26.5123,23.04175,35.25025,29.81803,33.18197,35.0644,34.36662,34.97395,35.18634,37.19345,31.89796,32.06977,21.21182,33.38917,34.03486,27.00462,30.72366,34.24752,36.03566,33.3467,41.10584,32.20052,23.72013,31.35822,24.90393,36.47898,28.51668,32.93145,36.96619,26.72384,22.61387,33.97471,32.91137,31.04936,34.78429,33.25643,33.2359,31.68006,34.53672,34.83018,37.06992,33.13812,35.04401,30.31709,34.06093,22.59372,31.55945,33.24953,22.08228,29.98181,40.40643,37.91878,32.99426,34.39679,35.4658,35.78667,33.64222,31.24441,36.17414,22.65089,38.57524,34.21864,36.62503,33.60568,31.5326,23.9691,29.29853,34.24952,26.21874,34.92449,31.75233,35.2844,31.79667,38.22308,31.49147,33.91476,1
3,33.79105929,37.8908711,34.1314701,34.22027811,31.66132302,33.27470827,37.24482881,34.8253711,30.38051398,29.25578225,35.66478348,21.24941462,26.72822098,33.97264077,32.19727847,34.27709963,33.86411963,30.57542297,28.5347096,34.35112115,35.26357538,30.36888918,32.66488143,31.60010553,33.27391079,22.09712,29.4657,36.36322,36.21731,33.77728,33.20248,35.67357,35.07183,34.33382,39.46713,35.07365,32.40441,27.43039,33.2234,35.1281,29.63281,30.84189,34.45074,35.60947,34.21029,38.76668,34.48359,25.36295,30.85131,31.08336,36.61326,28.95902,34.08321,35.30351,29.00044,22.61387,31.49884,32.58677,31.33051,32.35568,31.82644,35.16785,32.97341,32.85104,34.51162,35.20922,35.71437,35.39705,30.341,33.50445,25.73014,31.79274,33.31048,22.08228,31.12102,38.47827,37.77827,32.15506,33.53161,35.94852,36.42235,35.88412,33.21781,35.44983,22.65089,39.70203,34.65688,36.55846,33.34929,33.02729,27.81531,29.6208,37.76864,27.19268,36.51244,31.8549,33.99246,29.70039,39.94908,32.11538,33.56484,0
4,32.54708315,37.20589951,34.93491005,33.97336834,23.48653449,33.45608029,36.87169298,35.6410098,30.43484928,28.87669438,35.83273164,21.24941462,21.79842717,34.44235655,33.4711621,34.97043519,35.11933422,33.35930304,29.28510087,32.8988987,36.82703696,24.50161888,31.82919249,31.30158831,30.1452412,22.09712,23.04175,36.56221,31.83684,33.09969,34.69057,35.68268,35.23627,33.92712,38.49884,25.80098,31.06747,29.698,33.40876,32.28362,28.3942,28.21211,34.94406,34.41387,34.92401,41.36091,34.68356,23.72013,25.18977,24.90393,37.72925,28.10247,23.70446,36.4238,32.45283,22.61387,33.92214,33.39826,30.49847,33.21652,31.17192,34.71339,33.94307,34.11877,33.26646,35.88276,35.59245,35.65416,32.17252,34.22502,27.77242,31.91462,34.69978,22.08228,31.87348,38.38603,37.99008,32.19074,32.86688,35.01846,35.16667,36.83493,33.585,36.38721,22.65089,39.21316,33.49788,36.22381,32.60731,31.72899,27.46099,22.40661,37.1205,22.41477,36.86574,23.71048,33.43134,30.09807,39.31564,33.33646,34.11384,1
5,30.38795823,36.7689955,34.33532764,34.98128133,23.48653449,32.15191542,37.63746157,33.09018579,28.11301201,28.06308252,36.19188911,21.24941462,28.61998155,33.77328757,31.63488258,33.47049121,35.19523756,31.32369867,33.19558492,31.55345111,36.6022912,30.96071885,31.64494553,29.93666356,32.33007994,22.09712,31.84626,36.02961,30.87314,33.22854,34.81923,35.76156,35.58416,34.19086,37.78717,33.45381,32.31199,21.21182,31.56564,31.66437,22.89212,32.55084,32.94005,35.14659,32.19088,40.30234,33.82549,30.83012,32.59004,24.90393,36.93708,29.48111,29.95417,35.43029,22.13976,22.61387,32.79016,32.80572,31.67847,33.29704,33.62541,33.4338,32.40421,33.95429,33.75885,36.40842,33.76819,34.14006,33.06083,33.6943,27.03461,33.18875,33.54649,22.08228,29.1992,38.11142,37.35848,33.54317,33.10573,34.87994,35.93421,35.34451,30.93672,35.78433,22.65089,38.02167,34.01502,35.71087,32.52645,32.55107,21.71091,27.79499,35.06857,22.41477,36.62014,31.72553,33.99628,31.25291,38.93158,32.85442,32.77201,1
6,33.08408775,37.84494741,32.76423327,34.6207974,30.04914968,30.95482707,36.78515178,34.4770534,29.34488124,31.7388188,34.94600142,21.24941462,26.44374279,34.2680908,32.78133434,35.83398602,36.73253482,30.71789546,31.17123837,32.67304808,34.61360443,32.0583251,32.00093638,29.530017,36.38302357,22.09712,28.65857,35.18082,38.23898,33.31643,35.59367,34.44388,34.81874,33.90378,37.26115,35.72286,34.06266,21.21182,33.86934,36.69252,29.13438,31.786,32.80098,35.81987,31.32755,37.52467,30.83638,28.38992,30.38766,33.90236,35.9119,29.50154,32.9506,35.73895,27.09792,22.61387,28.13497,32.07509,31.48682,32.47829,28.502,31.74837,32.66542,31.54924,34.46245,34.94309,36.12555,34.43587,31.11623,33.4104,28.06838,31.1192,34.23918,22.08228,30.61326,39.26747,35.90397,32.48606,33.28772,36.2331,37.00269,30.09969,33.52628,34.66964,22.65089,37.39109,33.5782,35.8587,32.8895,31.77267,26.01339,30.15611,33.63803,29.04972,34.43276,30.50219,36.95812,29.35962,38.05805,31.61337,33.9976,0
7,32.27830057,36.15622468,33.75019724,34.22220288,31.04018849,32.95765821,35.54043703,34.25985748,26.87938736,31.91088604,34.93227744,21.24941462,27.2468426,33.73307554,32.07668494,33.58170007,36.62863926,32.19415511,30.40992216,32.39029195,34.62159888,31.64530994,31.24281556,29.01475692,32.93464687,22.09712,30.92511,34.82624,33.95533,32.627,31.03762,34.94555,35.04998,33.8232,36.84683,34.24315,32.11617,25.66017,33.54593,36.09795,31.63829,30.49982,32.31176,35.33426,34.62573,37.6914,29.05384,30.97007,29.73731,34.46434,35.47238,31.32595,33.45263,36.74641,22.13976,22.61387,31.54105,31.81514,30.65951,32.17359,32.39077,32.48583,32.59304,32.76024,34.04426,35.10742,33.24214,34.38713,32.05306,33.66749,27.73457,32.09784,34.59271,22.08228,30.6367,37.00867,36.2205,31.11111,31.68459,35.4538,36.23304,33.46235,32.73404,36.35322,22.65089,35.63338,33.74767,35.62732,32.11596,31.04446,25.7111,31.81699,32.84348,22.41477,33.74671,30.05465,34.08499,29.41837,37.81097,31.10226,35.63683,0
8,31.81116658,37.47077832,34.31388597,34.38228829,27.68394849,31.84338868,37.04481362,33.78754775,31.16624145,33.09937187,35.59471866,21.24941462,30.31743285,33.6652528,34.43933,36.05066947,34.84842181,30.39133352,24.55881988,33.33682277,34.65619846,31.81478629,33.4775558,32.23614227,33.0072382,22.09712,28.06252,35.68764,34.66202,32.31698,35.00866,33.67124,33.89472,34.93397,39.13267,34.17184,32.35672,28.60652,34.12366,36.68457,29.12694,29.05576,34.2916,34.86152,33.84863,37.7962,35.42364,26.41189,30.95579,36.28158,37.17953,22.92145,34.57826,36.26188,22.13976,22.61387,29.57764,33.22699,31.30349,32.07382,30.18701,34.12428,32.95975,32.05122,34.75235,34.68591,34.07674,35.15911,30.76625,33.70979,22.59372,31.9106,34.13988,22.08228,30.24339,37.8767,36.99773,32.78703,33.30279,35.24761,36.10004,34.41087,35.8349,35.45213,22.65089,39.19334,34.81292,36.09358,32.86014,32.59412,21.71091,30.51401,37.0787,22.41477,35.48963,30.11439,34.07384,29.56182,39.3348,32.53684,34.126,1
9,33.39110625,37.41867303,35.20645199,34.41813237,31.76776845,31.50151603,37.45483749,36.27822902,29.3299363,33.17914439,35.30799865,21.24941462,28.05928155,33.23154157,32.07855325,36.8333582,34.69719727,31.53432379,31.00193857,34.00472164,34.21137951,32.24185039,32.22163533,27.73120362,34.2291344,22.09712,31.82165,35.38618,33.74953,33.29771,32.88668,34.99233,35.1374,33.12677,38.05661,33.0988,30.95611,21.21182,33.37722,36.59992,29.40388,31.73779,32.24594,35.30496,32.02915,37.49313,31.97724,27.76061,30.46383,33.75299,35.5141,29.10746,35.24758,36.44481,22.13976,22.61387,29.86637,32.47456,28.05606,32.25975,31.52306,35.6295,32.41828,33.87899,34.05973,35.97225,37.08985,34.42346,31.52754,33.08193,28.10933,32.52792,34.51416,22.08228,30.07504,39.34649,34.72746,34.7516,32.71466,34.38141,36.0383,36.54546,34.37005,35.80602,22.65089,37.95351,33.95101,35.92503,32.51392,31.40148,27.03354,32.2295,37.55927,29.04101,36.97997,30.78302,33.67253,31.91159,38.63166,30.84539,34.08786,1
