,ACAD10,ACTB,BANF1,CCDC22,COMMD3,COPS7A,DLGAP4,DRD2,EIF4E,GPR155,GRIN1,GYPE,HOMER1,IL25,IL6,KDM1A,KLHL5,LEMD1,MORF4L2,NASP,PCMT1,RANBP2,RP11-96O20.4,SDR42E1,SUMO1,SUPT16H,TARBP1,TARBP2,TRIM43B,TRMT6,XPC,ZSCAN4,Y
0,33.12309183,40.64298541,34.7449296,30.50864873,33.15070611,34.58834907,34.54982,28.99024,34.5549,31.81161,21.93735,23.05703,32.79421,21.08036,29.74353,32.76888,33.45578,22.39503,33.35936,33.89295,31.44953,34.79011,21.18753,30.26124,34.14365,32.91782,32.66222,29.60417,21.9744,31.68113,32.24472,22.02469,1
1,32.50626171,39.97971113,34.52536232,31.25047306,33.51812466,34.04319882,34.06647,26.46192,33.93919,31.42781,21.93735,23.05703,31.44192,21.08036,24.29608,32.94732,34.0309,22.39503,33.99699,34.47225,33.02746,36.0264,21.18753,29.1273,35.18991,32.71985,33.34884,29.61188,21.9744,31.41186,32.15619,22.02469,1
2,33.88551935,41.25887586,35.12268462,32.11630021,32.56769239,33.99804942,34.42561,30.34221,35.11731,30.47292,21.93735,23.05703,33.29568,21.08036,33.97471,33.25833,31.97097,22.39503,33.15853,34.51891,33.75531,35.67269,21.18753,27.22907,35.36213,33.49322,33.52074,31.90343,21.9744,32.42037,31.86536,31.70408,1
3,32.5983301,40.91122446,34.40118665,31.27621319,32.9825936,32.72337553,34.41176,22.29581,35.16043,30.72903,21.93735,23.05703,32.28063,21.08036,31.49884,33.2961,33.79569,29.70759,33.89704,35.41065,33.50304,36.30067,21.18753,22.83731,35.67769,33.20078,32.98681,30.35424,21.9744,31.30946,31.63561,22.02469,0
4,34.02280077,40.98727953,33.32573524,31.97936637,34.89440532,34.01009061,34.29088,22.29581,34.90904,31.16114,21.93735,23.05703,33.59633,21.08036,33.92214,33.73732,33.87798,22.39503,33.47968,35.25943,33.18274,36.57757,21.18753,22.83731,33.54845,33.81102,33.86418,31.60946,21.9744,31.64113,33.12717,22.02469,1
5,33.22244668,40.76529147,33.59983422,31.59164307,32.79057987,34.0152746,34.1066,22.29581,32.74499,31.45061,28.85947,25.98924,31.44958,21.08036,32.79016,33.03782,34.31261,22.39503,32.81364,34.58452,30.45065,36.13573,21.18753,28.00933,34.8629,32.9048,34.03402,30.8858,21.9744,29.79463,32.82615,22.02469,1
6,33.23279198,40.19679864,34.70652769,31.49449035,33.3281902,33.7161968,34.72926,22.29581,33.98668,30.63258,27.95472,23.05703,32.3311,21.08036,28.13497,32.27231,32.43182,28.32776,33.89543,34.44679,32.22242,35.80718,21.18753,28.71948,35.64303,33.56096,33.32701,30.11795,21.9744,31.65092,32.68775,24.71314,0
7,33.85023756,39.38759147,33.05797999,30.32429144,33.53289354,33.35994277,34.4891,26.7393,33.30963,32.32646,21.93735,23.05703,31.14967,21.08036,31.54105,32.48116,33.70661,31.19652,33.23287,35.0512,32.89617,35.60974,21.18753,28.66461,34.84374,32.70359,34.27024,28.77583,21.9744,31.89288,31.77631,22.02469,0
8,32.74409708,39.96091765,34.77660234,31.750313,32.60782006,32.3384227,34.97769,22.29581,34.31322,30.96128,21.93735,23.05703,30.98067,21.08036,29.57764,32.89073,33.55348,22.39503,33.05927,34.53623,32.786,35.47379,21.18753,30.27941,35.58179,32.77979,32.57516,28.54038,21.9744,30.29139,32.0425,24.11719,1
9,34.04495105,41.15721654,35.32104997,32.51050332,33.463428,34.13146566,35.59529,28.06812,32.82779,30.78244,21.93735,36.31296,31.69932,21.08036,29.86637,32.17514,32.79899,22.39503,33.59991,33.31949,31.9907,35.05963,21.18753,27.28295,33.99672,33.01321,32.79393,33.65472,21.9744,32.15498,32.74438,22.02469,1
