,0.16691354591782925,0.21990747247141856,records
0,0,13,1
1,0,42,1
2,0,43,1
3,0,44,1
4,0,45,6
5,0,47,1
6,0,48,1
7,0,49,1
8,0,65,1
9,0,87,1
10,0,92,1
11,1,8,1
12,1,37,1
13,1,40,1
14,1,41,1
15,1,43,2
16,1,44,1
17,1,45,4
18,1,61,1
19,2,1,1
20,2,28,1
21,2,33,1
22,2,36,1
23,2,39,1
24,2,41,1
25,2,43,1
26,2,45,11
27,2,46,1
28,2,55,1
29,2,57,1
30,2,58,1
31,2,72,1
32,2,87,1
33,3,32,1
34,3,35,1
35,3,41,1
36,3,43,2
37,3,44,1
38,3,45,12
39,3,46,1
40,3,47,1
41,3,49,2
42,3,50,1
43,3,51,1
44,3,57,1
45,3,60,1
46,3,65,1
47,3,70,1
48,3,90,1
49,3,91,1
50,4,30,2
51,4,32,1
52,4,33,1
53,4,35,1
54,4,37,1
55,4,39,1
56,4,43,3
57,4,44,1
58,4,45,12
59,4,46,2
60,4,47,1
61,4,49,1
62,4,54,1
63,4,57,1
64,4,78,1
65,4,90,1
66,5,3,1
67,5,23,1
68,5,29,1
69,5,30,1
70,5,36,1
71,5,37,1
72,5,38,2
73,5,39,1
74,5,45,15
75,5,46,2
76,5,47,1
77,5,50,1
78,5,51,1
79,5,53,2
80,5,55,2
81,5,57,2
82,5,60,2
83,5,61,1
84,5,77,1
85,6,20,1
86,6,25,1
87,6,30,1
88,6,37,2
89,6,39,1
90,6,41,1
91,6,42,1
92,6,43,2
93,6,44,1
94,6,45,13
95,6,48,5
96,6,49,1
97,6,53,2
98,6,55,1
99,6,62,1
100,7,25,1
101,7,27,1
102,7,31,1
103,7,37,1
104,7,45,5
105,7,46,2
106,7,47,1
107,7,48,1
108,7,49,3
109,7,50,1
110,7,51,1
111,7,55,1
112,7,56,1
113,7,93,1
114,8,24,1
115,8,36,1
116,8,37,3
117,8,38,1
118,8,41,1
119,8,43,2
120,8,45,16
121,8,46,3
122,8,47,2
123,8,49,2
124,8,52,2
125,8,53,1
126,8,54,2
127,8,57,1
128,8,59,1
129,8,60,1
130,8,61,1
131,8,63,1
132,8,68,1
133,8,82,1
134,9,17,1
135,9,19,1
136,9,23,1
137,9,37,2
138,9,41,1
139,9,42,2
140,9,43,2
141,9,44,1
142,9,45,16
143,9,46,2
144,9,47,2
145,9,48,1
146,9,50,1
147,9,51,1
148,9,52,1
149,9,54,3
150,9,55,1
151,9,56,1
152,9,57,1
153,9,60,1
154,9,71,2
155,9,73,1
156,10,36,1
157,10,38,1
158,10,39,4
