,0.16691354591782925,0.21990747247141856
9,28,79
10,36,58
11,19,45
16,20,76
18,13,19
21,34,80
28,19,40
31,18,43
33,15,25
34,21,51
35,19,78
36,13,29
37,14,65
38,18,56
39,20,63
40,22,61
41,20,54
42,14,38
43,18,44
44,22,55
45,19,51
46,18,45
47,15,44
48,23,48
49,10,36
50,17,50
51,33,61
52,15,45
53,18,44
54,22,48
55,16,44
56,17,44
57,22,49
58,33,55
59,21,47
62,15,50
65,17,50
66,19,54
67,21,57
68,12,42
69,33,50
71,19,43
72,17,44
73,18,43
74,26,47
75,19,48
76,10,39
77,21,45
78,9,57
79,17,58
80,19,39
81,20,42
82,4,33
83,22,49
84,20,49
85,14,42
86,26,52
87,24,54
88,14,42
89,13,41
90,21,47
91,19,46
92,30,53
93,9,42
94,16,44
97,0,48
99,28,42
100,14,38
101,17,44
102,20,50
103,13,37
104,21,49
105,17,43
106,22,52
107,23,49
108,23,53
109,18,47
110,17,45
111,29,58
112,12,46
113,4,30
114,15,42
115,14,44
116,12,34
117,17,45
118,18,46
119,26,64
122,24,43
123,20,44
126,25,64
129,22,81
130,23,65
131,19,9
132,14,88
133,23,23
134,16,50
135,9,71
136,16,48
137,0,49
138,38,52
139,13,29
140,19,42
141,14,47
142,20,42
143,16,49
144,19,44
145,19,45
150,21,46
151,17,45
152,21,47
153,15,44
154,19,46
155,13,44
156,24,47
157,11,46
158,14,44
159,13,46
164,9,44
165,23,43
166,12,45
167,17,46
168,21,47
170,15,48
171,36,44
172,25,46
173,13,45
174,32,46
175,17,46
176,24,45
178,39,46
179,28,44
180,8,47
181,8,46
182,16,44
183,19,45
184,16,43
185,16,44
186,16,45
187,15,45
188,18,45
189,22,46
190,18,45
191,17,49
192,16,41
193,26,45
194,25,47
195,19,47
197,22,41
198,19,45
199,22,47
200,18,42
201,18,46
202,8,37
203,22,50
204,14,45
205,19,45
206,21,46
207,18,45
208,19,47
209,11,41
210,24,49
211,24,48
212,16,44
213,4,39
214,32,44
215,32,49
216,11,43
217,24,45
218,9,43
222,13,36
228,25,48
229,18,65
231,21,43
236,30,44
238,24,44
239,14,46
240,12,64
241,20,40
242,14,37
245,24,36
246,8,63
247,18,51
248,15,61
249,18,46
250,9,42
251,19,36
252,18,20
253,17,74
254,8,57
255,17,6
257,18,49
260,15,0
261,32,4
263,17,27
264,22,35
265,21,54
266,8,68
267,22,42
268,6,48
271,35,29
273,26,44
282,36,51
284,3,43
285,31,45
286,5,39
287,19,57
289,13,47
290,17,41
291,39,50
292,14,62
293,30,42
294,22,41
295,23,40
299,39,53
300,22,39
301,18,45
302,24,48
303,25,53
304,13,35
306,31,53
307,13,49
308,15,50
309,9,41
310,23,43
311,30,49
312,25,52
313,5,36
314,11,58
315,1,8
322,22,34
323,19,43
324,18,39
325,18,35
326,20,38
327,21,39
328,24,50
329,26,38
330,25,51
331,5,61
332,21,42
333,24,45
334,15,45
335,15,72
336,17,63
337,21,19
338,20,29
339,14,71
340,15,54
341,17,51
342,17,24
343,17,7
347,15,30
348,16,39
349,19,47
350,17,52
351,19,43
353,25,44
354,16,37
355,15,29
356,18,48
357,18,45
358,17,23
359,17,41
360,17,53
361,17,68
362,18,29
363,17,44
364,14,43
365,18,64
366,18,12
368,20,29
369,18,73
370,18,64
371,17,24
372,18,45
373,18,80
374,16,57
375,17,69
376,19,8
377,16,36
379,10,44
383,16,65
384,17,2
388,9,71
390,20,75
391,21,6
392,19,27
394,16,43
395,11,65
398,34,69
399,16,46
401,0,65
403,16,23
404,25,57
405,20,10
407,23,26
412,2,1
413,13,68
414,18,60
419,27,77
426,19,51
428,16,77
431,11,7
432,21,69
433,1,44
434,16,44
435,39,42
436,18,33
438,18,47
440,16,39
441,21,26
442,17,22
444,7,93
445,18,43
447,15,90
448,20,21
449,28,54
450,27,31
451,0,87
452,16,70
453,18,45
454,30,12
455,21,39
456,0,92
457,8,49
460,22,61
465,35,3
469,7,25
474,25,96
479,16,60
480,22,96
482,16,84
483,21,29
491,19,1
494,20,81
495,23,66
496,5,38
498,23,19
499,19,34
500,18,39
501,21,20
502,19,47
506,16,15
511,17,30
512,21,50
513,17,27
515,18,45
516,18,45
517,18,45
518,18,45
519,18,45
520,18,45
521,18,45
522,18,45
523,17,85
524,17,36
525,1,40
526,21,14
528,15,66
531,17,40
542,19,69
552,25,28
554,13,63
556,21,98
558,13,8
563,17,70
565,20,36
566,5,77
573,28,54
575,17,18
576,14,60
577,19,35
578,15,56
579,14,82
580,20,16
581,14,82
582,16,40
583,18,47
584,20,46
585,20,53
586,16,39
587,15,42
588,19,82
589,18,53
590,18,45
591,18,45
592,18,45
593,18,45
594,18,45
595,16,37
599,17,37
601,27,83
602,13,11
603,18,41
604,12,45
605,16,42
606,21,80
607,17,46
608,19,49
609,17,68
610,18,47
611,22,2
612,19,26
613,17,51
614,20,14
617,4,45
619,30,81
620,5,3
621,18,70
623,6,20
626,28,49
630,16,4
645,16,5
646,17,23
651,17,91
652,18,97
657,7,50
658,3,90
660,14,43
663,19,20
664,17,52
665,23,31
666,14,26
667,18,9
669,18,40
670,15,78
672,18,45
675,14,66
676,26,40
677,24,22
679,17,14
680,16,68
681,13,93
682,22,42
683,16,60
685,16,11
686,16,67
687,17,47
688,16,40
689,25,19
690,3,91
691,35,10
693,14,39
694,16,42
695,14,41
696,21,63
697,21,52
698,22,56
699,18,45
700,18,45
701,18,45
702,18,45
703,18,45
704,18,45
705,18,45
706,18,45
707,18,45
708,18,45
709,18,45
710,18,45
711,18,45
712,18,45
713,18,45
714,18,45
715,18,45
716,18,45
717,18,45
718,18,45
719,18,45
720,18,45
721,18,45
722,18,45
723,18,45
724,18,45
725,18,45
726,18,45
727,18,45
728,18,45
729,18,45
730,18,45
731,18,45
732,19,45
733,23,42
734,13,49
735,4,57
739,11,41
740,17,47
741,13,35
745,17,37
746,21,84
747,3,32
749,19,65
750,14,59
756,17,17
758,19,42
759,8,59
760,17,75
761,22,11
762,19,22
763,24,54
764,22,38
765,26,32
766,17,83
767,17,39
768,15,42
773,16,52
774,21,26
775,20,28
776,39,21
777,2,57
778,16,40
779,12,61
780,12,62
781,17,50
782,17,51
783,16,48
784,9,47
785,21,31
787,17,40
794,28,46
795,30,75
796,34,48
797,34,96
799,3,65
800,20,25
801,1,43
802,8,24
805,30,50
806,22,35
807,2,36
808,16,85
809,22,48
811,15,53
813,19,63
814,16,39
815,23,45
816,26,35
817,14,53
818,32,45
819,17,81
820,23,0
821,20,50
822,24,35
823,20,43
824,20,46
825,20,75
826,18,25
827,19,43
828,23,44
829,25,47
830,33,25
832,5,60
833,28,50
835,22,4
837,18,22
839,29,13
840,8,37
841,17,53
842,26,48
843,17,11
847,19,7
848,16,19
849,16,72
851,22,37
852,19,45
853,11,49
854,17,75
855,18,45
856,18,42
857,16,51
858,16,28
859,14,52
860,13,62
861,16,40
862,4,35
865,24,17
866,13,50
867,27,61
868,20,85
869,15,91
870,18,48
871,16,66
872,17,50
873,20,45
876,19,63
877,18,49
878,34,51
879,30,8
880,28,66
881,12,53
882,13,41
884,22,63
885,11,48
886,14,58
887,18,12
893,10,62
895,28,43
896,1,61
897,14,49
900,10,53
901,14,43
902,21,47
903,22,3
904,18,68
905,20,62
906,16,47
907,9,19
908,19,47
909,12,27
910,8,41
911,13,52
912,18,54
913,7,56
916,12,46
917,27,31
918,24,14
919,15,54
920,10,68
921,36,32
922,15,25
923,18,45
924,17,56
925,18,43
926,28,13
927,20,45
928,19,45
929,20,33
930,19,72
931,18,48
932,17,33
933,17,45
934,18,67
935,19,48
936,18,23
937,18,36
938,18,57
939,18,46
940,18,50
941,17,45
