,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,1,0.15399389,-0.16490367,-0.45228407,0.20674902,-0.8570821,-0.6031237,-0.47310293,-0.07551288,0.054750152,0.3501313,-0.501679,-0.32678092,-0.26817423,1.0838393,-0.28296092,-0.4871338,0.11362576,-0.3040562,0.30507055,-1.1482266,0.6536044,0.005489615,0.27887738,0.66009223,0.1099648,0.904774,-0.31881794,0.45249695,-0.057668794,-0.40551344,0.12185095,0.58805424,-0.9111819,-0.03760011,-0.12883204,-0.38506448,0.11669156,1.4902439,1.0595196,-1.2724407,0.11096016,-0.10100931,0.16190946
1,1,-1.3003322,-0.08044113,-0.8859111,-0.16843113,-0.52985746,0.18483272,-0.46402696,-0.36112487,0.12586445,0.27796373,-0.84993505,-0.24882443,0.34068176,0.114472635,0.19579755,0.16329008,-0.8219668,-0.92293584,-0.59097886,-1.3383666,-0.33934617,0.70994896,0.113333285,0.71678823,-0.3983389,0.6049189,0.4263244,0.18663317,0.95970994,0.07300571,0.3530925,0.7017634,-1.0694071,-0.44347993,-0.22219238,-0.44073978,-0.38855425,0.9973581,0.8166874,-1.1139027,0.36207187,-0.39789587,1.1888684
2,1,-0.87663746,0.5873831,-0.92541355,0.48830393,-0.18199071,0.18486838,-0.708685,1.0602965,0.21095814,1.4136304,-1.3045324,0.03743247,-0.34568512,-0.22464778,-0.26527572,-0.48226532,0.92503464,-0.103482716,-0.61669576,-2.0063252,-0.4046609,0.106960855,1.8874695,0.6242363,0.5042735,0.40098345,-1.6596704,-0.19915394,0.699252,-0.7167527,1.7747313,-1.2347827,-0.32807368,0.44040495,0.4417284,0.47929808,-0.4106737,-0.08288511,1.0637908,-0.7644435,0.86269426,0.3169165,1.7233272
3,0,-1.598357,0.09285397,-0.4734002,-0.009476364,-1.1070111,0.6992341,-1.5994563,-0.2206101,0.24735889,0.70278513,-0.73755395,-0.022938298,0.3701467,-0.5108801,0.5013844,0.2540323,-0.9771149,-1.1395462,-0.7213094,-1.8630556,-1.4551253,1.7293093,1.0367427,0.7521289,-0.581285,0.27155426,0.5935302,0.02882427,1.1577998,0.2048653,0.7516162,0.47930336,-0.8013489,-0.8780149,-0.76631546,-0.7257813,-0.12427754,0.62161666,1.0273306,-1.4337552,0.8824611,0.018590974,1.7875255
4,1,-1.7358356,0.20793855,-0.21175465,-0.7033829,-0.8028694,-0.27309877,-1.2679362,-0.06303096,-0.61248165,1.9206784,-0.41877583,-0.32463965,0.8495945,-0.5846825,-0.12701778,-0.4027039,0.9913029,1.444322,0.3718678,-0.26348332,-1.6642809,-0.16551845,1.3592482,-0.07119378,-0.6213469,0.9544549,-0.7663517,-0.8612359,-0.45611688,-0.32854655,2.1244898,-1.132544,0.4193,-0.67128164,1.1566292,1.3036649,0.9267942,0.740702,-0.010801558,0.0014320266,1.5001373,0.10097052,0.81267077
5,1,0.18806624,1.0206162,-0.3303078,-0.7127254,0.38874736,-0.81698185,0.13451402,0.4792561,-0.8920834,1.8138489,-0.072168164,-0.6028961,0.467768,-0.47292745,-0.036536194,-0.8131744,0.07967068,1.4179305,0.9919566,-2.286572,-0.16659808,-0.2478306,0.24912243,0.4280916,-0.04449811,1.1007177,-2.6743515,-0.28302574,1.0431218,-0.49389303,1.6877534,-1.275182,0.21901895,-0.12642106,1.8988777,0.8055799,0.54831946,1.6193037,1.4058632,-1.5394503,0.8431452,0.9121733,0.07739989
6,0,-2.1295652,0.41383928,-1.1208837,0.2600385,0.16295281,-1.1229845,0.07937526,-0.587482,0.006392285,0.19007295,-0.46872476,0.5753026,-1.0925571,0.4959516,-0.68659323,0.41430593,-0.1629459,-1.9520136,-0.820624,-2.1951354,-0.3596748,0.37990233,1.0932094,-0.6974024,-0.858489,-1.5345106,0.65212727,0.04418065,1.8976952,-0.02315052,0.36581063,0.19114567,-1.3966752,0.24681893,-0.11381906,-0.084791504,-0.09423594,1.0814238,1.0900584,-0.7416523,-0.42930478,0.26769492,1.2195793
7,0,-0.35905057,0.19932303,-1.4838442,0.0864467,-0.8107171,-0.522802,-1.1506368,0.27991554,0.0033915062,0.7600573,-0.046475105,-0.46725026,0.8410283,-0.24468814,0.19865556,-0.831335,-1.0624317,0.11725002,-0.23056823,-1.3132898,-0.7579038,-0.27549756,0.78460306,-0.13153726,-0.18069285,-0.9859196,0.52166283,-0.52524763,0.18076652,-0.026495745,0.3563163,0.19655448,-0.5396864,-0.21414676,0.74555326,0.22890875,0.22223406,1.4715003,0.21654665,-1.414909,-0.737224,0.17621043,0.6563161
8,1,-0.77512234,0.28671366,-0.77851635,0.270481,-1.1772984,0.07474292,-0.22269899,-0.46311346,0.090217955,0.6019219,-0.30049235,-0.43775496,-0.5140562,0.41569877,-0.23323871,0.6227873,-0.4394091,-0.38363358,-0.47835553,-0.62582433,0.59331816,0.3265412,-0.3066173,0.3884258,-0.0809789,0.9529,0.29188907,0.13474472,0.47162974,0.17965135,0.14793848,1.1825324,-1.3876663,-0.55908346,-0.048173185,-0.8213002,0.55717367,2.4168527,0.52355576,-1.8242761,0.39483273,-0.20145193,0.18477248
9,1,-0.58905333,-0.56818175,-1.0097297,-0.23705696,-0.68528515,-0.4830059,-0.8436645,0.15890037,0.18674229,-0.39920595,-1.3817583,0.058148455,-0.11342933,0.84739697,-0.585454,-0.7655344,-0.444196,-0.026049107,0.34143198,-1.9507437,-0.3030848,0.4643381,1.2512605,1.0455456,-0.31320292,0.6050494,-0.65336084,-0.27741033,0.49462473,-0.81711,-0.030285215,0.27504474,-0.8098611,1.2303326,-0.15967226,-0.38114357,-0.20473072,-0.13707776,0.6814131,-0.6888274,-0.12706551,-0.080163956,0.59877956
