,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,2,0.43641433,-1.5764824,2.1766384,1.0466499,-0.96778786,-0.33276007,-0.58602893,1.4305695,-0.895583,0.12020728,2.2709305,1.00995,0.8533094,-0.14859384,-1.2884835,0.10748312,-0.53088194,1.0089542,-0.010772679,0.9550996,1.8344661,-0.82252294,0.47691834,-0.1583325,0.32272577,0.37393627,1.216703,-0.21219414,0.08148182,1.0182558,-0.7514562,0.42359248,-0.7419322,1.1750965,0.5396929,-0.49023584,1.0012176,-0.5419646,-0.66080886,-0.8596012,0.8400596,0.73105663,0.34583715,0.018050194,-1.411187,0.19438224,0.77945995,-1.1427413,0.18105496,-1.5153723,1.0691245,-0.8152998,0.7042922,-0.3010728,-0.09173748,-0.056165837,-0.4719552,0.7653951,-1.7070589,-0.1116259,0.14374429,-0.34197724,-1.138815,-0.8513494,0.5899776,-0.59087217,-0.3315417,-0.78422743,1.805693,-0.95620567,-0.37746993,1.057331,0.010994578,-0.30195656,-1.1672933,1.6099477,-1.0136964,0.21969716,2.0844412,-1.1341485,1.8559915,-0.12085749,1.5235584,0.4981036,-0.05522994,-1.2660006,-0.6991589,0.85036397,0.4448087,0.036455486,0.6048456,2.3602588,-1.0018665,-0.23847915,-0.14785768,-0.5365784,-0.33061355,1.7324946,0.5920854,0.20024078,-0.48662895,2.0993192,-0.9652406,0.22548844,0.114197224,-0.12971793,1.3056537,2.1050613,-0.7944888,-0.0037571373,0.39307776,-1.2956035,-1.1406274,0.13475376,0.84769213,0.068233944,-0.4768238,-0.56325316,0.0007537202,1.6996868,0.20641333,0.56795466,-0.9864858,0.6406172,-0.9809207,-0.26774693,1.0421063,0.16686268,1.7086067,0.3038563,1.8143553,0.67815715,-0.106327675,0.53628314,0.17464359,1.1967156,-0.70541817,-0.7169426,-1.0260347,-0.6281631,0.035993893,-0.3573438,-0.09255509,2.4686155,-0.20472784,0.9028622,0.32948628,-2.1196377,1.1097281,-0.95819026,2.0209782,1.0908117,-0.090207234,-0.72747576,-0.32950905,-1.275204,-1.1015291,-0.19877265,1.0351323,-1.1209015,-0.08742658,-0.94982845,-0.63330686,-0.884709,-0.28535655,-1.5036805,-0.08356615,-0.6606252,-0.4673423,1.5802724,0.5930073,0.40256408,0.8665109,0.31836182,-1.32016,1.1469867,-0.829026,-0.017357972,-0.8250431,-0.212112,0.87353486,-0.9283464,-0.9201115,-0.21696587,0.5372201,-0.3976323,-1.4114026,1.8356193,1.0879711,-0.062093366,-0.9287602,0.07579943,-0.2631592,-0.65543044,1.2850327,1.1589134,-0.5010043,-1.361494,0.6128843,0.74675405
1,1,-0.03214885,-0.9956214,1.8880596,1.2847314,0.0791404,0.06406259,-0.19981314,1.5210056,0.5645337,0.34183744,2.0144227,-0.12148046,-0.05394777,0.9634798,-0.64194715,-0.93928576,-0.78141654,0.98726326,-0.94272274,1.1056949,0.53878206,-0.60164523,-0.020656401,-0.6432796,-0.70643574,0.5566962,0.50976557,-0.11348982,-0.05944105,1.1736023,-0.23645464,0.21581872,0.45263728,1.1545589,1.1289815,-0.694935,0.18833722,-0.3553126,0.22803745,-1.2544076,0.5331756,-1.0260528,1.4477329,-0.2929724,-0.5791882,-1.2924074,-0.31288975,-0.7517091,-0.277771,0.1243465,0.8238742,-1.1628926,0.31980342,-0.7698359,-0.4570729,-0.082235,-0.0066530094,0.34026426,-0.61949164,-0.53774893,0.31728715,-0.5316875,-0.37166542,-0.2480264,0.4908975,0.5142354,-0.35495764,-0.44914165,1.8864827,-0.63501257,-0.40397406,0.746788,0.5533714,-1.173657,-0.53468823,3.201372,-0.29335597,0.076426625,1.3041584,-0.53279155,0.061695307,0.28782958,1.067509,-0.21714534,-0.066583835,-0.2968061,-0.5327177,-1.1888952,0.60990185,0.51602256,-0.14195131,1.104702,-0.9027185,-0.5023682,-0.26692033,-0.65978706,-1.3742878,1.5832446,0.010588984,0.45374632,-0.19804274,1.7112931,-0.30008203,0.805103,0.117931634,-0.71188915,0.46159443,-0.010800736,-0.118295126,0.08723235,-0.4357378,-1.2076721,0.03918902,-0.23789136,-0.093648225,0.30716982,0.3917902,-1.440203,-0.16398832,0.02616458,-0.24422102,0.3814136,-0.9512246,0.22035873,0.16660939,-0.19705918,2.2185452,-0.09806846,-0.25181296,-0.2876404,0.9209986,0.4351251,0.159956,0.39072505,0.91047126,0.17993747,0.10217916,-0.2166107,-0.30178538,0.36089873,0.1781929,-0.3488805,0.166604,0.6760801,-1.0260012,0.16666938,-0.26349837,-1.1057237,-0.0039000523,0.5538293,0.07750306,0.17327571,-0.8353696,-0.7588464,0.8587588,-0.7558395,-0.30986935,-0.33328238,-0.6305735,-0.16042122,-1.2328334,0.20459244,-0.43162462,-0.3833991,0.0922006,-0.8481032,0.47343782,-0.32628578,0.6723311,0.17732117,1.4061682,-0.045949932,-0.45544213,-0.090039484,0.15931687,-0.8361388,1.478727,0.30375,-0.50210893,-0.87625295,-0.5906701,-0.8965317,0.7528917,0.058418408,0.3962285,-0.14729314,0.31621468,1.2351016,0.5425451,0.05494789,0.48346806,-0.8934421,0.57514626,-0.77879226,0.32417017,0.17782328,-1.2339556,-1.483099,-0.34160808,-0.99677724
2,2,0.47693262,-2.010775,1.8790175,0.38309044,0.20798512,-0.99263245,0.020096747,0.38783333,-1.122965,-0.93467206,1.2135569,0.16240987,0.37599054,1.3876188,-0.42877313,0.06081821,-1.8908699,0.664366,-1.52825,-0.012510772,0.2935701,-0.33022672,-0.63048434,0.32065824,-0.40276745,0.11686893,1.2855184,-0.7296748,-0.5208971,1.0979329,-1.3490635,1.0046134,-0.44052932,1.3304527,1.8725477,0.6036037,0.07596795,-1.697741,-0.20401551,-1.1979164,0.8064525,1.093221,1.2922114,0.33327493,-1.6329242,-0.3786412,0.4814638,-1.3450645,0.5691716,-0.87447673,-0.07485773,-0.61172366,0.29586098,-0.513118,1.2417581,-0.45091856,-1.7190244,0.46421966,-0.8618844,1.2528249,0.21295433,0.5259945,-1.0484278,-1.6531054,0.8765128,1.0201529,0.0632835,-0.24427563,0.8755805,-0.417556,-0.17229015,1.5819468,0.9209601,0.46272215,0.54063046,1.6821551,-0.79593104,0.22972879,2.4138787,0.1221256,1.3956181,-0.03813234,0.85328054,0.9194088,-0.67124367,0.27945462,0.071666315,-0.6196448,-0.3382578,-0.730042,0.9061974,1.2011527,-0.6961622,-0.16385323,-1.1277362,-0.9563474,-1.0773259,0.28441224,0.65105224,-0.6580985,-0.3792929,1.0462738,0.23616268,0.2317004,0.24298081,-0.17977537,0.6216795,0.38579845,0.3448831,0.8925154,0.28480667,-0.58291304,-0.37866223,-0.84667164,-0.66234595,1.2050666,0.60665315,-1.0379524,-1.3765473,1.131312,0.105014995,1.3983748,-2.2326393,-0.40518093,-0.3292398,0.8394422,1.4893677,0.9772952,2.0664582,-0.5093753,-0.20712785,0.71309364,1.2799801,1.0421138,0.9773162,0.35290876,-0.13522121,-1.244288,-0.3775832,-0.34183457,0.4081146,-0.49995703,0.34734213,1.1638219,-0.76962024,0.8114061,0.11177165,-2.070982,-0.5561079,0.97525436,-0.46365154,0.93974555,-0.9127237,-0.10000756,0.24817914,-0.368237,-0.942808,-0.674652,0.13582893,1.0168388,0.2970206,-0.49963775,-0.84107953,-0.58054197,0.41674373,-0.25022182,-0.07103616,0.0061676386,0.0062508387,0.2569292,0.27190182,1.7552061,-1.1577486,0.5931018,-1.7871647,-1.1540023,-1.9651344,0.7606365,0.3085259,-0.9027259,1.3717961,-1.2577507,-1.1033853,-1.2285988,0.17039336,-1.1365602,-0.5853908,0.4502572,0.30669263,0.5837023,0.017044082,0.6028363,-1.9162658,1.1445841,1.0695702,0.5359299,-0.8979375,-1.3714048,-0.23125112,-0.27436036
3,0,0.5473948,-0.71145266,1.5271165,1.0526594,0.077064045,0.00628406,-0.11269662,1.1867507,0.21179873,0.120053485,2.4940336,0.11889885,0.5649444,1.3404106,-0.06724385,-1.1921686,-1.5180502,2.2317166,-1.0141147,1.1605949,0.3672248,-0.6446497,0.79748863,-0.56246495,-0.62481654,1.2349908,-0.25621262,-0.25375885,-0.30074632,1.0909629,-1.0161288,0.5114183,-0.18685974,1.1637152,1.729021,-0.44643107,0.10516237,-1.6731168,-0.47139448,-1.745285,0.5673194,-0.66066295,1.6638839,-0.11630045,-0.85824335,-0.4427236,-0.17578809,-0.4278259,0.3130824,0.17919141,1.3184301,-0.6979831,0.50284857,-0.9275064,0.5372457,-0.43254787,-0.69953156,0.42062587,-1.0836478,-0.55807203,0.12280841,-0.621245,-0.37629128,-0.049094662,0.4281154,1.0374347,-0.4874591,-0.837272,1.1347085,-0.21381852,-0.3258573,1.2907778,0.6763383,-0.9234037,-0.8773475,3.0276222,-0.670605,-0.0019968573,1.0753504,-0.53029096,-0.43879247,0.8857845,0.78015643,0.082206115,0.67542905,0.099818625,-0.52658945,-0.8097836,0.08541402,0.39990526,0.96409774,0.629817,-1.0923599,-0.42407316,-1.0996752,-1.0630682,-1.7137197,1.4672318,0.34226236,0.51366293,0.018914688,2.050753,-0.70787835,1.0080539,0.13004836,-0.44130474,0.47543246,-0.5035291,0.12767395,0.73824024,-0.8058707,-1.2453804,-0.26984283,-0.93331563,-0.14789739,0.53402644,0.13839488,-1.4232403,-0.039637204,0.69763005,-1.1042085,-0.11328009,-0.75570095,0.19766207,-0.17333893,-0.09042381,1.6059964,0.119428135,0.67085946,-0.45276994,0.24422973,0.84037817,1.2881176,0.4826159,0.9829302,0.49500367,0.26585042,-0.5662877,0.028649878,-0.32987067,0.20642008,-0.067669146,0.26676437,1.5190456,-1.3818152,0.22372332,0.15075177,-2.2411346,-0.5855181,0.77903706,-0.6313681,0.3637796,-1.2094536,-0.71992,1.0057795,-0.6107828,-0.6795899,-0.31841287,-0.2769899,0.019569822,-0.6044748,0.6083429,-1.5708388,-0.49325252,-0.2135188,-1.2142705,-0.03027751,-0.4194057,0.6400183,0.48674247,0.7749464,0.71544325,-0.7362143,-0.14152028,-0.48824885,-0.72766685,0.7111674,-0.0684356,-0.94603425,-1.0120538,-0.20437074,-0.7421796,0.35848966,-0.6906958,-0.56428796,-0.5698498,0.07456358,1.2038883,0.31738883,0.31793368,0.63341415,-0.52401024,0.20218684,-0.83826923,-0.029784687,0.4923557,-1.4864591,-1.970962,0.530672,-0.9858967
4,1,-0.62471765,-2.4061394,2.824231,-0.012635059,-1.3147043,-0.7487846,0.68758845,2.2625785,-0.26332703,-0.27453268,0.776159,-1.2996206,-0.355476,-1.8494447,0.72258526,-0.13048972,-2.5830152,1.6808577,-1.4451611,-1.0462189,2.180272,-2.2746902,0.9888647,-0.80806845,-1.093451,-0.9817927,0.8251221,-0.97176814,-1.4720044,-1.1944218,-1.8330749,-1.3635029,-0.83885825,0.986055,2.430091,-2.314328,1.0892599,-2.3571978,-1.6569176,-1.3917425,2.1848044,0.7820545,2.157301,-0.7384134,-0.44145176,1.5360829,0.04459787,0.10034337,2.7759945,-0.49115503,1.4533216,0.69830626,0.22066303,-2.981243,1.5322219,-1.9593259,-0.4701003,0.09449985,-1.0379199,2.0677025,-1.0679601,-1.630122,-0.06264365,-0.65616065,2.4003875,0.03929615,1.2566744,0.19082384,-1.2321514,-1.0304818,-0.6024577,1.2316366,0.42239544,1.4043758,-0.26528192,0.8158269,0.678418,0.025189493,0.18543267,0.8024924,-0.09943685,-0.013693172,0.91668683,-0.47790918,0.5859939,-0.87086767,0.44396916,-0.58635086,-1.7814373,-1.7183514,0.44955185,1.4987234,0.61281973,-0.9154986,-2.2127817,-0.86037916,-0.7462722,1.5603585,1.1558098,-1.5306222,-0.62456644,-0.11023986,-0.7820391,0.5700031,0.39377803,0.5972412,2.1410155,0.79977524,1.0253971,0.36620426,0.83136666,1.1241947,-0.6734949,-1.3069236,-1.4828836,-0.17051315,-0.23499009,-0.340871,-0.54804814,0.79718804,-1.5454154,0.92794436,-1.8929405,1.7881341,-0.3245138,-0.43860728,1.234193,-0.5920877,2.0475194,-0.87378305,0.3437462,0.4853185,2.794649,1.6142989,-1.2205961,2.0361981,-0.9096481,-0.6319309,-0.5561419,-0.053598087,-0.18061082,-0.4334247,0.6150929,4.0063586,0.570947,0.7420494,-0.42125434,-1.5427129,-1.1705589,2.4212842,0.9581537,1.5592749,-0.19076282,-1.7801487,1.3767672,0.6564238,1.8274654,2.6292732,2.6574461,-0.14522685,0.30949536,-1.983725,-0.10772429,-0.76373565,-1.760871,-1.2589592,-0.14863417,-0.95969087,-0.77884513,-0.8521629,1.5518032,0.08848373,2.2119431,1.0760858,-0.26612237,0.025221337,-2.322979,0.80278563,1.230422,0.5636177,0.21410075,-1.8812761,-1.0426877,-1.0349512,0.26184776,0.621871,-0.99710345,1.4120909,0.87611824,-0.25140917,0.45467013,-0.78978544,-0.4525455,1.738423,0.5437737,0.7536378,-1.8390013,-0.34761778,0.5894089,-1.0815827
5,2,-0.35402524,-1.8018845,3.0531669,0.8078995,-0.15794261,-1.0013881,-0.82256943,1.6612238,-0.46944967,-0.69040763,2.201356,0.36810127,0.58864343,-1.0327343,-0.94273245,-0.5923684,-2.3389933,1.3167014,-0.9948946,0.72744435,1.70309,-2.2439334,1.4602206,0.81509537,0.5981642,-0.46017224,0.93767506,-0.12659796,-0.8735814,1.3746192,-1.1683472,0.702083,-1.0409464,2.016819,1.6492126,-0.48315236,-0.3712131,-1.3741034,0.50163716,-1.5339253,1.430244,0.94808996,1.2869631,0.5639152,-1.5427384,-0.12185656,-0.1762899,-0.15093751,1.0111723,-0.38390478,0.37633133,-0.5295782,0.41831914,-1.737481,0.15679066,-0.81606984,-1.6064314,-0.16830526,-1.6751951,1.7388523,-0.5838909,-2.2570817,-0.27870023,-1.2359954,2.088277,0.17269686,0.5550253,-0.5096374,0.37931868,-1.6595107,-0.3007682,1.0421721,0.68037504,0.5393762,0.10431027,1.3735834,0.59661895,0.2757037,1.8531919,-0.41886055,0.42964107,0.99081767,1.2213441,0.66434705,0.3615614,-0.9301872,-0.78306264,0.46562228,-0.21566854,-0.75288075,0.29693225,3.4429219,-0.41130137,-1.3883436,-2.1130238,-0.84545296,-0.820511,1.7279994,0.23530181,-0.50779927,-0.28793508,0.8775015,-1.2564781,1.7242155,1.2670523,0.72800195,-0.065589696,0.9575807,0.8189654,0.89751554,-0.07954167,-0.4825326,-0.86130756,-1.1512798,-0.42483053,1.0883102,-0.44989374,-0.90768135,0.9779061,1.9716233,0.08643539,1.3108126,-2.8420672,1.311403,-0.8316001,1.1643558,1.6998242,-0.33799142,1.5658563,-1.5350825,0.62657756,1.2894408,1.3443894,1.2191068,0.16838314,1.378866,-1.228466,0.026330665,-0.61113787,-0.76676166,0.5210623,0.6713688,0.33880138,2.7433958,-0.50558186,0.59245706,-0.5251923,-0.04324737,0.9676172,0.29533654,1.8887352,0.5073587,-1.5813174,-1.7277277,0.7498609,-0.34669045,-0.54125273,0.9297865,1.2032073,0.7620847,-1.0326619,-1.6301514,-0.2836363,-0.8349386,-1.4226959,-2.306746,-0.33311024,-1.9026614,-0.34501854,0.14141944,1.1907787,0.90821826,-0.35189217,1.1670505,-0.9342667,0.35089538,-0.028971246,0.115101114,0.8424597,0.683689,1.5212178,-2.1467576,-1.8558415,-0.27721938,0.82308555,0.35626298,-1.092432,1.5005486,0.5851675,0.69859207,-0.1709631,0.05662372,-1.6250628,1.4328245,2.2492688,1.8181087,-1.7515393,-1.1757591,1.5786624,0.9225725
6,0,0.1809994,-0.9932052,1.1229229,0.37261343,0.36907762,-0.23719928,0.32831675,0.78054094,-0.99040514,-0.754851,1.6661973,0.16491404,1.1444168,1.8075445,-0.50265825,-0.08281388,-2.6550274,1.1470245,-2.3660955,0.44543874,0.06360517,-1.3610525,0.17086342,1.3345954,-0.5004603,0.7638407,-0.8358472,-0.084829085,-0.053355087,1.1698643,-1.4608555,0.047421843,-1.3537095,1.7726439,2.6567144,0.79329455,0.99807817,-2.7763448,-0.60619736,-0.83452994,1.6155914,1.9079024,0.023359057,-0.108632624,-1.4173692,0.14664322,1.3840784,-3.752379,0.73415774,-0.10291981,1.1933507,-0.13941494,0.40190744,-1.0510126,2.8594155,-0.87431526,-1.7388963,1.3613348,-2.3045502,0.90328217,0.70655024,0.82513714,-1.7971737,-1.0202209,0.9811803,1.7452499,-2.0080159,-0.8496732,1.5924048,1.054057,-0.5017637,1.223509,-0.31804907,-0.91995096,-0.7055934,2.877159,-1.6833931,1.828782,2.6083384,0.13920502,1.1000841,-1.1318809,1.120423,-0.5429464,-1.3471258,-0.40216398,-0.2319993,0.29339415,-0.2992435,0.45811552,1.9548962,0.8624943,-1.3992472,-0.7179254,-0.51273125,-0.17579561,-1.0492128,0.57450205,-0.1577528,-0.6262588,-0.7339769,3.74522,-0.9282335,-0.26360264,0.53783774,1.0183736,1.7723446,1.7308751,-1.9571382,2.2330475,0.25427732,-0.7405549,-0.4263313,-1.0344349,-1.2449666,-0.000117957235,0.28024334,0.1517686,-1.7352313,1.119425,-1.1138799,0.8115893,-1.4903662,-1.2410849,-1.1885717,0.33702967,2.951657,1.6342716,1.295283,-0.59278226,0.65758,1.1669581,3.4577162,0.78140396,0.48343885,0.19749165,1.4288511,-1.8529211,0.45160002,-1.2734276,0.2539997,-1.0346891,-0.40106893,1.1937628,-2.213269,0.52218574,1.1261092,-3.885698,-0.32842225,2.4746413,-0.7370189,1.3654884,-1.17788,-1.6487163,0.78495103,-1.1752107,-0.3925079,-0.82764655,0.07734154,1.3256675,0.098257564,-1.0015724,-2.471739,0.37911502,1.0283049,-1.5748072,-1.1501276,0.9772137,0.032865345,-0.05146408,-0.05693894,2.491458,-2.0803668,-0.23736255,-2.2102635,-1.8259172,-2.3472672,1.521239,-1.4222821,-1.4575372,0.08807047,-0.6991376,-1.3901287,-2.1716096,0.54394996,-1.429488,-0.006127795,0.64239,0.7877077,1.7172375,0.49967173,1.038745,-2.3335588,-0.13075235,-0.4369436,1.5761901,-0.23276079,-1.7834742,-0.269208,-0.96769583
7,0,1.2808913,-1.5781897,-1.9351566,1.2689248,-0.60818815,-1.390243,-0.56392056,0.8981361,1.1468747,-0.83021903,3.751857,0.7546272,-0.4484867,1.3759813,0.6095144,-1.4281061,-1.0425786,0.7672174,-0.06777714,1.6128986,0.38204306,-1.2487321,1.5975747,0.33415958,1.4394388,1.2873805,-1.1280211,0.81193924,-0.7269142,1.0044068,-2.7011232,0.9091069,-1.9158387,0.9945786,1.7819108,0.39816797,2.4058108,-0.44077718,-1.3901922,0.8741633,0.8787199,0.6123299,0.49033457,-0.5615268,0.8352597,1.9419974,-0.67692953,-0.47383192,2.4479256,1.0743932,1.4500669,1.0851489,1.5438955,-1.5241724,0.91253865,-0.7140774,1.4558634,0.88090646,-1.2351179,-0.7614271,1.5147969,0.4586357,-0.67283237,0.6259671,0.4323026,-0.37359452,-0.3135951,-0.025534736,-1.2070312,0.30527884,-2.1190078,1.5659344,-1.7576792,-0.16164061,0.18667924,0.8967207,-0.8321237,-0.2594419,-0.28150344,0.9052393,0.10184315,1.2242354,0.4940032,-0.122709185,-0.30609775,-1.2971305,0.588594,2.6013634,1.087951,1.2447419,0.38092858,1.7617463,-1.3707284,1.667669,1.8483487,-0.035278507,0.22908658,0.7835701,0.2906048,1.0657742,-0.6305298,1.4495496,-1.3327564,-0.53918135,0.8434566,0.042753015,0.6026779,2.1386027,-0.66429424,1.0373393,-0.94857067,-1.1493835,0.7105853,0.0023213993,-1.0804318,-2.1406784,-0.97324395,-0.7025257,0.8724465,2.6108866,0.58058614,-0.28072533,-1.5844611,-0.8008795,-1.46004,-0.528005,0.092655234,0.080275364,2.002768,0.35903084,-0.2286611,1.3987374,1.7126412,0.6385544,-0.27217665,0.5868378,-0.72280097,-1.6689284,0.14525174,-2.5439773,0.47951537,0.55187374,-1.216934,0.88251776,-0.35876787,-0.13114288,1.6184598,-1.8501843,1.5337257,-0.3174127,1.1673591,1.0267673,-0.76599675,-0.5710219,-0.20346867,-0.5614415,-0.8940235,-0.41891938,0.58836764,-0.50637126,0.57787967,-0.12696417,-0.57631844,0.69814163,0.1265107,-0.46889168,-0.2567451,0.9944978,0.53193676,1.4132147,-2.1175125,0.17567876,-1.7406161,-0.6717698,0.3108971,2.8199832,-1.049591,0.52616256,0.10950765,-0.4248816,-0.12635882,-0.3077332,-2.143295,-0.72949463,1.6183724,0.015698407,-2.0788944,0.4434019,1.3603618,1.3584591,-2.771502,1.9710089,-1.541958,-0.26255515,-0.80818504,-0.49493802,1.0350678,-0.9866713,1.7551494,-0.6451256
8,2,0.23510894,0.61247987,1.310997,-0.3756237,0.6882531,-0.5701379,0.24134263,0.6173657,-0.24021514,0.15167208,2.2638266,-0.8291558,1.6214484,0.48401085,-0.72901934,-0.24062407,-2.196873,2.2019627,-1.1776888,0.5180184,0.4124669,-1.3714992,1.4074796,-0.8305327,-1.4365093,1.2800388,-0.4089072,0.43503457,-0.19364788,0.7167908,-0.5703895,-0.35581958,-0.7858089,0.54889154,1.692102,-0.8819751,0.7384792,-0.7700593,0.015883887,-1.185533,-0.56872034,0.8408915,0.61181307,0.012963559,-0.77724135,-0.62542224,0.71719515,-1.5108908,-0.027032048,-0.3479232,1.2710217,-0.43036455,0.478497,-0.41153744,0.3536258,-0.19926299,-1.0055774,0.20888762,-0.5992432,0.42234397,0.59781486,-1.268626,-0.19918583,0.082420416,1.0605605,1.1671833,-0.36160117,-0.45648554,1.710854,0.48738205,0.36070678,1.3449954,0.5197902,-1.49302,-0.75396883,2.8516395,-0.3731263,-0.6653888,2.2846916,0.19996873,0.062011883,-0.78735,0.66964406,-0.4999546,0.5888625,0.34525207,-0.9157521,-0.6369263,-0.93917394,0.4278002,1.0232065,0.6190446,-0.4848045,-0.6912191,-1.2566158,-0.99978584,-0.24779442,1.8930341,-0.85694337,0.1734118,0.14880162,1.7296692,-1.4682076,0.52449733,-0.33089897,0.22248398,1.2454096,1.0634156,-0.06515404,1.2827833,-0.44730574,-1.4507285,0.089506425,-1.1290313,-0.71540177,-0.65665716,-0.15246138,0.37198862,-0.115886964,0.33919132,-1.4060321,0.15899724,-0.32627812,1.0762489,0.5362076,0.07018375,0.81960243,-0.018540999,0.7214143,-0.76239157,0.9089448,1.3321737,1.4339268,0.49395213,-0.06886125,0.34834555,0.38150775,-0.7643204,0.34619865,0.27544123,0.3211678,0.08291517,0.8971104,1.7127522,-0.6036596,0.35639954,0.013023762,-1.9392195,-0.0790938,1.2873923,0.7866891,1.0044558,-1.5015259,-1.1613787,0.69813895,-0.6081371,0.045609824,-0.11068769,0.7015424,-0.4768356,0.17344944,-0.1438678,-1.0773852,-0.41709056,0.12376309,-1.5655652,0.58959067,-0.27438012,0.40377283,-0.28777757,0.81261784,0.36364475,-0.062072,-0.1996402,-0.24037084,-1.3899227,0.48064688,0.3244447,-1.3833491,-0.38265365,-0.11715629,-0.39588147,-0.5040405,-1.0793245,-0.026249256,0.09322227,-0.05071751,1.600839,0.027837507,0.19598141,0.508233,-0.21210371,0.57620853,-0.7371999,0.7427675,0.8312478,-0.6450546,-0.2687537,-0.7755172,-0.89949304
9,2,1.0041289,-1.05383,1.9236748,-0.09822055,-0.50398165,-0.77503955,0.16873816,0.9800988,-0.42244545,-0.30177844,1.6171229,0.25897726,0.53674453,0.46713328,-0.9718749,-0.59516925,-0.6344711,0.27268496,-0.14708142,1.1266725,1.5071466,-0.5945986,0.03683625,0.49328855,-0.10774367,0.43679276,0.96690255,-0.3116872,0.44635308,1.2065942,-1.5204378,-0.09645152,-0.2646472,1.2938257,0.98655945,0.2995911,0.30458695,-1.0143268,-0.62633306,-0.5173109,1.3159863,0.21562625,0.62156284,-0.30333737,-1.2636774,-0.22543941,0.22686636,-1.2184227,0.9337193,-0.59783375,0.8743223,-0.601489,0.37483862,-0.70906067,0.4158867,-1.2509094,-0.7394695,-0.19617145,-0.8223421,0.72753745,-0.6397486,0.06674492,-1.1299552,-0.7379429,1.8132027,-0.1621091,0.8705179,-1.4994501,1.2677097,-0.15676646,0.17279258,1.130567,0.62539923,0.43656263,0.04642712,1.5958939,-0.07521192,0.14930636,1.5292413,-0.0982958,1.3164632,-0.4756834,0.5450448,-0.14591528,0.16367587,0.041291706,0.039608434,0.5035183,0.0633766,0.7651827,-0.27271786,1.6979576,-0.7245068,-0.35984802,0.026353471,-0.36687607,-1.2308456,1.7804633,0.97188973,0.43337712,-0.450094,1.3361166,-0.8321384,0.250625,-0.08860609,-0.7158303,0.85946274,0.71734655,0.23494034,0.7433332,-0.1671979,-0.36749923,-0.045316305,0.042607386,0.18249927,0.21235168,-0.416997,-0.6353577,-0.6757791,1.1995018,0.44621316,1.2986923,-1.6370009,0.44078004,-0.8243763,-0.13430755,1.2872475,0.30879855,1.3735843,0.13943665,0.5114025,0.37368864,1.0212965,-0.058528904,0.7346828,0.5274287,-0.39456433,-1.4213768,-0.72658414,-0.026287997,-0.509431,-0.29295668,0.65785813,2.271626,0.13087529,0.49376348,0.21039882,-2.0403447,-0.62141144,-0.32636943,0.8754811,0.50908816,-1.0526708,-0.5003768,0.074795164,-1.0776255,-1.1296294,-0.196224,0.65380484,-0.8857575,-1.656052,0.5584584,0.09264465,0.17705092,-0.7184037,-0.77740103,0.43590352,-0.44488627,-1.039936,0.62512743,0.7099535,1.1314948,-0.6195637,0.4113055,-1.0910404,-0.07952148,-1.2004166,1.0200709,0.4280598,0.25090012,0.3499141,-1.3131894,-0.4800568,-0.11579321,0.2674144,-0.46275666,-1.0307983,1.4047021,1.3865093,0.6363155,-0.47358003,0.6938362,-1.195397,0.054847453,1.0440265,0.708137,0.033157136,-1.2482641,-0.3525253,-0.48789847
