,Target,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42
0,2,0.02297594,-0.96530974,-1.2387097,-0.9806,-1.2230856,-0.7379868,-0.8873226,-0.67568946,-0.028122367,-1.0627775,1.7344011,1.168143,0.07262107,1.1700034,1.3351237,-2.0093064,-0.6538202,0.5434393,-0.119798996,-0.9590334,0.3598253,0.49725014,-0.252353,-0.29478455,1.4308289,-1.2833413,-0.06128205,0.95733374,1.7566324,-0.43308863,-0.0034520926,0.36774996,-1.2369184,0.2694109,-0.9284474,-0.028175956,0.11115452,-0.2793412,0.9829178,-0.83757126,-0.24242474,-0.23122837,0.046296906
1,1,-0.15140696,-0.86181384,-0.97007346,-0.64646685,0.31606495,0.5095191,-0.70876545,-0.42285237,-0.436029,-1.2903732,-0.263831,1.728896,-0.025402358,0.7731854,-0.15729997,-0.62804174,-0.12036713,-0.75865996,-0.5836973,-0.64314926,0.49145994,1.5441301,0.6488871,-0.9198325,0.86993563,-0.9809285,-0.4070261,0.28087264,1.0801439,0.55135167,1.0387447,1.1982659,-0.3866434,-0.5132244,0.17437603,0.29235688,1.0217242,1.8337449,1.0629455,0.19645216,0.012724239,-0.118444905,0.73993444
2,2,-0.06821032,-1.2886561,-1.1968224,-0.35095087,-0.5184769,0.42564946,-0.67574394,0.30718663,-0.27979508,-1.1411457,0.13824019,1.4094552,-0.7058408,0.33506423,1.0759076,-0.30510628,-0.10380727,-1.1333089,-0.07957644,-1.0974495,0.1957309,0.8113931,0.3633806,-1.7732197,1.5792191,-0.5667518,-0.5491396,-0.2848789,0.7080822,0.2465486,-0.012628619,0.43116313,0.12331371,-0.29158342,-0.543025,0.62629896,0.95716965,0.78781974,0.17029451,0.83761674,-0.6223041,-0.2964312,-0.3242717
3,0,-0.39223477,-0.9804455,-0.9984365,-0.13765095,0.28510228,0.80707186,-0.22959891,0.20383036,-0.29626426,-1.2181008,-0.7692114,1.413751,-0.10957795,0.65951383,-0.18205576,-0.6569738,-0.0076668737,-0.8377406,-0.0057460386,-0.39850026,0.46578047,1.3877709,0.32711065,-0.68710285,1.1436094,-0.7204174,-0.13225739,0.3469857,1.2222215,0.39652076,1.3460656,1.483937,0.34739205,-0.5368399,0.08505075,0.2127097,0.40995035,1.9478042,1.0633593,-0.32003507,-0.09970335,-0.4663553,0.80568784
4,1,0.26322407,0.6730382,-1.9747115,1.1675307,-1.7179463,1.5005149,-1.0235991,-0.07739718,-0.7265966,-0.23901635,-0.58494395,0.19225788,-0.9514629,-0.72369075,-1.0599408,-1.2734885,0.75265574,-1.7237152,-0.15546578,0.10660216,-1.3422142,-0.2199527,-0.17846745,-0.707647,1.90247,0.20468959,0.8361739,0.32746524,1.1257786,0.7113043,2.3937843,-0.7011063,1.4214659,-0.2370977,-0.97087026,-1.4688807,0.09839645,1.0688379,-0.38748348,-0.99964786,0.46018013,-1.3534257,-0.28384614
5,2,0.21811387,0.70158,-2.430363,-0.24828115,-2.4592493,0.14711355,-0.79590946,-0.52199274,-0.004311647,-1.4250917,1.4261631,0.47329006,-0.809991,1.2963291,1.408485,-1.3523717,0.36709502,-1.2090436,-0.467508,0.103080474,0.0056088776,-0.48375574,0.91599154,-1.3384622,2.0997975,-0.671256,0.10414601,0.7257562,0.29058838,-0.25069112,0.5383901,-0.11950798,-0.71526015,-0.41360953,-0.83605224,-0.40951282,0.95769286,0.3623153,-1.5552636,-0.38510984,0.0024656665,-0.8001768,-0.14786667
6,0,0.11192533,-1.117104,-1.1358337,-1.8899485,0.80150527,0.24687454,-1.0754054,-0.672008,-0.5027368,-1.3311038,0.7834005,2.498895,0.167319,1.2761788,0.28064743,-1.174026,-0.7583143,-0.45952,-0.12981899,-1.503179,0.7004702,1.8030225,0.1915755,-0.72831047,0.21595511,-1.3476174,-0.6362948,-0.020363156,0.08103006,0.07882491,0.26593196,0.41948047,-0.87008154,-0.077683106,0.16058719,0.7701113,0.2975656,0.9223752,0.930326,0.086650565,0.18890257,-0.34354338,1.4499203
7,0,0.14710312,-1.042009,-1.139116,-2.309369,-0.94353914,0.48069558,-0.08266243,-0.33178923,-1.0059485,-0.3587434,0.29614288,0.060932063,0.7147011,-0.090816386,0.016097667,-1.2632624,-1.0921373,0.099297106,-1.1621699,-1.347082,-0.22031704,0.0003682944,1.0628303,0.061468955,0.2995887,-1.2700151,-0.026624132,0.18628809,-0.31686714,-0.46877584,-0.14841631,0.23480645,0.2632146,-0.50638545,-0.65402025,0.22793399,-0.01230624,0.8479055,1.0603089,-0.06545946,0.6255949,-0.6670922,-0.15256073
8,2,-0.36666897,-0.62696624,-1.0575086,-0.44623226,-0.35873973,0.7516666,-0.55740845,0.13375488,-0.54356694,-1.2186996,-0.70011204,0.9539919,0.109215125,0.7120843,-0.34915265,-0.6525099,-0.14840913,-0.8681675,-0.86162865,-0.59186137,-0.34256035,1.001262,0.34670553,-0.77712846,1.2459207,-0.99890727,-0.30233282,0.1463215,0.735419,0.3441898,1.6471004,1.2357104,0.0006957844,0.17989072,-0.28132007,0.17434381,0.9181284,1.4872718,0.6314828,-0.4663776,0.26598936,-0.28963977,0.6066681
9,2,0.42291605,0.12133131,-1.7637936,-0.3302088,-1.2553864,0.30316994,-1.2728689,-0.8755137,0.6000044,-1.4024658,1.5974114,1.6646454,-0.18892404,1.4008713,0.546656,-1.9305272,0.35575858,-0.051339116,0.019435579,-0.3603616,0.35441598,0.91169333,-0.096350186,0.13392636,1.1766676,-1.4165957,-0.07181866,0.6759554,2.0362058,-0.3916208,-0.4327815,-0.27177322,-0.92681247,-0.3022174,-0.64139163,-0.3419172,-0.023136608,-0.08929985,0.04058154,-0.750779,-0.64393514,-0.80111545,-0.375834
