	HSPD1	LRRK2
0	HSPD1	HSPA9
1	HSPD1	PTEN
2	CRYAB	HSPB1
3	CRYAB	VEGFA
4	CRYAB	CRADD
5	CRYAB	TP53
6	CRYAB	CASP2
7	VHL	SLC2A1
8	VHL	RNF139
9	VHL	ATM
10	VHL	TGM2
11	VHL	TP53
12	VHL	SOD2
13	VHL	EPAS1
14	GSTP1	TGM2
15	GSTP1	MAPK8
16	TGM2	RELA
17	TGM2	PAK1
18	SETD2	TP53
19	ERBB2	NF2
20	ERBB2	PAK1
21	FLT1	VEGFA
22	FLT1	KDR
23	FLT4	KDR
24	DNMT1	DNMT3A
25	DNMT1	TP53
26	NDRG1	TP53
27	ERN1	TP53
28	CRADD	CASP2
29	NF2	PAK1
30	NF2	TSC1
31	PIK3CA	PTEN
32	MTOR	TP53
33	MTOR	MAPK8
34	LRRK2	HSPA9
35	APAF1	TP53
36	KDR	VEGFA
37	TSC1	TSC2
38	RELA	IL6
39	RELA	TP53
40	RELA	ATM
41	RELA	HSPA9
42	ATM	TP53
43	MAPK8	TP53
44	PTEN	TP53
45	PTEN	BAP1
46	ARID1A	TP53
47	PTGS2	TP53
48	IL6	IL6R
49	HSPB1	TP53
50	HSPB1	HSPA9
51	TP53	HSPA9
52	HSPA9	BAP1
53	HSPD1	LRRK2
