,AKT1,ANXA1,ANXA2,APAF1,APC,ARID1A,ATM,AXIN2,BAP1,CARD11,CASP2,CCND1,CDKN2A,CRADD,CRYAB,CTNNB1,CTSD,DLC1,DNMT1,DNMT3A,EPAS1,ERBB2,ERN1,FLT1,FLT4,FN1,FOSL2,GSTP1,HNF1A,HNF4A,HSPA9,HSPB1,HSPD1,IGF1R,IL6,IL6R,INSR,JUN,JUNB,JUND,KDR,KIF1B,L1CAM,LRRK2,MAP2K1,MAPK8,MTOR,MYC,NDRG1,NF2,NFE2L2,PAK1,PIK3CA,PTEN,PTGS1,PTGS2,RELA,RET,RHEB,RNF139,SDHA,SETD2,SFRP2,SHANK1,SLC2A1,SOD2,SRC,STK11,TGM2,TP53,TSC1,TSC2,VEGFA,VHL,Y
0,34.43427481,33.86800136,37.39663755,32.66876907,32.8609035,33.84802607,35.94242939,31.47099896,33.67729431,30.61711231,33.68901476,35.39589743,33.32938203,34.2004,39.95791,35.0765,36.35913,33.82569,35.1514,31.75476,37.95811,35.32243,31.62996,33.69326,30.79376,38.66781,35.49323,36.48088,33.7733,35.60734,37.28617,38.25591,37.02204,36.19656,29.74353,35.56127,35.28722,33.86566,32.30478,34.94239,32.51308,33.90202,30.82026,33.31355,33.27627,32.64741,33.01718,33.16037,40.63163,33.9608,34.11266,34.43928,32.42544,36.73944,35.3243,31.08504,33.09884,25.92222,34.6974,32.46554,35.65961,32.58565,33.86539,22.59074,33.38586,38.67433,32.25286,34.96649,38.50142,33.83518,32.93402,34.9352,37.79678,32.30615,1
1,34.15270101,35.08543403,36.57067128,32.3374933,33.71756766,33.84351312,35.98822522,29.61429716,32.64314903,29.71434227,33.94681232,35.8473398,32.50379061,33.33414,39.7685,35.93203,36.15129,34.08697,34.78386,32.83981,38.83281,33.71706,33.64843,35.56873,33.38444,39.11291,35.42875,36.21403,31.93413,33.97926,37.70072,37.41814,36.4892,35.16447,24.29608,34.27496,35.75399,34.08841,31.99104,34.44743,34.15721,33.8009,29.4465,34.56644,33.67856,34.04178,33.17883,32.99406,39.95111,33.69899,34.9521,33.95625,33.21465,37.13114,31.12693,30.16993,33.06941,25.10883,34.513,32.2719,36.25228,33.19915,32.52577,25.71959,33.69538,38.64559,31.28699,33.69034,34.33752,34.4481,33.1663,35.08304,40.09193,32.19988,1
2,35.44911923,34.90837203,38.44301987,31.81819796,34.02309923,33.51600486,36.19358742,30.3046425,32.36886592,29.07614189,33.75281477,37.20761118,32.56181243,31.15063,40.93124,35.25025,38.69818,32.408,34.97395,32.26242,37.19345,33.38917,33.2433,34.21918,33.3467,41.10584,35.78815,35.34069,24.53069,32.93145,37.00237,37.94992,36.51745,33.52111,33.97471,33.54944,34.10993,36.06857,32.70137,33.67377,32.35059,34.22912,33.51331,33.71481,34.52269,33.45663,34.06093,33.08598,39.71223,34.07472,35.75015,33.80051,32.46705,37.91878,30.23195,30.76766,33.64965,26.2933,35.16824,32.55514,35.94898,32.84628,30.803,25.22106,36.23588,40.50559,32.18447,33.52524,35.50178,35.4198,33.63282,34.79244,38.22308,31.49147,1
3,34.22027811,36.2901236,37.24482881,32.60129346,33.50771112,34.19769825,36.57834764,29.39824035,31.89539977,27.7835043,34.06433175,33.86411963,30.36888918,32.93107,40.02236,36.36322,36.36947,34.80034,35.07183,32.64948,39.46713,33.2234,32.54087,36.25593,34.21029,38.76668,35.84925,35.36208,30.54264,34.08321,37.00455,37.8679,37.13423,36.29789,31.49884,33.95223,36.19859,33.57602,32.92979,34.45253,34.62939,34.43206,28.92931,33.85065,34.03312,33.49951,33.50445,33.52129,39.71355,33.14612,34.95459,34.5325,33.87549,37.77827,33.44328,30.54053,33.14439,28.66228,35.04545,33.19823,36.80299,33.68316,31.34579,27.00318,34.41938,38.99231,30.26144,33.20234,35.77236,34.18862,32.8825,35.02014,39.94908,32.11538,0
4,33.97336834,36.86327245,36.87169298,33.59312094,34.6071625,33.35146049,36.80749673,29.9394562,33.96834807,29.10502393,33.50118384,35.11933422,24.50161888,33.49363,38.83921,36.56221,36.45601,35.43579,35.23627,33.75096,38.49884,33.40876,31.19462,35.39769,34.92401,41.36091,33.3954,34.26885,30.46161,23.70446,36.30264,35.26187,36.15876,36.25647,33.92214,32.27378,35.19443,32.00221,32.42857,35.00716,33.37223,35.62903,26.71064,33.44297,33.76729,31.96469,34.22502,32.21904,38.62867,32.58079,34.50196,34.23407,34.24976,37.99008,31.18348,30.95478,32.91133,31.80004,34.26966,30.89813,34.14234,34.63036,33.05994,27.92047,34.59911,38.41437,33.05053,34.14981,33.47112,34.91241,33.44515,35.0131,39.31564,33.33646,1
5,34.98128133,36.03475587,37.63746157,32.17143266,34.00520476,34.10911272,36.40182607,27.81003551,33.65253266,31.33902007,33.73910308,35.19523756,30.96071885,32.48971,39.65399,36.02961,37.05059,33.86883,35.58416,32.37386,37.78717,31.56564,32.29941,34.76753,32.19088,40.30234,34.73542,35.45477,26.13639,29.95417,36.9789,37.34454,35.93764,35.37204,32.79016,34.33142,33.78232,33.42189,32.81089,34.80268,33.0823,33.76876,23.83883,34.42348,34.14445,32.45859,33.6943,33.36477,38.5392,34.48873,34.57492,33.06776,32.89598,37.35848,30.41331,31.91172,33.85039,30.05618,34.60546,33.57671,35.94068,33.44016,30.3013,22.59074,34.82122,38.37018,28.65419,33.61846,35.95382,32.1613,32.87762,34.58115,38.93158,32.85442,1
6,34.6207974,34.50312922,36.78515178,32.49340557,33.16180151,33.2711502,35.59938644,29.40719277,32.63333485,29.1365177,34.16420989,36.73253482,32.0583251,32.75307,39.48698,35.18082,37.34689,32.92856,34.81874,32.49858,37.26115,33.86934,31.61393,34.4593,31.32755,37.52467,35.91212,33.77116,33.18505,32.9506,37.43243,38.47296,36.93566,36.07102,28.13497,33.47788,35.1759,33.2236,32.10365,34.95082,33.14061,34.48788,28.19426,35.77927,32.30915,33.49566,33.4104,32.98313,40.04039,33.95985,35.40728,33.46943,33.09348,35.90397,31.2219,30.24731,33.27512,27.75514,34.20824,32.97635,36.60909,33.03294,29.57938,26.35793,32.74636,36.82956,32.41724,33.25381,33.97099,35.48656,34.09818,35.03263,38.05805,31.61337,0
7,34.22220288,34.66747289,35.54043703,33.70161333,33.93582677,33.53933229,36.58622049,29.95300514,32.84343927,32.1348242,34.2405017,36.62863926,31.64530994,31.5137,39.63255,34.82624,36.20246,33.9581,35.04998,32.54677,36.84683,33.54593,32.74372,34.23659,34.62573,37.6914,33.16777,36.71615,33.05918,33.45263,36.7396,36.69292,37.13487,35.39824,31.54105,31.83669,34.34752,33.4258,33.60699,35.70584,32.93529,34.34822,23.83883,35.48348,33.27335,33.0579,33.66749,33.203,39.05777,34.45946,35.03683,32.87712,33.12491,36.2205,33.41781,31.72698,33.14299,26.30721,33.70651,31.99291,36.4903,33.15593,29.65947,22.59074,30.31758,38.46245,33.08917,33.37485,36.33947,33.55736,33.38182,35.44935,37.81097,31.10226,0
8,34.38228829,35.62773457,37.04481362,32.97588025,34.66519873,33.52393728,36.39940904,31.08957703,32.6601447,29.58168407,33.81738701,34.84842181,31.81478629,33.12976,37.9202,35.68764,36.45657,34.34939,33.89472,32.27484,39.13267,34.12366,32.98989,35.37608,33.84863,37.7962,35.17962,35.07026,32.70914,34.57826,35.79775,36.53736,35.80065,35.40077,29.57764,33.60468,35.89715,31.8931,31.80003,35.60083,34.0082,34.14014,30.19167,34.58516,34.50593,33.69437,33.70979,31.75549,39.80144,33.40467,34.58508,34.53582,33.18371,36.99773,34.08118,29.70497,33.09857,23.6062,33.80953,33.13805,35.5797,33.27641,31.74274,29.9163,33.88149,39.27165,32.06604,32.60053,34.75243,33.9354,33.36926,35.11777,39.3348,32.53684,1
9,34.41813237,34.97468732,37.45483749,32.78962279,34.4068723,34.01346589,35.64113842,31.08739679,33.61841147,33.05901101,33.61293806,34.69719727,32.24185039,32.91937,39.11814,35.38618,38.92209,33.09973,35.1374,32.54259,38.05661,33.37722,33.28534,34.50873,32.02915,37.49313,36.3871,36.02627,34.10142,35.24758,36.57845,39.12981,35.60927,34.40398,29.86637,33.44605,35.02126,33.59999,33.4592,35.02977,32.15194,34.4352,31.96309,35.2199,33.41833,32.06324,33.08193,32.34266,40.98348,33.05416,34.24447,33.27939,32.33381,34.72746,32.93919,31.08041,33.70842,27.66791,33.69577,31.84626,36.24741,32.91771,31.11815,31.78636,35.78629,36.73066,32.5545,33.32132,36.90815,34.40646,33.0913,34.88229,38.63166,30.84539,1
