,id,AGO1,AGO2,AGO3,AGO4,ATM,BLM,BRCA1,CCNH,CDK7,CETN2,COPS5,CUL4A,CUL4B,DDB1,DDB2,DDX20,DGCR8,DHX9,DICER1,DROSHA,EGFR,EIF4E,ELAVL1,ERCC1,ERCC2,ERCC3,ERCC4,ERCC5,EXO1,FEN1,GTF2F1,GTF2H1,GTF2H2,GTF2H3,HDAC1,HSP90AA1,HUS1,LIG4,MNAT1,MOV10,MSH2,MSH3,MSH6,NPM1,PABPC1,PARP1,PCBP2,PCMT1,PIWIL1,POLD1,PRKRA,PSMC2,RAD23A,RAD23B,RBX1,RPA1,SLX4,SMARCB1,SRRT,TARBP2,TCEA1,TNRC6A,TP53,UBE3A,UBE4B,UBQLN1,XPC,XRCC5,XRCC6,Y
0,0,31.17046117,33.86804034,34.07731391,30.23931682,35.94242939,31.2448745,31.74339211,34.04645753,35.54128299,31.64646076,33.89275521,33.56544,34.60632,34.83645,33.59818,32.78511,32.1946,34.34247,33.43197,34.82487,34.66442,34.5549,32.70692,35.50594,34.10236,33.27281,32.15016,33.86005,29.67885,30.82112,32.97457,33.83478,33.54998,31.89102,32.75342,35.69458,31.76377,31.02721,30.69529,33.91972,33.12736,32.19275,32.22932,39.08733,40.51006,35.20207,37.8898,31.44953,22.08228,31.31385,33.57308,33.95907,34.44473,35.26683,32.88184,33.48209,31.64453,34.02669,34.81721,29.60417,34.73469,34.84045,33.83518,34.42321,34.19268,34.35155,32.24472,34.81697,35.24634,1
1,1,31.63035078,33.66308374,33.09198185,32.0656697,35.98822522,30.1059763,31.80222154,34.27723476,34.82983312,32.6793936,33.37912574,33.42165,34.41882,34.85588,32.20773,31.30869,31.70729,35.07076,34.12916,35.27832,35.04555,33.93919,32.90239,35.7419,33.0129,33.0279,31.72957,34.21352,28.10967,30.63579,33.62052,32.73533,33.73629,32.60684,33.61769,35.69471,32.71657,31.25468,32.74006,33.97893,33.17165,32.90121,33.61553,40.83555,39.92307,34.76812,38.51213,33.02746,23.38274,30.82272,33.75704,34.14543,34.31262,34.77739,32.73773,33.07516,30.43339,34.56384,34.55779,29.61188,35.11581,34.25218,34.4481,34.01453,34.35633,34.08819,32.15619,35.21947,35.91455,1
2,2,31.50590138,33.34976574,35.6678329,31.87738078,36.19358742,31.02305692,32.45127758,33.74406932,34.28523102,31.87295673,33.41054967,32.98786,34.15432,35.29877,33.43171,32.75012,32.38039,35.17399,34.60364,35.47987,35.03537,35.11731,33.30242,34.62185,33.04283,33.45911,33.1425,33.73166,30.48717,32.17481,33.33761,33.8091,34.10344,33.4171,33.2106,37.3493,32.15004,31.42803,32.63621,34.14092,32.81375,32.98969,33.74379,38.5918,38.78302,35.50069,38.60383,33.75531,22.08228,30.50488,34.40199,35.08106,33.80482,36.1711,34.39679,33.82257,31.34174,34.62282,34.7341,31.90343,34.9027,35.06216,35.4198,35.11894,34.08793,34.74158,31.86536,35.69939,36.05801,1
3,3,31.57278811,34.0756297,33.66245657,31.84003793,36.57834764,30.46793236,31.44527851,33.6941543,33.2797335,32.29885667,33.29253394,33.84406,34.67629,35.16112,32.83651,31.75888,31.56561,35.08752,34.91373,34.91613,35.12911,35.16043,32.37565,35.22185,32.56276,33.34775,31.36181,34.00926,27.99131,28.2767,33.37476,32.57002,34.09476,32.96676,33.89776,37.55541,32.65729,31.49571,33.30839,33.32723,32.74499,32.58829,33.1923,39.68109,39.61119,34.18999,38.26944,33.50304,22.08228,30.1813,34.30678,34.20808,33.58328,35.02079,33.53161,34.43701,30.57391,34.42433,34.46118,30.35424,35.27766,34.66105,34.18862,34.7988,33.74468,33.96013,31.63561,34.94328,35.75676,0
4,4,31.68312933,33.20996982,34.3280527,34.47307888,36.80749673,31.57175977,31.47823094,33.50629188,33.51024417,31.59008233,32.52277816,33.55877,34.68131,34.46039,32.87462,30.6875,33.11428,36.00195,35.5301,35.06186,35.68321,34.90904,31.6407,36.11318,32.17552,33.69842,34.05233,34.22736,30.93374,29.29854,32.40126,32.63302,26.81231,32.4596,33.8195,36.28969,31.9638,32.74195,33.91444,33.28508,31.58161,32.50736,33.81593,37.40313,39.22032,35.67482,37.69778,33.18274,22.08228,31.24293,34.15828,34.48035,32.7213,34.61941,32.86688,32.02877,33.6021,32.4706,34.88203,31.60946,34.70003,36.06406,34.91241,34.66741,33.5763,33.0025,33.12717,35.50471,36.33015,1
5,5,32.71093193,33.3272871,33.52832315,32.14451361,36.40182607,31.35214338,33.35804879,34.34065304,33.3728533,31.27357725,34.99623473,33.71903,33.22574,34.49514,33.70127,31.55827,32.34018,35.91531,34.91701,35.6598,33.53779,32.74499,32.84925,35.07068,32.44373,33.47804,31.04627,33.7504,28.68373,26.43404,32.29616,32.91404,33.11322,32.69776,33.50134,35.87923,33.41023,31.75372,32.9351,33.88859,33.07745,32.47494,33.00601,38.34508,39.43147,34.74095,37.81892,30.45065,22.08228,29.59221,32.62031,34.64588,33.57456,35.53893,33.10573,34.02017,30.95126,34.8394,35.69817,30.8858,33.82809,34.47671,32.1613,34.97294,34.28151,34.08297,32.82615,34.82077,36.13785,1
6,6,31.99212848,34.18581591,33.52967281,30.79817651,35.59938644,30.32600801,32.31936597,33.81531261,34.45710684,32.66983144,33.35797273,33.70866,34.17989,35.12822,33.904,31.37021,31.59355,34.78374,34.74463,34.68737,35.23268,33.98668,32.81825,34.61923,33.66083,33.35095,31.8532,34.36137,30.13425,31.91349,33.25143,32.86393,34.97921,32.84183,32.51918,36.84452,32.5974,31.65353,32.69141,33.91701,32.99466,33.48816,33.05569,39.2815,39.70615,34.01976,38.43166,32.22242,22.08228,30.36492,33.62846,34.25149,34.21474,35.65546,33.28772,33.68963,30.27003,34.83824,34.3497,30.11795,34.82348,34.8545,35.48656,34.65828,33.64802,34.15861,32.68775,35.08896,35.90044,0
7,7,32.56915912,33.73306171,32.95492393,30.98278246,36.58622049,30.56027034,32.90689042,33.72843742,33.98551483,33.26194168,33.01610862,34.11687,34.12776,35.25026,31.53091,31.1257,32.64732,35.06405,33.71997,34.90156,35.7702,33.30963,32.52829,34.11646,33.35023,33.56605,32.36081,34.16378,30.63087,30.13903,32.47981,32.83039,33.48196,32.68166,33.47105,35.57862,33.39614,32.39509,31.8981,35.07422,33.59151,33.31325,34.04415,39.26652,38.79868,34.87216,37.22126,32.89617,22.08228,31.35711,32.91479,33.52471,33.99853,34.64255,31.68459,32.93325,31.0638,34.28287,35.32136,28.77583,34.49576,33.43005,33.55736,34.07325,34.56054,33.56703,31.77631,35.37942,35.30722,0
8,8,32.47781967,33.22118069,34.07888499,31.90858169,36.39940904,28.82644182,30.46099396,33.07580737,34.31383978,32.38348663,33.11254133,34.36847,34.89309,35.63569,33.46834,32.79497,33.06156,35.09495,34.64888,34.04097,34.94724,34.31322,32.83423,35.28304,32.75016,33.07449,31.96413,34.077,30.30751,29.08446,33.40067,33.39923,33.29663,32.51207,32.96579,35.6975,31.40179,31.94973,31.87441,33.68786,32.72641,32.64443,34.28811,39.01427,39.27467,33.65822,38.73587,32.786,22.08228,30.39125,33.30447,34.09074,33.58467,35.2451,33.30279,33.82444,30.63357,34.39633,34.90592,28.54038,34.98216,35.64254,33.9354,34.14764,34.66842,33.63247,32.0425,35.06323,35.76553,1
9,9,31.66724883,33.68878978,32.51043716,31.41559391,35.64113842,29.71183681,32.34179038,33.76035566,33.77878139,32.55295792,32.4724496,32.47586,33.61374,35.46639,34.29054,31.02807,31.87155,34.67546,34.32542,34.2986,35.12987,32.82779,32.35079,34.46352,33.74849,33.6135,31.11633,33.54407,31.73479,31.31645,33.61351,32.40105,33.9519,32.11349,33.64995,35.43772,32.0116,30.51811,32.75551,34.79999,32.30798,33.26518,32.90126,38.75389,38.42685,34.76325,37.86523,31.9907,22.08228,30.75201,33.52922,34.47927,34.79998,35.59815,32.71466,33.79088,30.92063,33.8169,34.54756,33.65472,34.85431,33.57213,34.40646,33.89802,34.1046,33.93288,32.74438,34.53677,34.55823,1
10,10,31.87132425,34.10836189,33.89703972,31.57485134,35.57375747,30.23892615,32.19430842,33.79758726,32.80868452,32.59198402,33.73824035,33.65781,33.62092,34.76012,33.10546,31.11564,32.198,35.06528,34.21375,34.64616,34.72176,34.38393,33.13844,35.67284,33.76065,33.47688,31.80805,34.26489,30.47905,31.47145,34.22146,32.02402,33.18402,32.26803,33.80128,36.58886,32.85295,31.29919,32.7994,34.00356,32.11684,32.91279,33.44622,39.96837,39.94919,35.16894,38.03777,32.90148,23.32814,31.85126,33.05859,34.20021,34.76376,35.52936,33.01866,33.2611,31.21936,34.76856,34.93552,30.03707,35.07914,34.1603,34.41617,34.21192,33.71226,34.25076,32.89884,35.1607,35.72,0
11,11,31.76835491,33.69497536,33.64336164,31.646041,36.11240334,30.34144017,32.25049649,34.32448963,31.63777087,32.13304702,33.13098532,33.72807,33.19395,35.29441,32.51536,30.3758,31.60732,34.98323,34.73533,34.53989,34.9748,35.32077,33.2115,35.0098,32.81529,33.31258,32.84053,33.95816,27.204,31.52657,32.98838,34.00374,33.39905,32.11308,34.07675,36.23042,31.19837,31.96471,32.22232,33.57118,32.5076,32.79619,33.26581,38.99498,39.07816,33.84329,37.31345,32.79776,22.08228,32.37674,33.30805,33.55339,33.75739,34.79815,33.0833,33.34066,30.3742,34.60539,34.82401,31.36318,35.37301,34.33545,35.30738,34.91069,33.41423,34.36785,32.39582,35.23185,35.6317,0
12,12,31.66970106,33.14035052,34.12374322,30.59585032,35.7928831,31.59906249,30.99630077,33.43174999,33.30152553,31.88946701,32.63503097,33.51072,34.81975,34.71767,34.14203,31.80154,32.89688,33.89472,34.98564,34.21026,35.94771,32.53927,31.83175,35.23218,33.0363,33.46068,33.03336,33.60654,29.00594,31.65573,32.53998,33.42922,33.6568,33.00651,32.5208,34.83401,33.64041,31.06584,33.12661,34.63863,33.36513,32.78732,32.21293,37.83015,38.35657,34.44047,37.93487,30.97341,25.89914,31.50926,33.27156,33.89151,34.11186,34.51674,32.28789,33.6599,30.69057,34.40587,35.46564,32.02799,34.86394,35.25454,33.58405,34.175,33.98176,33.8083,32.33806,34.06415,34.87767,0
