	MYC	NFE2L2
0	MYC	TP53
1	MYC	HSPD1
2	MYC	FN1
3	MYC	ANXA2
4	MYC	MAP2K1
5	MYC	RELA
6	MYC	HSPB1
7	MYC	MAPK8
8	MYC	CDKN2A
9	MYC	JUN
10	MYC	DNMT3A
11	MYC	VHL
12	CDKN2A	CCND1
13	CDKN2A	RELA
14	CDKN2A	MAPK8
15	CDKN2A	HSPA9
16	CDKN2A	TP53
17	CDKN2A	VHL
18	CDKN2A	FN1
19	ERBB2	IGF1R
20	ERBB2	CTNNB1
21	ERBB2	SRC
22	ERBB2	NF2
23	ERBB2	PAK1
24	ERN1	TP53
25	CRADD	CASP2
26	CRADD	CRYAB
27	KIF1B	JUN
28	SRC	TP53
29	SRC	ANXA2
30	SRC	IGF1R
31	SRC	FLT4
32	SRC	AKT1
33	SRC	HNF1A
34	SRC	FN1
35	SRC	HNF4A
36	SRC	INSR
37	SRC	CTNNB1
38	SRC	CCND1
39	SRC	L1CAM
40	SRC	IL6R
41	SRC	ANXA1
42	SRC	KDR
43	SRC	RET
44	SRC	TGM2
45	INSR	IGF1R
46	LRRK2	HSPD1
47	LRRK2	AKT1
48	LRRK2	HSPA9
49	TSC1	AKT1
50	TSC1	NF2
51	TSC1	RHEB
52	TSC1	TSC2
53	TSC2	AKT1
54	TSC2	CCND1
55	TSC2	RHEB
56	CCND1	RELA
57	CCND1	CRYAB
58	CCND1	CTNNB1
59	CCND1	CARD11
60	PTEN	TP53
61	PTEN	AKT1
62	PTEN	STK11
63	PTEN	ANXA2
64	PTEN	HSPD1
65	PTEN	CTNNB1
66	PTEN	BAP1
67	PTEN	PIK3CA
68	ARID1A	TP53
69	HNF4A	TP53
70	HNF4A	HNF1A
71	HNF4A	CTNNB1
72	PTGS1	PTGS2
73	PTGS2	CTNNB1
74	PTGS2	TP53
75	AXIN2	CTNNB1
76	AXIN2	APC
77	BAP1	IGF1R
78	BAP1	HSPA9
79	STK11	TP53
80	STK11	PAK1
81	STK11	ATM
82	JUN	MAPK8
83	JUN	SHANK1
84	JUN	JUND
85	JUN	NFE2L2
86	JUN	FN1
87	JUN	FOSL2
88	JUN	RELA
89	JUN	EPAS1
90	JUNB	MAPK8
91	JUNB	FOSL2
92	JUND	NFE2L2
93	JUND	FOSL2
94	JUND	MAPK8
95	DLC1	AKT1
96	NDRG1	TP53
97	NDRG1	CTNNB1
98	NF2	CTNNB1
99	NF2	PAK1
100	NF2	AKT1
101	PIK3CA	AKT1
102	NFE2L2	GSTP1
103	NFE2L2	APC
104	NFE2L2	MAP2K1
105	NFE2L2	AKT1
106	NFE2L2	MAPK8
107	KDR	VEGFA
108	KDR	CTNNB1
109	KDR	FLT4
110	KDR	FLT1
111	AKT1	DNMT1
112	AKT1	ATM
113	AKT1	HSPA9
114	AKT1	MTOR
115	AKT1	MAPK8
116	AKT1	CTNNB1
117	AKT1	PAK1
118	AKT1	RET
119	AKT1	HSPB1
120	HSPA9	HSPD1
121	HSPA9	HSPB1
122	HSPA9	SDHA
123	HSPA9	RELA
124	HSPA9	TP53
125	HSPA9	FN1
126	HSPB1	TP53
127	HSPB1	CRYAB
128	HSPB1	SDHA
129	HSPB1	ANXA1
130	HSPB1	FN1
131	SDHA	FN1
132	DNMT1	DNMT3A
133	DNMT1	TP53
134	VEGFA	CRYAB
135	VEGFA	FLT1
136	HSPD1	ANXA2
137	HSPD1	FN1
138	HSPD1	ANXA1
139	VHL	SLC2A1
140	VHL	RNF139
141	VHL	ANXA2
142	VHL	ATM
143	VHL	TGM2
144	VHL	TP53
145	VHL	CTNNB1
146	VHL	SOD2
147	VHL	EPAS1
148	VHL	FN1
149	HNF1A	CTNNB1
150	HNF1A	ANXA2
151	FLT1	CTNNB1
152	SFRP2	FN1
153	FN1	ANXA2
154	FN1	ANXA1
155	FN1	TGM2
156	FN1	CTSD
157	FN1	GSTP1
158	ANXA1	TGM2
159	ANXA1	ANXA2
160	ANXA1	RELA
161	ANXA2	TP53
162	APAF1	TP53
163	CASP2	CRYAB
164	APC	EPAS1
165	APC	TP53
166	APC	CTNNB1
167	RELA	TGM2
168	RELA	IL6
169	RELA	TP53
170	RELA	ATM
171	RET	MAPK8
172	RHEB	MTOR
173	RHEB	ATM
174	CRYAB	CTNNB1
175	CRYAB	TP53
176	GSTP1	TGM2
177	GSTP1	MAPK8
178	TGM2	PAK1
179	SETD2	TP53
180	IGF1R	TP53
181	MTOR	TP53
182	MTOR	MAPK8
183	PAK1	MAP2K1
184	ATM	TP53
185	CTNNB1	EPAS1
186	CTNNB1	MAPK8
187	MAPK8	MAP2K1
188	MAPK8	TP53
189	IL6	IL6R
190	MYC	NFE2L2
