	NFKB1	TNIP2
0	NFKB1	CLTC
1	NFKB1	DNAJA1
2	NFKB1	MAP2K5
3	NFKB1	CFLAR
4	NFKB1	ELF3
5	NFKB1	NFKB2
6	NFKB1	CALM1
7	NFKB1	ACTG1
8	NFKB1	PAK2
9	NFKB1	YY1
10	NFKB1	RPS6KA5
11	NFKB1	HDAC3
12	NFKB1	SMAD4
13	NFKB1	GLG1
14	NFKB1	CLU
15	NFKB1	HTT
16	NFKB1	CUL4A
17	NFKB1	TPR
18	NFKB1	CTNNB1
19	NFKB1	TBK1
20	NFKB1	BRMS1
21	NFKB1	FLNB
22	NFKB1	GRK2
23	NFKB1	POU2F1
24	NFKB1	CHUK
25	NFKB1	TSC22D3
26	NFKB1	TIMM50
27	NFKB1	HSP90AB1
28	NFKB1	HSPA8
29	NFKB1	NCOA6
30	NFKB1	ARHGEF4
31	NFKB1	NCOA3
32	NFKB1	DSP
33	NFKB1	HSPA4
34	NFKB1	SPAG9
35	NFKB1	VPS26A
36	NFKB1	PPARGC1A
37	NFKB1	CARM1
38	NFKB1	PRKCA
39	NFKB1	NCOR1
40	NFKB1	XRCC4
41	NFKB1	HMGB2
42	NFKB1	SP1
43	NFKB1	SRF
44	NFKB1	CUL3
45	NFKB1	RPS13
46	NFKB1	BTRC
47	NFKB1	BRCA1
48	NFKB1	PRKDC
49	NFKB1	XPO1
50	NFKB1	ETS1
51	NFKB1	CALM3
52	NFKB1	PML
53	NFKB1	MYH10
54	NFKB1	MEN1
55	NFKB1	HNRNPF
56	NFKB1	RSF1
57	NFKB1	ATF3
58	NFKB1	KLF5
59	NFKB1	ZFYVE9
60	NFKB1	UBE2D3
61	NFKB1	PARP1
62	NFKB1	AKAP8
63	NFKB1	YWHAG
64	NFKB1	HSPA5
65	NFKB1	REL
66	NFKB1	HSP90AA1
67	NFKB1	SIN3A
68	NFKB1	STAT3
69	NFKB1	APLP2
70	NFKB1	KPNA4
71	NFKB1	RUVBL2
72	NFKB1	DST
73	NFKB1	RBPJ
74	NFKB1	NCOR2
75	NFKB1	CEBPB
76	NFKB1	ERCC6
77	NFKB1	VCP
78	NFKB1	GLUL
79	NFKB1	KAT5
80	NFKB1	SKP1
81	NFKB1	NFKBIA
82	NFKB1	STAT6
83	NFKB1	COMMD1
84	NFKB1	IKBKB
85	NFKB1	COMMD7
86	NFKB1	TAB2
87	NFKB1	MCC
88	NFKB1	IRF9
89	NFKB1	CUL1
90	NFKB1	SF1
91	NFKB1	MAP3K7
92	NFKB1	CALM2
93	NFKB1	NR3C1
94	NFKB1	SPTBN1
95	NFKB1	HDAC5
96	NFKB1	IRF1
97	NFKB1	INTS3
98	NFKB1	PRKACA
99	NFKB1	PPP4C
100	NFKB1	HSPA9
101	NFKB1	RELA
102	NFKB1	RUVBL1
103	NFKB1	RPS3
104	NFKB1	HDAC2
105	NFKB1	RXRA
106	NFKB1	HSPA1A
107	NFKB1	GSK3B
108	NFKB1	FBXW11
109	NFKB1	EP300
110	NFKB1	PSMD10
111	NFKB1	AR
112	NFKB1	ZFP36
113	NFKB1	TXN
114	NFKB1	ELF1
115	NFKB1	HDAC1
116	NFKB1	PRKACG
117	NFKB1	MYH9
118	NFKB1	DNAJA3
119	NFKB1	TUBB
120	NFKB1	CUL4B
121	NFKB1	HNRNPM
122	NFKB1	PCBP2
123	NFKB1	BIRC3
124	NFKB1	COPS5
125	NFKB1	VIM
126	NFKB1	APC
127	NFKB1	SFPQ
128	NFKB1	NOTCH1
129	NFKB1	STAT5A
130	NFKB1	HDAC4
131	NFKB1	FOS
132	NFKB1	UBE2K
133	NFKB1	TP63
134	NFKB1	HMGB1
135	NFKB1	PIK3R2
136	NFKB1	KPNA2
137	NFKB1	STUB1
138	TNIP2	MKNK1
139	TNIP2	STK11
140	TNIP2	CHUK
141	TNIP2	USP7
142	TNIP2	NFKB2
143	TNIP2	MAPK1
144	TNIP2	RELA
145	TNIP2	SRPK2
146	TNIP2	NCOR2
147	TNIP2	FLNA
148	TNIP2	CLK1
149	TNIP2	REL
150	TNIP2	XPO1
151	TNIP2	APP
152	TNIP2	IKBKB
153	TNIP2	CDKN1A
154	TNIP2	TEK
155	TNIP2	SMARCD1
156	TNIP2	EP300
157	AMOT	VASP
158	AMOT	CUL3
159	AMOT	AQP1
160	AMOT	MED4
161	AMOT	MAPK3
162	AMOT	DLG1
163	AMOT	AXIN2
164	AMOT	LONP2
165	AMOT	PTPA
166	AMOT	ITCH
167	AMOT	CLIP1
168	AMOT	APP
169	AMOT	LATS2
170	AMOT	PTPN14
171	AMOT	NIN
172	AMOT	PIN1
173	AMOT	USP11
174	AMOT	LATS1
175	AMOT	CNTROB
176	AMOT	HAUS2
177	AMOT	PLG
178	AMOT	CDK2
179	AMOT	AP1M1
180	AMOT	WWTR1
181	AMOT	WWC1
182	AMOT	PRKCI
183	AMOT	PTEN
184	AMOT	YWHAG
185	AMOT	MLH1
186	AMOT	DISC1
187	AMOT	TP53BP2
188	AMOT	FBXO6
189	AMOT	UIMC1
190	AMOT	NEDD4
191	AMOT	CTNNB1
192	AMOT	SAV1
193	AMOT	WWOX
194	AMOT	USP42
195	AMOT	BAG3
196	AMOT	WWP2
197	AMOT	NEDD4L
198	AMOT	YAP1
199	AMOT	LIN7A
200	AMOT	XPR1
201	AMOT	LURAP1
202	AMOT	CDKN1A
203	AMOT	ACTA1
204	AMOT	FHL2
205	AMOT	LIN7C
206	AMOT	RIF1
207	AMOT	MOB1A
208	AMOT	NF2
209	AMOT	CEP250
210	VASP	SRSF9
211	VASP	LRP4
212	VASP	MOV10
213	VASP	VCAM1
214	VASP	MAP2K4
215	VASP	KPNB1
216	VASP	EVL
217	VASP	PRKAA1
218	VASP	CYFIP2
219	VASP	PRKCA
220	VASP	PRKACA
221	VASP	PRKACG
222	VASP	GSN
223	VASP	PPP4R2
224	VASP	CEP250
225	VASP	PRMT5
226	VASP	VCL
227	VASP	XPO1
228	VASP	WWP1
229	VASP	YWHAE
230	VASP	APBB1
231	VASP	TACC3
232	VASP	TP53
233	VASP	PRKG1
234	VASP	DDB1
235	VASP	FN1
236	VASP	TEAD4
237	VASP	ACTA1
238	VASP	NPM1
239	VASP	ENAH
240	VASP	SAT1
241	VASP	WWP2
242	VASP	GRB2
243	VASP	PFN2
244	VASP	CUL4B
245	VASP	ACTG1
246	VASP	DDX1
247	VASP	ABI2
248	VASP	XPO6
249	VASP	TSG101
250	VASP	BAG6
251	VASP	FRS3
252	VASP	IRAK1
253	VASP	UBE2N
254	VASP	ABI1
255	SS18L1	SMARCA4
256	SS18L1	STAT3
257	SS18L1	CREBBP
258	SS18L1	LGALS3
259	SS18L1	NR1H3
260	SS18L1	HDAC4
261	SS18L1	DOK5
262	SS18L1	SNRPC
263	SS18L1	RLIM
264	SS18L1	BRD1
265	SS18L1	SMARCD1
266	SS18L1	CUL3
267	SS18L1	HDAC2
268	SS18L1	PAX8
269	SS18L1	ELF5
270	SS18L1	ATF3
271	SS18L1	BMI1
272	SS18L1	SMAD3
273	SS18L1	MED30
274	SS18L1	SSBP3
275	SS18L1	SMARCC1
276	SS18L1	EP300
277	SS18L1	SMAD1
278	SMARCA4	WDR77
279	SMARCA4	SMARCA1
280	SMARCA4	MDM2
281	SMARCA4	BRCA1
282	SMARCA4	BCL6
283	SMARCA4	COPS5
284	SMARCA4	CARM1
285	SMARCA4	CREBBP
286	SMARCA4	SMARCD1
287	SMARCA4	RBPJ
288	SMARCA4	BMI1
289	SMARCA4	NFE2L2
290	SMARCA4	NPM1
291	SMARCA4	SS18
292	SMARCA4	TRIM28
293	SMARCA4	WWOX
294	SMARCA4	CAT
295	SMARCA4	KAT2B
296	SMARCA4	POLR3A
297	SMARCA4	NCOA3
298	SMARCA4	CHMP5
299	SMARCA4	TOP2B
300	SMARCA4	RCOR1
301	SMARCA4	RAB5C
302	SMARCA4	SMAD4
303	SMARCA4	POLR3F
304	SMARCA4	RXRA
305	SMARCA4	SMARCC1
306	SMARCA4	GTF2F1
307	SMARCA4	CEBPB
308	SMARCA4	SMAD3
309	SMARCA4	USF1
310	SMARCA4	ARID1A
311	SMARCA4	NF1
312	SMARCA4	STAT1
313	SMARCA4	HSF4
314	SMARCA4	SF3A1
315	SMARCA4	SMARCD3
316	SMARCA4	TAF10
317	SMARCA4	BAZ1B
318	SMARCA4	RPS6KA5
319	SMARCA4	SMAD2
320	SMARCA4	HSP90B1
321	SMARCA4	GTF2H3
322	SMARCA4	RPA1
323	SMARCA4	PMS2
324	SMARCA4	SIN3B
325	SMARCA4	RB1
326	SMARCA4	VAPA
327	SMARCA4	EP300
328	SMARCA4	SMARCC2
329	SMARCA4	UPF1
330	SMARCA4	TP53
331	SMARCA4	RBBP7
332	SMARCA4	STAT3
333	SMARCA4	SP1
334	SMARCA4	MED17
335	SMARCA4	ADNP
336	SMARCA4	CPSF2
337	SMARCA4	CTNNB1
338	SMARCA4	NFKB2
339	SMARCA4	SMARCB1
340	SMARCA4	HSPB1
341	SMARCA4	CREB1
342	SMARCA4	NR1H2
343	SMARCA4	MED21
344	SMARCA4	HIF1A
345	SMARCA4	RUNX1
346	SMARCA4	MTA2
347	SMARCA4	STAT5A
348	SMARCA4	GTF2H1
349	SMARCA4	AHR
350	SMARCA4	CDKN2A
351	SMARCA4	SRF
352	SMARCA4	NOTCH1
353	SMARCA4	PBX1
354	SMARCA4	MYOCD
355	SMARCA4	EPAS1
356	SMARCA4	HDAC1
357	SMARCA4	ADD1
358	SMARCA4	DDX5
359	SMARCA4	ACTL6A
360	SMARCA4	CHFR
361	SMARCA4	FOXO1
362	SMARCA4	SIN3A
363	SMARCA4	IRF1
364	SMARCA4	TOPBP1
365	SMARCA4	VDR
366	SMARCA4	RAP1A
367	SMARCA4	HMGB1
368	SMARCA4	BRD4
369	SMARCA4	ING1
370	SMARCA4	STK11
371	SMARCA4	JUNB
372	SMARCA4	REST
373	SMARCA4	FBXO6
374	SMARCA4	CAND1
375	SMARCA4	ERCC3
376	SMARCA4	FOXE1
377	SMARCA4	MBD2
378	SMARCA4	AR
379	SMARCA4	CHD7
380	SMARCA4	HDAC3
381	SMARCA4	OBSL1
382	SMARCA4	RBBP4
383	SMARCA4	MYC
384	SMARCA4	RNF2
385	SMARCA4	KPNA2
386	SMARCA4	CUL3
387	SMARCA4	SETD7
388	SMARCA4	NR3C1
389	SMARCA4	ATF3
390	SMARCA4	SMC3
391	SMARCA4	BRD7
392	SMARCA4	HSF1
393	SMARCA4	HDAC9
394	SMARCA4	NCOR1
395	SMARCA4	MBD3
396	SMARCA4	MAML1
397	SMARCA4	HDAC2
398	SMARCA4	NCOR2
399	SMARCA4	TRIM33
400	SMARCA4	PML
401	SMARCA4	EP400
402	SMARCA4	PRMT5
403	SMARCA4	EED
404	SMARCA4	POLR3C
405	SMURF1	HSPA5
406	SMURF1	ING2
407	SMURF1	HNRNPA1
408	SMURF1	TRAF2
409	SMURF1	TNK2
410	SMURF1	PPP2R1A
411	SMURF1	MDM2
412	SMURF1	TUBB
413	SMURF1	XRCC6
414	SMURF1	DCTN2
415	SMURF1	JAK1
416	SMURF1	PSMC5
417	SMURF1	VIM
418	SMURF1	ACVR1B
419	SMURF1	RPS15A
420	SMURF1	PRPF31
421	SMURF1	MYD88
422	SMURF1	PAK1
423	SMURF1	SMAD6
424	SMURF1	PSMC4
425	SMURF1	SYNCRIP
426	SMURF1	HSPA8
427	SMURF1	SPTBN1
428	SMURF1	ING1
429	SMURF1	USP9X
430	SMURF1	PRKAR1A
431	SMURF1	RPS19
432	SMURF1	HSPA9
