	#node1	node2
0	ACKR3	CXCR4
1	ACKR3	CXCL12
2	ACTN4	CTNNB1
3	AHR	AR
4	AHR	HIF1A
5	AKT1	ARHGDIB
6	AKT1	MAP3K8
7	AKT1	PIK3CB
8	AKT1	TERT
9	AKT1	MAP3K5
10	AKT1	MTOR
11	AKT1	PTEN
12	AKT1	AR
13	ALB	SPARC
14	ALB	FOLH1
15	ALB	ERBB2
16	ALB	CUBN
17	ANGPT2	VEGFA
18	ANGPT2	TEK
19	ANXA2	DYSF
20	APLN	APLNR
21	APLNR	APLN
22	AR	CCND1
23	AR	AHR
24	AR	STAT3
25	AR	CTNNB1
26	AR	SPOP
27	AR	AKT1
28	AR	KPNA2
29	ARHGDIB	AKT1
30	AVP	AVPR2
31	AVPR2	AVP
32	BCCIP	CCND1
33	BCL2	CD34
34	CA9	CTNNB1
35	CCND1	BCCIP
36	CCND1	CDKN2A
37	CCND1	AR
38	CD274	CTLA4
39	CD274	CD28
40	CD274	PDCD1
41	CD28	CTLA4
42	CD28	CD274
43	CD34	BCL2
44	CD34	FN1
45	CD44	TIMP1
46	CD44	STAT3
47	CD44	ERBB2
48	CD44	VCAM1
49	CD44	MET
50	CD44	PKM
51	CD44	FN1
52	CD44	CLDN7
53	CD44	MMP9
54	CD44	HMMR
55	CD44	CXCR4
56	CDKN2A	CCND1
57	CDKN2A	HIF1A
58	CEACAM1	CTNNB1
59	CHI3L1	IL13RA2
60	CLDN7	EPCAM
61	CLDN7	CD44
62	CRP	FN1
63	CTLA4	CD274
64	CTLA4	CD28
65	CTNNB1	CEACAM1
66	CTNNB1	ACTN4
67	CTNNB1	EPCAM
68	CTNNB1	ERBB2
69	CTNNB1	TERT
70	CTNNB1	HNF4A
71	CTNNB1	MET
72	CTNNB1	PKM
73	CTNNB1	SOX2
74	CTNNB1	FERMT2
75	CTNNB1	CA9
76	CTNNB1	PTEN
77	CTNNB1	VDR
78	CTNNB1	VEGFA
79	CTNNB1	HIF1A
80	CTNNB1	AR
81	CUBN	ALB
82	CUL2	RBX1
83	CUL2	VHL
84	CUL2	EPAS1
85	CUL2	HIF1A
86	CUL2	TCEB1
87	CXCL12	MAPK3
88	CXCL12	ACKR3
89	CXCL12	VCAM1
90	CXCL12	FN1
91	CXCL12	CXCR4
92	CXCR4	ACKR3
93	CXCR4	CXCL12
94	CXCR4	CD44
95	DNMT1	STAT3
96	DYSF	ANXA2
97	EPAS1	VHL
98	EPAS1	CUL2
99	EPAS1	HIF1A
100	EPAS1	TCEB1
101	EPCAM	CTNNB1
102	EPCAM	CLDN7
103	EPHA2	ERBB2
104	EPO	KIT
105	ERBB2	STAT3
106	ERBB2	ERBB3
107	ERBB2	ALB
108	ERBB2	EPHA2
109	ERBB2	IL6
110	ERBB2	CD44
111	ERBB2	TGFA
112	ERBB2	CTNNB1
113	ERBB2	ERBB4
114	ERBB3	MET
115	ERBB3	TGFA
116	ERBB3	ERBB4
117	ERBB3	ERBB2
118	ERBB4	ERBB3
119	ERBB4	ERBB2
120	ERBB4	WWOX
121	ESRRA	HIF1A
122	FERMT2	CTNNB1
123	FLOT1	SLC6A3
124	FLT4	FN1
125	FLT4	VEGFA
126	FN1	LOX
127	FN1	CRP
128	FN1	VHL
129	FN1	FLT4
130	FN1	VCAM1
131	FN1	CD34
132	FN1	TGFBI
133	FN1	CXCL12
134	FN1	IGFBP3
135	FN1	CD44
136	FN1	VEGFA
137	FOLH1	ALB
138	FOXP3	STAT3
139	FOXP3	GATA3
140	FOXP3	HIF1A
141	GATA3	FOXP3
142	GSTM1	MAP3K5
143	HIF1A	RBX1
144	HIF1A	AHR
145	HIF1A	VHL
146	HIF1A	EPAS1
147	HIF1A	STAT3
148	HIF1A	HNF4A
149	HIF1A	PKM
150	HIF1A	CTNNB1
151	HIF1A	FOXP3
152	HIF1A	ESRRA
153	HIF1A	CDKN2A
154	HIF1A	CUL2
155	HIF1A	TCEB1
156	HMMR	CD44
157	HNF4A	HIF1A
158	HNF4A	CTNNB1
159	IGFBP3	FN1
160	IL13RA2	CHI3L1
161	IL2	MAPK3
162	IL6	ERBB2
163	JADE1	VHL
164	KIT	EPO
165	KIT	PTPRU
166	KPNA2	AR
167	LDLR	SERPINE1
168	LOX	FN1
169	MAP3K5	GSTM1
170	MAP3K5	AKT1
171	MAP3K8	AKT1
172	MAPK3	IL2
173	MAPK3	CXCL12
174	MET	STAT3
175	MET	ERBB3
176	MET	CD44
177	MET	CTNNB1
178	MME	PTEN
179	MMP2	TIMP1
180	MMP9	TIMP1
181	MMP9	CD44
182	MTOR	TERT
183	MTOR	AKT1
184	PDCD1	CD274
185	PDGFRA	STAT3
186	PIK3CB	AKT1
187	PIWIL1	SND1
188	PIWIL1	PIWIL4
189	PIWIL4	PIWIL1
190	PKM	CD44
191	PKM	HIF1A
192	PKM	CTNNB1
193	PTEN	CTNNB1
194	PTEN	AKT1
195	PTEN	MME
196	PTEN	SPOP
197	PTPRU	KIT
198	RBX1	HIF1A
199	RBX1	SPOP
200	RBX1	VHL
201	RBX1	TCEB1
202	RBX1	CUL2
203	SDHB	SDHC
204	SDHC	SDHB
205	SERPINE1	LDLR
206	SLC6A3	FLOT1
207	SND1	PIWIL1
208	SOX2	CTNNB1
209	SPARC	ALB
210	SPOP	RBX1
211	SPOP	PTEN
212	SPOP	AR
213	STAT3	PDGFRA
214	STAT3	MET
215	STAT3	CD44
216	STAT3	HIF1A
217	STAT3	FOXP3
218	STAT3	ERBB2
219	STAT3	AR
220	STAT3	DNMT1
221	TCEB1	RBX1
222	TCEB1	VHL
223	TCEB1	EPAS1
224	TCEB1	HIF1A
225	TCEB1	CUL2
226	TEK	ANGPT2
227	TEK	VEGFA
228	TERT	MTOR
229	TERT	AKT1
230	TERT	CTNNB1
231	TGFA	ERBB3
232	TGFA	ERBB2
233	TGFBI	FN1
234	TICAM2	TMED7-TICAM2
235	TIMP1	CD44
236	TIMP1	MMP2
237	TIMP1	MMP9
238	TMED7-TICAM2	TICAM2
239	VCAM1	CXCL12
240	VCAM1	FN1
241	VCAM1	CD44
242	VDR	CTNNB1
243	VEGFA	FLT4
244	VEGFA	ANGPT2
245	VEGFA	CTNNB1
246	VEGFA	FN1
247	VEGFA	TEK
248	VHL	RBX1
249	VHL	JADE1
250	VHL	FN1
251	VHL	EPAS1
252	VHL	HIF1A
253	VHL	TCEB1
254	VHL	CUL2
255	WWOX	ERBB4
