#node1	node2	node1_string_id	node2_string_id	homology	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ACKR3	CXCR4	9606.ENSP00000272928	9606.ENSP00000386884	0	0.542	0	0.892	0.948
ACKR3	CXCL12	9606.ENSP00000272928	9606.ENSP00000379140	0	0	0.600	0.898	0.957
ACTN4	CTNNB1	9606.ENSP00000252699	9606.ENSP00000344456	0	0.564	0	0.557	0.799
AHR	AR	9606.ENSP00000242057	9606.ENSP00000363822	0	0.470	0	0.597	0.777
AHR	HIF1A	9606.ENSP00000242057	9606.ENSP00000437955	0	0	0	0.797	0.797
AKT1	ARHGDIB	9606.ENSP00000451828	9606.ENSP00000228945	0	0	0	0.718	0.718
AKT1	MAP3K8	9606.ENSP00000451828	9606.ENSP00000263056	0	0.287	0.900	0	0.925
AKT1	PIK3CB	9606.ENSP00000451828	9606.ENSP00000289153	0	0.276	0.600	0.481	0.836
AKT1	TERT	9606.ENSP00000451828	9606.ENSP00000309572	0	0.483	0.900	0.435	0.968
AKT1	MAP3K5	9606.ENSP00000451828	9606.ENSP00000351908	0	0.394	0.900	0.685	0.979
AKT1	MTOR	9606.ENSP00000451828	9606.ENSP00000354558	0	0.567	0.900	0.908	0.995
AKT1	PTEN	9606.ENSP00000451828	9606.ENSP00000361021	0	0.495	0	0.464	0.717
AKT1	AR	9606.ENSP00000451828	9606.ENSP00000363822	0	0.495	0	0.450	0.710
ALB	SPARC	9606.ENSP00000295897	9606.ENSP00000231061	0	0	0	0.898	0.898
ALB	FOLH1	9606.ENSP00000295897	9606.ENSP00000256999	0	0	0	0.781	0.781
ALB	ERBB2	9606.ENSP00000295897	9606.ENSP00000269571	0	0	0	0.730	0.730
ALB	CUBN	9606.ENSP00000295897	9606.ENSP00000367064	0	0	0	0.881	0.881
ANGPT2	VEGFA	9606.ENSP00000314897	9606.ENSP00000478570	0	0.309	0	0.891	0.921
ANGPT2	TEK	9606.ENSP00000314897	9606.ENSP00000369375	0	0.757	0.900	0.915	0.997
ANXA2	DYSF	9606.ENSP00000346032	9606.ENSP00000386881	0	0.150	0.800	0.724	0.948
APLN	APLNR	9606.ENSP00000391800	9606.ENSP00000475344	0	0	0.600	0.898	0.957
APLNR	APLN	9606.ENSP00000475344	9606.ENSP00000391800	0	0	0.600	0.898	0.957
AR	CCND1	9606.ENSP00000363822	9606.ENSP00000227507	0	0.498	0.900	0.726	0.985
AR	AHR	9606.ENSP00000363822	9606.ENSP00000242057	0	0.470	0	0.597	0.777
AR	STAT3	9606.ENSP00000363822	9606.ENSP00000264657	0	0.484	0	0.886	0.939
AR	CTNNB1	9606.ENSP00000363822	9606.ENSP00000344456	0	0.483	0.900	0.899	0.994
AR	SPOP	9606.ENSP00000363822	9606.ENSP00000377001	0	0.491	0	0.436	0.700
AR	AKT1	9606.ENSP00000363822	9606.ENSP00000451828	0	0.495	0	0.450	0.710
AR	KPNA2	9606.ENSP00000363822	9606.ENSP00000438483	0	0.571	0	0.537	0.792
ARHGDIB	AKT1	9606.ENSP00000228945	9606.ENSP00000451828	0	0	0	0.718	0.718
AVP	AVPR2	9606.ENSP00000369647	9606.ENSP00000351805	0	0.462	0.800	0.897	0.987
AVPR2	AVP	9606.ENSP00000351805	9606.ENSP00000369647	0	0.462	0.800	0.897	0.987
BCCIP	CCND1	9606.ENSP00000357748	9606.ENSP00000227507	0	0	0.720	0	0.720
BCL2	CD34	9606.ENSP00000381185	9606.ENSP00000310036	0	0	0.720	0	0.720
CA9	CTNNB1	9606.ENSP00000367608	9606.ENSP00000344456	0	0.483	0	0.678	0.826
CCND1	BCCIP	9606.ENSP00000227507	9606.ENSP00000357748	0	0	0.720	0	0.720
CCND1	CDKN2A	9606.ENSP00000227507	9606.ENSP00000418915	0	0.483	0.900	0.055	0.946
CCND1	AR	9606.ENSP00000227507	9606.ENSP00000363822	0	0.498	0.900	0.726	0.985
CD274	CTLA4	9606.ENSP00000370989	9606.ENSP00000303939	0	0.417	0	0.712	0.825
CD274	CD28	9606.ENSP00000370989	9606.ENSP00000324890	0	0	0	0.701	0.701
CD274	PDCD1	9606.ENSP00000370989	9606.ENSP00000335062	0	0.939	0.600	0.950	0.998
CD28	CTLA4	9606.ENSP00000324890	9606.ENSP00000303939	0	0	0.900	0.875	0.986
CD28	CD274	9606.ENSP00000324890	9606.ENSP00000370989	0	0	0	0.701	0.701
CD34	BCL2	9606.ENSP00000310036	9606.ENSP00000381185	0	0	0.720	0	0.720
CD34	FN1	9606.ENSP00000310036	9606.ENSP00000346839	0	0	0	0.772	0.772
CD44	TIMP1	9606.ENSP00000398632	9606.ENSP00000218388	0	0	0	0.787	0.787
CD44	STAT3	9606.ENSP00000398632	9606.ENSP00000264657	0	0.270	0	0.882	0.910
CD44	ERBB2	9606.ENSP00000398632	9606.ENSP00000269571	0	0.483	0	0.899	0.945
CD44	VCAM1	9606.ENSP00000398632	9606.ENSP00000294728	0	0	0	0.785	0.785
CD44	MET	9606.ENSP00000398632	9606.ENSP00000317272	0	0.475	0	0.890	0.940
CD44	PKM	9606.ENSP00000398632	9606.ENSP00000320171	0	0	0	0.814	0.814
CD44	FN1	9606.ENSP00000398632	9606.ENSP00000346839	0	0.270	0	0.902	0.925
CD44	CLDN7	9606.ENSP00000398632	9606.ENSP00000353475	0	0	0	0.790	0.790
CD44	MMP9	9606.ENSP00000398632	9606.ENSP00000361405	0	0	0.600	0.902	0.959
CD44	HMMR	9606.ENSP00000398632	9606.ENSP00000377492	0	0	0	0.899	0.899
CD44	CXCR4	9606.ENSP00000398632	9606.ENSP00000386884	0	0	0	0.737	0.737
CDKN2A	CCND1	9606.ENSP00000418915	9606.ENSP00000227507	0	0.483	0.900	0.055	0.946
CDKN2A	HIF1A	9606.ENSP00000418915	9606.ENSP00000437955	0	0.443	0.900	0.593	0.975
CEACAM1	CTNNB1	9606.ENSP00000161559	9606.ENSP00000344456	0	0	0	0.847	0.847
CHI3L1	IL13RA2	9606.ENSP00000255409	9606.ENSP00000361004	0	0.579	0	0.718	0.876
CLDN7	EPCAM	9606.ENSP00000353475	9606.ENSP00000263735	0	0	0	0.903	0.903
CLDN7	CD44	9606.ENSP00000353475	9606.ENSP00000398632	0	0	0	0.790	0.790
CRP	FN1	9606.ENSP00000255030	9606.ENSP00000346839	0	0.270	0	0.781	0.833
CTLA4	CD274	9606.ENSP00000303939	9606.ENSP00000370989	0	0.417	0	0.712	0.825
CTLA4	CD28	9606.ENSP00000303939	9606.ENSP00000324890	0	0	0.900	0.875	0.986
CTNNB1	CEACAM1	9606.ENSP00000344456	9606.ENSP00000161559	0	0	0	0.847	0.847
CTNNB1	ACTN4	9606.ENSP00000344456	9606.ENSP00000252699	0	0.564	0	0.557	0.799
CTNNB1	EPCAM	9606.ENSP00000344456	9606.ENSP00000263735	0	0	0	0.804	0.804
CTNNB1	ERBB2	9606.ENSP00000344456	9606.ENSP00000269571	0	0.554	0	0.920	0.963
CTNNB1	TERT	9606.ENSP00000344456	9606.ENSP00000309572	0	0.341	0.900	0.833	0.988
CTNNB1	HNF4A	9606.ENSP00000344456	9606.ENSP00000312987	0	0.549	0	0.905	0.955
CTNNB1	MET	9606.ENSP00000344456	9606.ENSP00000317272	0	0.491	0.900	0.679	0.982
CTNNB1	PKM	9606.ENSP00000344456	9606.ENSP00000320171	0	0.483	0	0.908	0.950
CTNNB1	SOX2	9606.ENSP00000344456	9606.ENSP00000323588	0	0.498	0.600	0.878	0.973
CTNNB1	FERMT2	9606.ENSP00000344456	9606.ENSP00000342858	0	0.493	0	0.627	0.803
CTNNB1	CA9	9606.ENSP00000344456	9606.ENSP00000367608	0	0.483	0	0.678	0.826
CTNNB1	PTEN	9606.ENSP00000344456	9606.ENSP00000361021	0	0.484	0	0.763	0.872
CTNNB1	VDR	9606.ENSP00000344456	9606.ENSP00000447173	0	0	0	0.883	0.883
CTNNB1	VEGFA	9606.ENSP00000344456	9606.ENSP00000478570	0	0	0.900	0	0.900
CTNNB1	HIF1A	9606.ENSP00000344456	9606.ENSP00000437955	0	0.483	0	0.920	0.957
CTNNB1	AR	9606.ENSP00000344456	9606.ENSP00000363822	0	0.483	0.900	0.899	0.994
CUBN	ALB	9606.ENSP00000367064	9606.ENSP00000295897	0	0	0	0.881	0.881
CUL2	RBX1	9606.ENSP00000444856	9606.ENSP00000216225	0	0.934	0.900	0.959	0.999
CUL2	VHL	9606.ENSP00000444856	9606.ENSP00000256474	0	0.942	0.900	0.942	0.999
CUL2	EPAS1	9606.ENSP00000444856	9606.ENSP00000263734	0	0.288	0.600	0.261	0.771
CUL2	HIF1A	9606.ENSP00000444856	9606.ENSP00000437955	0	0.497	0.900	0.796	0.988
CUL2	TCEB1	9606.ENSP00000444856	9606.ENSP00000478121	0	0.957	0.900	0.959	0.999
CXCL12	MAPK3	9606.ENSP00000379140	9606.ENSP00000263025	0	0	0.900	0	0.900
CXCL12	ACKR3	9606.ENSP00000379140	9606.ENSP00000272928	0	0	0.600	0.898	0.957
CXCL12	VCAM1	9606.ENSP00000379140	9606.ENSP00000294728	0	0	0	0.702	0.702
CXCL12	FN1	9606.ENSP00000379140	9606.ENSP00000346839	0	0.270	0	0.759	0.816
CXCL12	CXCR4	9606.ENSP00000379140	9606.ENSP00000386884	0	0.682	0.900	0.898	0.996
CXCR4	ACKR3	9606.ENSP00000386884	9606.ENSP00000272928	0	0.542	0	0.892	0.948
CXCR4	CXCL12	9606.ENSP00000386884	9606.ENSP00000379140	0	0.682	0.900	0.898	0.996
CXCR4	CD44	9606.ENSP00000386884	9606.ENSP00000398632	0	0	0	0.737	0.737
DNMT1	STAT3	9606.ENSP00000352516	9606.ENSP00000264657	0	0.491	0	0.887	0.940
DYSF	ANXA2	9606.ENSP00000386881	9606.ENSP00000346032	0	0.150	0.800	0.724	0.948
EPAS1	VHL	9606.ENSP00000263734	9606.ENSP00000256474	0	0.922	0.900	0.756	0.997
EPAS1	CUL2	9606.ENSP00000263734	9606.ENSP00000444856	0	0.288	0.600	0.261	0.771
EPAS1	HIF1A	9606.ENSP00000263734	9606.ENSP00000437955	0	0.254	0.300	0.643	0.797
EPAS1	TCEB1	9606.ENSP00000263734	9606.ENSP00000478121	0	0.848	0.900	0.207	0.986
EPCAM	CTNNB1	9606.ENSP00000263735	9606.ENSP00000344456	0	0	0	0.804	0.804
EPCAM	CLDN7	9606.ENSP00000263735	9606.ENSP00000353475	0	0	0	0.903	0.903
EPHA2	ERBB2	9606.ENSP00000351209	9606.ENSP00000269571	0	0.403	0	0.798	0.874
EPO	KIT	9606.ENSP00000252723	9606.ENSP00000288135	0	0	0.900	0.211	0.917
ERBB2	STAT3	9606.ENSP00000269571	9606.ENSP00000264657	0	0.502	0	0.853	0.923
ERBB2	ERBB3	9606.ENSP00000269571	9606.ENSP00000267101	0	0.562	0.900	0.909	0.995
ERBB2	ALB	9606.ENSP00000269571	9606.ENSP00000295897	0	0	0	0.730	0.730
ERBB2	EPHA2	9606.ENSP00000269571	9606.ENSP00000351209	0	0.403	0	0.798	0.874
ERBB2	IL6	9606.ENSP00000269571	9606.ENSP00000385675	0	0	0.900	0.196	0.916
ERBB2	CD44	9606.ENSP00000269571	9606.ENSP00000398632	0	0.483	0	0.899	0.945
ERBB2	TGFA	9606.ENSP00000269571	9606.ENSP00000295400	0	0.549	0.900	0	0.952
ERBB2	CTNNB1	9606.ENSP00000269571	9606.ENSP00000344456	0	0.554	0	0.920	0.963
ERBB2	ERBB4	9606.ENSP00000269571	9606.ENSP00000342235	0	0.492	0.900	0.909	0.994
ERBB3	MET	9606.ENSP00000267101	9606.ENSP00000317272	0	0.515	0	0.758	0.877
ERBB3	TGFA	9606.ENSP00000267101	9606.ENSP00000295400	0	0	0.900	0	0.900
ERBB3	ERBB4	9606.ENSP00000267101	9606.ENSP00000342235	0	0.483	0.900	0.899	0.994
ERBB3	ERBB2	9606.ENSP00000267101	9606.ENSP00000269571	0	0.562	0.900	0.909	0.995
ERBB4	ERBB3	9606.ENSP00000342235	9606.ENSP00000267101	0	0.483	0.900	0.899	0.994
ERBB4	ERBB2	9606.ENSP00000342235	9606.ENSP00000269571	0	0.492	0.900	0.909	0.994
ERBB4	WWOX	9606.ENSP00000342235	9606.ENSP00000457230	0	0.483	0.900	0.715	0.983
ESRRA	HIF1A	9606.ENSP00000384851	9606.ENSP00000437955	0	0.400	0	0.667	0.792
FERMT2	CTNNB1	9606.ENSP00000342858	9606.ENSP00000344456	0	0.493	0	0.627	0.803
FLOT1	SLC6A3	9606.ENSP00000365569	9606.ENSP00000270349	0	0	0.900	0	0.900
FLT4	FN1	9606.ENSP00000261937	9606.ENSP00000346839	0	0	0.900	0.151	0.911
FLT4	VEGFA	9606.ENSP00000261937	9606.ENSP00000478570	0	0.073	0.900	0.907	0.990
FN1	LOX	9606.ENSP00000346839	9606.ENSP00000231004	0	0.566	0	0.831	0.923
FN1	CRP	9606.ENSP00000346839	9606.ENSP00000255030	0	0.270	0	0.781	0.833
FN1	VHL	9606.ENSP00000346839	9606.ENSP00000256474	0	0.483	0	0.876	0.933
FN1	FLT4	9606.ENSP00000346839	9606.ENSP00000261937	0	0	0.900	0.151	0.911
FN1	VCAM1	9606.ENSP00000346839	9606.ENSP00000294728	0	0	0	0.782	0.782
FN1	CD34	9606.ENSP00000346839	9606.ENSP00000310036	0	0	0	0.772	0.772
FN1	TGFBI	9606.ENSP00000346839	9606.ENSP00000416330	0	0.462	0	0.604	0.778
FN1	CXCL12	9606.ENSP00000346839	9606.ENSP00000379140	0	0.270	0	0.759	0.816
