,ARAP1,CUL3,DLGAP4,EGFR,FPR2,GJA9,GPR155,GRB2,IL25,KLHL5,LANCL1-AS1,LEMD1,MAP1LC3B,NPM1,PCMT1,RNF123,RNPS1,SDR42E1,SRPK2,TARBP2,TRIM25,TRIM43B,UBC,USP31,XPC,Y
0,34.77807152,32.41114,34.54982,34.66442,23.31461,29.68286,31.81161,35.0676,21.08036,33.45578,21.39991,22.39503,33.26986,39.08733,31.44953,33.24403,34.71048,30.26124,32.20619,29.60417,32.61049,21.9744,39.76191,32.00348,32.24472,1
1,34.13755822,33.78153,34.06647,35.04555,26.77815,26.80539,31.42781,34.56841,21.08036,34.0309,21.39991,22.39503,33.51634,40.83555,33.02746,32.93945,34.56276,29.1273,32.73181,29.61188,33.35035,21.9744,40.32706,32.1109,32.15619,1
2,34.24018181,34.25556,34.42561,35.03537,31.3338,30.09292,30.47292,36.01318,21.08036,31.97097,21.39991,22.39503,34.40517,38.5918,33.75531,33.15722,34.41174,27.22907,34.06143,31.90343,34.1157,21.9744,40.85312,30.98575,31.86536,1
3,34.07760215,33.82623,34.41176,35.12911,29.45497,29.29223,30.72903,35.21336,21.08036,33.79569,21.39991,29.70759,34.90834,39.68109,33.50304,32.99944,34.57809,22.83731,32.88583,30.35424,32.61024,21.9744,40.33974,32.36353,31.63561,0
4,34.66307618,34.87586,34.29088,35.68321,23.31461,32.00382,31.16114,35.37475,21.08036,33.87798,21.39991,22.39503,34.54094,37.40313,33.18274,34.04944,35.57754,22.83731,33.6144,31.60946,34.02714,21.9744,40.28643,30.43196,33.12717,1
5,34.81462675,34.70731,34.1066,33.53779,30.70962,31.20803,31.45061,34.67726,21.08036,34.31261,21.39991,22.39503,33.86411,38.34508,30.45065,34.43851,33.76018,28.00933,33.66356,30.8858,33.63669,21.9744,39.31112,30.73351,32.82615,1
6,34.43169609,33.89433,34.72926,35.23268,27.8508,29.74009,30.63258,35.15808,21.08036,32.43182,21.39991,28.32776,34.36378,39.2815,32.22242,33.34557,34.88167,28.71948,33.0637,30.11795,34.25173,21.9744,39.00818,31.90544,32.68775,0
7,34.57216007,33.95956,34.4891,35.7702,28.70624,29.8396,32.32646,34.81203,21.08036,33.70661,21.39991,31.19652,33.74399,39.26652,32.89617,33.16695,33.90867,28.66461,33.30983,28.77583,34.17714,21.9744,39.18175,31.99801,31.77631,0
8,34.20714803,33.78518,34.97769,34.94724,23.31461,30.11321,30.96128,34.99212,21.08036,33.55348,21.39991,22.39503,33.78843,39.01427,32.786,33.6463,33.91823,30.27941,33.0862,28.54038,32.7302,21.9744,39.32576,31.76074,32.0425,1
9,34.91800856,32.70063,35.59529,35.12987,23.31461,29.70665,30.78244,35.03613,21.08036,32.79899,21.39991,22.39503,33.80623,38.75389,31.9907,33.86097,34.50137,27.28295,33.65161,33.65472,33.20395,21.9744,40.92421,31.59852,32.74438,1
