	DLGAP4	HOMER1
0	DLGAP4	GRIN1
1	HOMER1	ACTB
2	ACTB	XPC
3	ACTB	IL6
4	ACTB	BANF1
5	ACTB	MORF4L2
6	ACTB	EIF4E
7	XPC	SUPT16H
8	XPC	COPS7A
9	XPC	SUMO1
10	XPC	KDM1A
11	GPR155	NASP
12	NASP	SUPT16H
13	GYPE	DRD2
14	DRD2	GRIN1
15	IL25	IL6
16	KLHL5	COMMD3
17	KLHL5	CCDC22
18	COMMD3	COPS7A
19	COPS7A	CCDC22
20	LEMD1	BANF1
21	PCMT1	MORF4L2
22	RP11-96O20.4	ACAD10
23	ACAD10	RANBP2
24	RANBP2	SUMO1
25	SDR42E1	TRMT6
26	TRMT6	TARBP1
27	TARBP1	TARBP2
28	TARBP2	EIF4E
29	TRIM43B	ZSCAN4
30	ZSCAN4	KDM1A
31	DLGAP4	HOMER1
